rank_key,arm,vs,median_shared_of_30,mean_shared_of_30,clicks_identical
chromatin_od,mass_only,fill_alpha_1,1,1.99,0
chromatin_od,mass_only,fill_alpha_0,0,0.16,0
chromatin_od,fill_alpha_0,fill_alpha_1,2,2.83,0
chromatin_od,mass_only,default_51,1,1.64,0
chromatin_od,fill_alpha_1,default_51,12,12.37,0
tm_score,mass_only,fill_alpha_1,1,2.0,0
tm_score,mass_only,fill_alpha_0,0,0.07,0
tm_score,fill_alpha_0,fill_alpha_1,2,2.79,0
tm_score,mass_only,default_51,1,1.61,0
tm_score,fill_alpha_1,default_51,14,13.11,0
