subset,domain,file_name,condition,rank_key,n_clicks,tp_at_10,tp_at_20,tp_at_30,precision_at_10,precision_at_20,precision_at_30
original_14,canine cutaneous mast cell tumor,300.tiff,default_51,chromatin_od,3,27,56,81,0.9,0.9333333333333333,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,default_51,tm_score,3,28,51,74,0.9333333333333333,0.85,0.8222222222222222
original_14,canine cutaneous mast cell tumor,300.tiff,fill_alpha_0,chromatin_od,3,26,54,83,0.8666666666666667,0.9,0.9222222222222223
original_14,canine cutaneous mast cell tumor,300.tiff,fill_alpha_0,tm_score,3,25,48,65,0.8333333333333334,0.8,0.7222222222222222
original_14,canine cutaneous mast cell tumor,300.tiff,mass_only,chromatin_od,3,25,53,79,0.8333333333333334,0.8833333333333333,0.8777777777777778
original_14,canine cutaneous mast cell tumor,300.tiff,mass_only,tm_score,3,27,52,74,0.9,0.8666666666666667,0.8222222222222222
original_14,canine cutaneous mast cell tumor,300.tiff,fill_alpha_1,chromatin_od,3,27,54,79,0.9,0.9,0.8777777777777778
original_14,canine cutaneous mast cell tumor,300.tiff,fill_alpha_1,tm_score,3,27,55,79,0.9,0.9166666666666666,0.8777777777777778
original_14,canine cutaneous mast cell tumor,301.tiff,default_51,chromatin_od,3,22,48,73,0.7333333333333333,0.8,0.8111111111111111
original_14,canine cutaneous mast cell tumor,301.tiff,default_51,tm_score,3,20,42,64,0.6666666666666666,0.7,0.7111111111111111
original_14,canine cutaneous mast cell tumor,301.tiff,fill_alpha_0,chromatin_od,3,27,55,83,0.9,0.9166666666666666,0.9222222222222223
original_14,canine cutaneous mast cell tumor,301.tiff,fill_alpha_0,tm_score,3,23,49,74,0.7666666666666667,0.8166666666666667,0.8222222222222222
original_14,canine cutaneous mast cell tumor,301.tiff,mass_only,chromatin_od,3,22,50,75,0.7333333333333333,0.8333333333333334,0.8333333333333334
original_14,canine cutaneous mast cell tumor,301.tiff,mass_only,tm_score,3,15,34,55,0.5,0.5666666666666667,0.6111111111111112
original_14,canine cutaneous mast cell tumor,301.tiff,fill_alpha_1,chromatin_od,3,22,50,80,0.7333333333333333,0.8333333333333334,0.8888888888888888
original_14,canine cutaneous mast cell tumor,301.tiff,fill_alpha_1,tm_score,3,25,53,81,0.8333333333333334,0.8833333333333333,0.9
testing_35,canine cutaneous mast cell tumor,322.tiff,default_51,chromatin_od,3,24,41,46,0.8,0.6833333333333333,0.5111111111111111
testing_35,canine cutaneous mast cell tumor,322.tiff,default_51,tm_score,3,20,31,35,0.6666666666666666,0.5166666666666667,0.3888888888888889
testing_35,canine cutaneous mast cell tumor,322.tiff,fill_alpha_0,chromatin_od,3,24,41,43,0.8,0.6833333333333333,0.4777777777777778
testing_35,canine cutaneous mast cell tumor,322.tiff,fill_alpha_0,tm_score,3,18,23,27,0.6,0.38333333333333336,0.3
testing_35,canine cutaneous mast cell tumor,322.tiff,mass_only,chromatin_od,3,24,42,46,0.8,0.7,0.5111111111111111
testing_35,canine cutaneous mast cell tumor,322.tiff,mass_only,tm_score,3,18,29,32,0.6,0.48333333333333334,0.35555555555555557
testing_35,canine cutaneous mast cell tumor,322.tiff,fill_alpha_1,chromatin_od,3,24,42,48,0.8,0.7,0.5333333333333333
testing_35,canine cutaneous mast cell tumor,322.tiff,fill_alpha_1,tm_score,3,21,31,35,0.7,0.5166666666666667,0.3888888888888889
testing_35,canine cutaneous mast cell tumor,337.tiff,default_51,chromatin_od,3,24,33,38,0.8,0.55,0.4222222222222222
testing_35,canine cutaneous mast cell tumor,337.tiff,default_51,tm_score,3,15,29,36,0.5,0.48333333333333334,0.4
testing_35,canine cutaneous mast cell tumor,337.tiff,fill_alpha_0,chromatin_od,3,20,24,27,0.6666666666666666,0.4,0.3
testing_35,canine cutaneous mast cell tumor,337.tiff,fill_alpha_0,tm_score,3,13,17,19,0.43333333333333335,0.2833333333333333,0.2111111111111111
testing_35,canine cutaneous mast cell tumor,337.tiff,mass_only,chromatin_od,3,24,33,35,0.8,0.55,0.3888888888888889
testing_35,canine cutaneous mast cell tumor,337.tiff,mass_only,tm_score,3,16,27,32,0.5333333333333333,0.45,0.35555555555555557
testing_35,canine cutaneous mast cell tumor,337.tiff,fill_alpha_1,chromatin_od,3,24,33,38,0.8,0.55,0.4222222222222222
testing_35,canine cutaneous mast cell tumor,337.tiff,fill_alpha_1,tm_score,3,20,32,35,0.6666666666666666,0.5333333333333333,0.3888888888888889
testing_35,canine cutaneous mast cell tumor,339.tiff,default_51,chromatin_od,3,13,16,18,0.43333333333333335,0.26666666666666666,0.2
testing_35,canine cutaneous mast cell tumor,339.tiff,default_51,tm_score,3,9,16,17,0.3,0.26666666666666666,0.18888888888888888
testing_35,canine cutaneous mast cell tumor,339.tiff,fill_alpha_0,chromatin_od,3,9,12,12,0.3,0.2,0.13333333333333333
testing_35,canine cutaneous mast cell tumor,339.tiff,fill_alpha_0,tm_score,3,7,9,10,0.23333333333333334,0.15,0.1111111111111111
testing_35,canine cutaneous mast cell tumor,339.tiff,mass_only,chromatin_od,3,14,18,20,0.4666666666666667,0.3,0.2222222222222222
testing_35,canine cutaneous mast cell tumor,339.tiff,mass_only,tm_score,3,9,12,15,0.3,0.2,0.16666666666666666
testing_35,canine cutaneous mast cell tumor,339.tiff,fill_alpha_1,chromatin_od,3,14,16,18,0.4666666666666667,0.26666666666666666,0.2
testing_35,canine cutaneous mast cell tumor,339.tiff,fill_alpha_1,tm_score,3,9,16,17,0.3,0.26666666666666666,0.18888888888888888
