rank,cx,cy,score,od,bucket,matched_ann_id,matched_category,file_name,seed_index,condition,rank_key
0,5206.0,3075.0,4.7094283,0.19470727443695068,human_correct_label,14609,1,300.tiff,0,default_51,chromatin_od
1,4213.0,1382.0,3.9496343,0.18282127380371094,human_correct_label,14561,1,300.tiff,0,default_51,chromatin_od
2,5359.0,1168.0,4.2617707,0.181596577167511,human_correct_label,14632,1,300.tiff,0,default_51,chromatin_od
3,5858.0,3544.0,3.482155,0.1807204633951187,human_correct_label,14607,1,300.tiff,0,default_51,chromatin_od
4,1475.0,4337.0,3.863425,0.18035611510276794,human_correct_label,14503,1,300.tiff,0,default_51,chromatin_od
5,935.0,4139.0,3.3278635,0.17753061652183533,human_correct_label,14502,1,300.tiff,0,default_51,chromatin_od
6,4622.0,3191.0,3.6702769,0.17660290002822876,human_correct_label,14586,1,300.tiff,0,default_51,chromatin_od
7,5401.0,4471.0,4.407094,0.17600326240062714,non_human_findings,-1,0,300.tiff,0,default_51,chromatin_od
8,5894.0,914.0,4.072917,0.1755707710981369,human_correct_label,14637,1,300.tiff,0,default_51,chromatin_od
9,5120.0,1981.0,4.923272,0.17548270523548126,human_correct_label,14626,1,300.tiff,0,default_51,chromatin_od
10,170.0,1722.0,4.0818987,0.17470626533031464,human_correct_label,14477,1,300.tiff,0,default_51,chromatin_od
11,1458.0,1226.0,4.6941,0.1734342724084854,human_correct_label,14475,1,300.tiff,0,default_51,chromatin_od
12,1675.0,810.0,4.6705284,0.1727648824453354,human_correct_label,14545,1,300.tiff,0,default_51,chromatin_od
13,5653.0,4204.0,3.5346446,0.1724788248538971,human_correct_label,14600,1,300.tiff,0,default_51,chromatin_od
14,3307.0,1065.0,4.0328426,0.1723620891571045,human_correct_label,14559,1,300.tiff,0,default_51,chromatin_od
15,4787.0,586.0,4.421946,0.17129012942314148,human_correct_label,14642,1,300.tiff,0,default_51,chromatin_od
16,3482.0,1165.0,3.501125,0.17124536633491516,human_correct_label,14563,1,300.tiff,0,default_51,chromatin_od
17,3307.0,2633.0,3.1710846,0.1688164919614792,human_correct_label,14583,1,300.tiff,0,default_51,chromatin_od
18,4492.0,4338.0,4.77728,0.168381467461586,human_correct_label,14594,1,300.tiff,0,default_51,chromatin_od
19,4378.0,1824.0,3.730656,0.16824446618556976,human_correct_label,14568,1,300.tiff,0,default_51,chromatin_od
20,4478.0,2800.0,4.140798,0.16669565439224243,human_correct_label,14580,1,300.tiff,0,default_51,chromatin_od
21,4340.0,776.0,4.1095753,0.16648538410663605,human_rejected_label,14566,2,300.tiff,0,default_51,chromatin_od
22,5719.0,3805.0,3.4779768,0.16550181806087494,human_correct_label,14605,1,300.tiff,0,default_51,chromatin_od
23,5215.0,645.0,3.468043,0.1653144508600235,human_correct_label,14634,1,300.tiff,0,default_51,chromatin_od
24,6105.0,4531.0,4.657577,0.1652766466140747,human_correct_label,14598,1,300.tiff,0,default_51,chromatin_od
25,6088.0,1029.0,3.966051,0.1650671511888504,human_correct_label,14639,1,300.tiff,0,default_51,chromatin_od
26,768.0,3495.0,3.4540935,0.1638723760843277,human_correct_label,14501,1,300.tiff,0,default_51,chromatin_od
27,6213.0,627.0,3.8715262,0.16383196413516998,human_correct_label,14641,1,300.tiff,0,default_51,chromatin_od
28,5397.0,2272.0,3.8245404,0.16360288858413696,human_correct_label,14620,1,300.tiff,0,default_51,chromatin_od
29,4906.0,1571.0,4.1599274,0.1630316972732544,human_rejected_label,14680,2,300.tiff,0,default_51,chromatin_od
0,5120.0,1981.0,4.923272,0.17548270523548126,human_correct_label,14626,1,300.tiff,0,default_51,tm_score
1,4492.0,4338.0,4.77728,0.168381467461586,human_correct_label,14594,1,300.tiff,0,default_51,tm_score
2,5206.0,3075.0,4.7094283,0.19470727443695068,human_correct_label,14609,1,300.tiff,0,default_51,tm_score
3,1458.0,1226.0,4.6941,0.1734342724084854,human_correct_label,14475,1,300.tiff,0,default_51,tm_score
4,1675.0,810.0,4.6705284,0.1727648824453354,human_correct_label,14545,1,300.tiff,0,default_51,tm_score
5,6105.0,4531.0,4.657577,0.1652766466140747,human_correct_label,14598,1,300.tiff,0,default_51,tm_score
6,1104.0,1889.0,4.4979887,0.16298536956310272,human_correct_label,14482,1,300.tiff,0,default_51,tm_score
7,4787.0,586.0,4.421946,0.17129012942314148,human_correct_label,14642,1,300.tiff,0,default_51,tm_score
8,5401.0,4471.0,4.407094,0.17600326240062714,non_human_findings,-1,0,300.tiff,0,default_51,tm_score
9,5359.0,1168.0,4.2617707,0.181596577167511,human_correct_label,14632,1,300.tiff,0,default_51,tm_score
10,2388.0,1928.0,4.2471085,0.14863766729831696,human_correct_label,14537,1,300.tiff,0,default_51,tm_score
11,1794.0,2544.0,4.2181664,0.16141003370285034,human_correct_label,14534,1,300.tiff,0,default_51,tm_score
12,4906.0,1571.0,4.1599274,0.1630316972732544,human_rejected_label,14680,2,300.tiff,0,default_51,tm_score
13,4478.0,2800.0,4.140798,0.16669565439224243,human_correct_label,14580,1,300.tiff,0,default_51,tm_score
14,4340.0,776.0,4.1095753,0.16648538410663605,human_rejected_label,14566,2,300.tiff,0,default_51,tm_score
15,2258.0,3890.0,4.0847363,0.16171972453594208,human_correct_label,14518,1,300.tiff,0,default_51,tm_score
16,170.0,1722.0,4.0818987,0.17470626533031464,human_correct_label,14477,1,300.tiff,0,default_51,tm_score
17,5894.0,914.0,4.072917,0.1755707710981369,human_correct_label,14637,1,300.tiff,0,default_51,tm_score
18,3307.0,1065.0,4.0328426,0.1723620891571045,human_correct_label,14559,1,300.tiff,0,default_51,tm_score
19,6046.0,1134.0,4.0024185,0.1596328169107437,human_correct_label,14682,1,300.tiff,0,default_51,tm_score
20,5612.0,4164.0,3.9906433,0.14838913083076477,human_correct_label,14601,1,300.tiff,0,default_51,tm_score
21,6088.0,1029.0,3.966051,0.1650671511888504,human_correct_label,14639,1,300.tiff,0,default_51,tm_score
22,4604.0,4016.0,3.954507,0.15284408628940582,non_human_findings,-1,0,300.tiff,0,default_51,tm_score
23,4213.0,1382.0,3.9496343,0.18282127380371094,human_correct_label,14561,1,300.tiff,0,default_51,tm_score
