rank_key,pair,domain,scope,n_roi,pooled_delta_precision,wins,losses,ties,n_nonzero,exact_p,min_attainable_p,ci_low,ci_high,t_ci_low,t_ci_high,ci_excludes_0,delta_3click,loo_file,loo_delta_tp,loo_delta,holm_p,holm_adjusted_floor,bounds_nothing
tm_score,hem_rect_fill - default_51,ALL 49 ROIs (pooled),pooled,49,0.01802721088435374,24,17,8,41,0.014526815787576197,9.094947017729282e-13,0.004761904761904762,0.03197278911564626,0.0038382230811454584,0.03221619868756202,True,0.024489795918367346,,,,,2.7284841053187847e-12,False
tm_score,hem_rect_fill - default_51,canine cutaneous mast cell tumor,domain,7,0.02619047619047619,4,3,0,7,0.40625,0.015625,-0.007142857142857143,0.06904761904761905,-0.025591972035738254,0.07797292441669064,False,0.04285714285714286,337.tiff,8.0,0.008333333333333333,1.0,0.109375,True
tm_score,hem_rect_fill - default_51,canine lung cancer,domain,7,0.047619047619047616,5,0,2,5,0.0625,0.0625,0.02142857142857143,0.07380952380952381,0.011548118688659292,0.08368997654943594,True,0.06666666666666667,220.tiff,6.0,0.03888888888888889,0.4375,0.4375,True
tm_score,hem_rect_fill - default_51,canine lymphosarcoma,domain,7,0.06428571428571428,5,1,1,6,0.09375,0.03125,0.016666666666666666,0.11428571428571428,-0.00256513891627784,0.1311365674877064,True,0.05714285714285714,291.tiff,10.0,0.04722222222222222,0.5625,0.21875,True
tm_score,hem_rect_fill - default_51,canine soft tissue sarcoma,domain,7,0.002380952380952381,4,2,1,6,1.0,0.03125,-0.011904761904761904,0.014285714285714285,-0.01634695502807687,0.021108859789981636,False,0.01904761904761905,499.tiff,-2.0,0.008333333333333333,1.0,0.21875,True
tm_score,hem_rect_fill - default_51,human breast cancer,domain,7,0.0,1,3,3,4,1.0,0.125,-0.01904761904761905,0.023809523809523808,-0.02951574633109627,0.02951574633109627,False,-0.004761904761904762,094.tiff,4.0,-0.011111111111111112,1.0,0.875,True
tm_score,hem_rect_fill - default_51,human melanoma,domain,7,-0.007142857142857143,3,3,1,6,0.6875,0.03125,-0.02857142857142857,0.014285714285714285,-0.0364663164346768,0.02218060214896251,False,-0.004761904761904762,549.tiff,-3.0,0.0,1.0,0.21875,True
tm_score,hem_rect_fill - default_51,human neuroendocrine tumor,domain,7,-0.007142857142857143,2,5,0,7,0.75,0.015625,-0.030952380952380953,0.02142857142857143,-0.042580913626398265,0.028295199340683974,False,-0.004761904761904762,403.tiff,4.0,-0.019444444444444445,1.0,0.109375,True
tm_score,hem_rect_fill_1um - default_51,ALL 49 ROIs (pooled),pooled,49,0.0163265306122449,20,13,16,33,0.015675696777179837,2.3283064365386963e-10,0.004421768707482994,0.029251700680272108,0.0033079100404606356,0.029345151184029163,True,0.022448979591836733,,,,,6.984919309616089e-10,False
tm_score,hem_rect_fill_1um - default_51,canine cutaneous mast cell tumor,domain,7,0.014285714285714285,2,3,2,5,0.5,0.0625,-0.016666666666666666,0.05,-0.030590726776229215,0.059162155347657785,False,0.0380952380952381,301.tiff,5.0,0.002777777777777778,1.0,0.4375,True
