subset,domain,file_name,image_id,seed_index,seed_ann_id,click_cx,click_cy,mpp,is_recorded_seed,n_agreement_pool,n_after_border,n_joint_valid,n_seed_pool,n_retries,refused_draws,contested_seed_tier,margin_px,rect_y0,rect_y1,rect_x0,rect_x1,rect_h,rect_w,rectm_y0,rectm_y1,rectm_x0,rectm_x1,rectm_h,rectm_w,grow_top,grow_bottom,grow_left,grow_right,rect_touches_window_edge,n_comp_px,n_kept_px_rect,n_kept_px_rectm,n_kept_px_mask,mask_share_of_bbox,n_filled_px,n_filled_px_1um,n_filled_px_mask,fill_value,fill_value_1um,fill_value_mask,n_distinct_templates,collided_with_default,degenerate_hem_rect_fill,degenerate_hem_rect_fill_1um,degenerate_hem_mask_fill_1um,sha_default_51,sha_hem_rect_fill,sha_hem_rect_fill_1um,sha_hem_mask_fill_1um
original_14,canine cutaneous mast cell tumor,300.tiff,300,0,14499,1411.0,3551.0,0.2533008895448562,True,131,127,99,127,1,14581:hem_bbox,False,4,17,42,20,33,25,13,13,46,16,37,33,21,4,4,4,4,False,244,325,693,553,0.797979797979798,2276,1908,2048,0.022253340110182762,0.02157657779753208,0.021494831889867783,4,,False,False,False,9b97486771e4d1e64d8f23bf9a699769d9b79586,3f38c1d5894fd143169e2372b0f2005ea9396ec2,d341225d9e47fb46a19c105a3d3e020b558405d3,d4b83ae0af44027166b323785956dac1b5f20838
original_14,canine cutaneous mast cell tumor,300.tiff,300,1,14578,4652.0,2817.0,0.2533008895448562,True,131,127,99,126,1,14577:hem_bbox,False,4,16,30,13,34,14,21,12,34,9,38,22,29,4,4,4,4,False,166,294,638,437,0.6849529780564263,2307,1963,2164,0.018016451969742775,0.01856941729784012,0.017762301489710808,4,,False,False,False,72c93fa5c4c2e1d5e9365e10efcf32bd7e7fccc6,2299902a3f36249c4457cf4d831d90c16e471894,47896775a7a49bc3d8654ccebdf100f89a1413f6,0ea6a2ab693cad0e4616df3e646d4f6cb486d88e
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,14553,3995.0,564.0,0.2533008895448562,True,131,127,99,125,1,14614:gray_bbox+hem_bbox,False,4,16,37,15,40,21,25,12,41,11,44,29,33,4,4,4,4,False,391,525,957,753,0.786833855799373,2076,1644,1848,0.015333840623497963,0.012965726666152477,0.014309147372841835,4,,False,False,False,7707a565945709dcb6075d4dca17c2b287cc266b,3a1f06275ab65ed2e6efe8dc85eab719febeba62,3abefe6648e74574a14bd902d79867e9366d6bc4,35a47272267e4cfa0df5ec21b7453d044662f241
original_14,canine cutaneous mast cell tumor,300.tiff,300,3,14615,5651.0,2652.0,0.2533008895448562,False,131,127,99,124,0,,False,4,14,40,14,36,26,22,10,44,10,40,34,30,4,4,4,4,False,359,572,1020,766,0.7509803921568627,2029,1581,1835,0.02158256247639656,0.022149818018078804,0.02157214656472206,4,,False,False,False,72623f6c08e1b9280627e00e266299bff15b824d,aa026386daae5e3302832c2de11be0022a4f4679,7981d82e0435f643f40806d63f60b165e2121774,02f0206bbe1ba3de3baf45eb4ad902764b3898d1
original_14,canine cutaneous mast cell tumor,300.tiff,300,4,14501,774.0,3499.0,0.2533008895448562,False,131,127,99,123,0,,False,4,16,36,12,31,20,19,12,40,8,35,28,27,4,4,4,4,False,268,380,756,564,0.746031746031746,2221,1845,2037,0.02801060862839222,0.02903439849615097,0.027936497703194618,4,,False,False,False,2a365f7d4aa09e36f5e9e1d02bef1e91c6864472,ed2ae75a5c63c1888c2ee4fed455b9a47ae61ffb,10f8f6a6cdd15dbcf7999c9f571bfd9af114f6f6,4c5025b3da11685b51023ae36377c5348964d1f8
original_14,canine cutaneous mast cell tumor,300.tiff,300,5,14638,5976.0,882.0,0.2533008895448562,False,131,127,99,122,1,14614:gray_bbox+hem_bbox,False,4,22,33,9,37,11,28,18,37,5,41,19,36,4,4,4,4,False,228,308,684,535,0.7821637426900585,2293,1917,2066,0.0255439355969429,0.02656053751707077,0.02565304934978485,4,,False,False,False,452a4e9abb99f8254cdca96618b72710ab2a6a04,2f2ace8f4e982b8246603f9e66ceacf19225452f,c70d5f4e2152453ab528e28f0ce7536350906bf4,5a20589355c5eee7a80ddeb52de0baa20bb5d798
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,14969,5911.0,3548.0,0.2533008895448562,True,164,162,122,162,0,,False,4,14,46,12,39,32,27,10,50,8,43,40,35,4,4,4,4,False,417,864,1400,1041,0.7435714285714285,1737,1201,1560,0.028485409915447235,0.030680116266012192,0.02927244082093239,4,,False,False,False,97f410f43bb8c4613c96a140a5203a1937f5ae29,b49d1dec64fa02dcc14c2c94dffdfbcec8d70d30,6c0563e4d8a26b8ea788260432ab8af5fb728e13,f2ea4604bebcf62e640b7dcbc2f564350de7580a
original_14,canine cutaneous mast cell tumor,301.tiff,301,1,14874,6301.0,2294.0,0.2533008895448562,True,164,162,122,161,1,14753:gray_bbox+hem_bbox,False,4,11,35,12,37,24,25,7,39,8,41,32,33,4,4,4,4,False,277,600,1056,671,0.6354166666666666,2001,1545,1930,0.019851889461278915,0.020020367577672005,0.021319717168807983,4,,False,False,False,bed4023cf45d5d21f0d843d95f2cd237c7cdaaf5,8f7bed1d9d17fcd00be33335551837e6bcc96921,aa235744945b56496fed14c477250cb26948b49f,93ea9e0102912fb69fb55c7d7ca471690e80fd2f
original_14,canine cutaneous mast cell tumor,301.tiff,301,2,14782,6325.0,82.0,0.2533008895448562,True,164,162,122,160,1,14819:gray_bbox+hem_bbox,False,4,23,33,17,36,10,19,19,37,13,40,18,27,4,4,4,4,False,103,190,486,336,0.691358024691358,2411,2115,2265,0.023468809202313423,0.024489587172865868,0.02383185364305973,4,,False,False,False,9600ff68b2d3d3254f743b518d7c3969107d2226,d13e958db108e84ddfec66d442d5085c81d7df54,c1a7e298e400f1370d088b6bb53bf597fdc4d857,b6614245cc128ea9d2f46b044b943557f73b3095
original_14,canine cutaneous mast cell tumor,301.tiff,301,3,14921,6383.0,2786.0,0.2533008895448562,False,164,162,122,159,1,14788:gray_bbox+hem_bbox,False,4,13,38,15,40,25,25,9,42,11,44,33,33,4,4,4,4,False,460,625,1089,830,0.7621671258034894,1976,1512,1771,0.021111341193318367,0.022831175476312637,0.020989814773201942,4,,False,False,False,4ea11ed507d935e4e9fb3ab40e3c8ac205622dbd,c6287030676db19ddf3dd2d3a3574709da484b27,39cd97b521f041020630c2e3dc848a97c19a415e,10ef993b532e8c36d798f27b3450999dfe13fba4
