rank_key,pair,K,n_roi,n_clicks,pooled_delta_precision,wins,losses,ties,n_nonzero,exact_p,min_attainable_p,holm_family,holm_p,family_size,ci_low,ci_high,boot_share_ge_0,boot_share_le_0,boot_share_0_or_opposite,t_ci_low,t_ci_high,ci_excludes_0,t_ci_excludes_0,n_same_direction,majority_of_all_rois,d5_bar_met,d5_robustness,holm_adjusted_floor,bounds_nothing
chromatin_od,hem_rect_fill - default_51,10,49,294,0.0013605442176870747,15,16,18,31,0.7947009392082691,9.313225746154785e-10,chromatin_od | primary_3,0.9779226779937744,3.0,-0.005442176870748299,0.008843537414965987,0.6564,0.3821,0.3821,-0.0059413961372135815,0.008662484572587732,False,False,15,False,False,not met,2.7939677238464355e-09,False
chromatin_od,hem_rect_fill_1um - default_51,10,49,294,0.00510204081632653,15,10,24,25,0.2502768039703369,5.960464477539063e-08,chromatin_od | primary_3,0.7508304119110107,3.0,-0.0027210884353741495,0.013265306122448979,0.9034,0.1126,0.1126,-0.0030270903201625914,0.013231171952815653,False,False,15,False,False,not met,1.7881393432617188e-07,False
chromatin_od,hem_mask_fill_1um - default_51,10,49,294,0.003061224489795918,13,14,22,27,0.4889613389968872,1.4901161193847656e-08,chromatin_od | primary_3,0.9779226779937744,3.0,-0.004081632653061225,0.010884353741496598,0.7956,0.2317,0.2317,-0.004612875695670801,0.010735324675262638,False,False,13,False,False,not met,4.470348358154297e-08,False
chromatin_od,hem_rect_fill_1um - hem_rect_fill,10,49,294,0.0037414965986394557,12,6,31,18,0.16678619384765625,7.62939453125e-06,chromatin_od | secondary_2,0.3335723876953125,2.0,-0.0006802721088435374,0.008843537414965987,0.9609,0.0581,0.0581,-0.001072116296658863,0.008555109493937774,False,False,12,False,False,not met,1.52587890625e-05,False
chromatin_od,hem_mask_fill_1um - hem_rect_fill_1um,10,49,294,-0.0020408163265306124,6,9,34,15,0.4332275390625,6.103515625e-05,chromatin_od | secondary_2,0.4332275390625,2.0,-0.006122448979591836,0.0017006802721088435,0.176,0.8672,0.176,-0.006144152566580066,0.002062519913518841,False,False,9,False,False,not met,0.0001220703125,False
tm_score,hem_rect_fill - default_51,10,49,294,0.01802721088435374,24,17,8,41,0.014526815787576197,9.094947017729282e-13,tm_score | primary_3,0.04358044736272859,3.0,0.004761904761904762,0.03197278911564626,0.9971,0.0036,0.0036,0.0038382230811454584,0.03221619868756202,True,True,24,False,False,not met,2.7284841053187847e-12,False
tm_score,hem_rect_fill_1um - default_51,10,49,294,0.0163265306122449,20,13,16,33,0.015675696777179837,2.3283064365386963e-10,tm_score | primary_3,0.04358044736272859,3.0,0.004421768707482994,0.029251700680272108,0.9965,0.0045,0.0045,0.0033079100404606356,0.029345151184029163,True,True,20,False,False,not met,6.984919309616089e-10,False
tm_score,hem_mask_fill_1um - default_51,10,49,294,0.016666666666666666,23,16,10,39,0.04152064104346209,3.637978807091713e-12,tm_score | primary_3,0.04358044736272859,3.0,0.0020408163265306124,0.0326530612244898,0.9889,0.0129,0.0129,0.000789235520269646,0.03254409781306369,True,True,23,False,False,not met,1.0913936421275139e-11,False
tm_score,hem_rect_fill_1um - hem_rect_fill,10,49,294,-0.0017006802721088435,15,16,18,31,0.6245709527283907,9.313225746154785e-10,tm_score | secondary_2,1.0,2.0,-0.007142857142857143,0.003401360544217687,0.2927,0.7473,0.2927,-0.007249604291126185,0.003848243746908498,False,False,16,False,False,not met,1.862645149230957e-09,False
tm_score,hem_mask_fill_1um - hem_rect_fill_1um,10,49,294,0.0003401360544217687,14,16,19,30,1.0,1.862645149230957e-09,tm_score | secondary_2,1.0,2.0,-0.005442176870748299,0.006462585034013605,0.5647,0.481,0.481,-0.00572235455379274,0.006402626662636277,False,False,14,False,False,not met,3.725290298461914e-09,False
