subset,domain,file_name,image_id,seed_index,condition,keep_region,rank_key,seed_ann_id,click_cx,click_cy,mpp,match_radius_px,margin_px,is_recorded_seed,n_gt_mitotic,tpl_sha1,n_kept_px,n_filled_px,fill_value,n_peaks,max_peaks_binding,n_detections,n_blanked_px,n_near_click,near_click_detail,od_nan,rank_key_descending,t_search_s,tp_at_10,tp_at_20,tp_at_30,n_od_bit_exact,precision_at_10,precision_at_20,precision_at_30
original_14,canine cutaneous mast cell tumor,300.tiff,300,0,default_51,the whole window,chromatin_od,14499,1411.0,3551.0,0.2533008895448562,29.609055118110238,4,True,180,9b97486771e4d1e64d8f23bf9a699769d9b79586,2601,0,,100,True,100,2601,0,,0,True,1.231,9,19,27,30.0,0.9,0.95,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,0,default_51,the whole window,tm_score,14499,1411.0,3551.0,0.2533008895448562,29.609055118110238,4,True,180,9b97486771e4d1e64d8f23bf9a699769d9b79586,2601,0,,100,True,100,2601,0,,0,True,1.231,9,17,25,,0.9,0.85,0.8333333333333334
original_14,canine cutaneous mast cell tumor,300.tiff,300,0,hem_rect_fill,the Otsu rectangle,chromatin_od,14499,1411.0,3551.0,0.2533008895448562,29.609055118110238,4,True,180,3f38c1d5894fd143169e2372b0f2005ea9396ec2,325,2276,0.022253340110182762,100,True,100,2601,0,,0,True,1.223,9,18,26,30.0,0.9,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,300.tiff,300,0,hem_rect_fill,the Otsu rectangle,tm_score,14499,1411.0,3551.0,0.2533008895448562,29.609055118110238,4,True,180,3f38c1d5894fd143169e2372b0f2005ea9396ec2,325,2276,0.022253340110182762,100,True,100,2601,0,,0,True,1.223,9,18,25,,0.9,0.9,0.8333333333333334
original_14,canine cutaneous mast cell tumor,300.tiff,300,0,hem_rect_fill_1um,that rectangle + 1 um,chromatin_od,14499,1411.0,3551.0,0.2533008895448562,29.609055118110238,4,True,180,d341225d9e47fb46a19c105a3d3e020b558405d3,693,1908,0.02157657779753208,100,True,100,2601,0,,0,True,1.351,9,18,26,,0.9,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,300.tiff,300,0,hem_rect_fill_1um,that rectangle + 1 um,tm_score,14499,1411.0,3551.0,0.2533008895448562,29.609055118110238,4,True,180,d341225d9e47fb46a19c105a3d3e020b558405d3,693,1908,0.02157657779753208,100,True,100,2601,0,,0,True,1.351,8,18,25,,0.8,0.9,0.8333333333333334
original_14,canine cutaneous mast cell tumor,300.tiff,300,0,hem_mask_fill_1um,the Otsu component + 1 um,chromatin_od,14499,1411.0,3551.0,0.2533008895448562,29.609055118110238,4,True,180,d4b83ae0af44027166b323785956dac1b5f20838,553,2048,0.021494831889867783,100,True,100,2601,0,,0,True,1.221,9,18,26,,0.9,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,300.tiff,300,0,hem_mask_fill_1um,the Otsu component + 1 um,tm_score,14499,1411.0,3551.0,0.2533008895448562,29.609055118110238,4,True,180,d4b83ae0af44027166b323785956dac1b5f20838,553,2048,0.021494831889867783,100,True,100,2601,0,,0,True,1.221,8,18,25,,0.8,0.9,0.8333333333333334
original_14,canine cutaneous mast cell tumor,300.tiff,300,1,default_51,the whole window,chromatin_od,14578,4652.0,2817.0,0.2533008895448562,29.609055118110238,4,True,180,72c93fa5c4c2e1d5e9365e10efcf32bd7e7fccc6,2601,0,,100,True,100,2601,0,,0,True,1.216,9,19,27,30.0,0.9,0.95,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,1,default_51,the whole window,tm_score,14578,4652.0,2817.0,0.2533008895448562,29.609055118110238,4,True,180,72c93fa5c4c2e1d5e9365e10efcf32bd7e7fccc6,2601,0,,100,True,100,2601,0,,0,True,1.216,10,17,25,,1.0,0.85,0.8333333333333334
original_14,canine cutaneous mast cell tumor,300.tiff,300,1,hem_rect_fill,the Otsu rectangle,chromatin_od,14578,4652.0,2817.0,0.2533008895448562,29.609055118110238,4,True,180,2299902a3f36249c4457cf4d831d90c16e471894,294,2307,0.018016451969742775,100,True,99,2601,0,,0,True,1.225,9,18,26,30.0,0.9,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,300.tiff,300,1,hem_rect_fill,the Otsu rectangle,tm_score,14578,4652.0,2817.0,0.2533008895448562,29.609055118110238,4,True,180,2299902a3f36249c4457cf4d831d90c16e471894,294,2307,0.018016451969742775,100,True,99,2601,0,,0,True,1.225,10,20,29,,1.0,1.0,0.9666666666666667
original_14,canine cutaneous mast cell tumor,300.tiff,300,1,hem_rect_fill_1um,that rectangle + 1 um,chromatin_od,14578,4652.0,2817.0,0.2533008895448562,29.609055118110238,4,True,180,47896775a7a49bc3d8654ccebdf100f89a1413f6,638,1963,0.01856941729784012,100,True,99,2601,0,,0,True,1.439,10,19,27,,1.0,0.95,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,1,hem_rect_fill_1um,that rectangle + 1 um,tm_score,14578,4652.0,2817.0,0.2533008895448562,29.609055118110238,4,True,180,47896775a7a49bc3d8654ccebdf100f89a1413f6,638,1963,0.01856941729784012,100,True,99,2601,0,,0,True,1.439,10,20,27,,1.0,1.0,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,1,hem_mask_fill_1um,the Otsu component + 1 um,chromatin_od,14578,4652.0,2817.0,0.2533008895448562,29.609055118110238,4,True,180,0ea6a2ab693cad0e4616df3e646d4f6cb486d88e,437,2164,0.017762301489710808,100,True,99,2601,0,,0,True,1.251,10,19,27,,1.0,0.95,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,1,hem_mask_fill_1um,the Otsu component + 1 um,tm_score,14578,4652.0,2817.0,0.2533008895448562,29.609055118110238,4,True,180,0ea6a2ab693cad0e4616df3e646d4f6cb486d88e,437,2164,0.017762301489710808,100,True,99,2601,0,,0,True,1.251,10,20,28,,1.0,1.0,0.9333333333333333
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,default_51,the whole window,chromatin_od,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,4,True,180,7707a565945709dcb6075d4dca17c2b287cc266b,2601,0,,100,True,100,2601,0,,0,True,1.206,9,18,27,30.0,0.9,0.9,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,default_51,the whole window,tm_score,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,4,True,180,7707a565945709dcb6075d4dca17c2b287cc266b,2601,0,,100,True,100,2601,0,,0,True,1.206,9,17,24,,0.9,0.85,0.8
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,hem_rect_fill,the Otsu rectangle,chromatin_od,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,4,True,180,3a1f06275ab65ed2e6efe8dc85eab719febeba62,525,2076,0.015333840623497963,100,True,99,2601,0,,0,True,1.213,9,18,27,30.0,0.9,0.9,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,hem_rect_fill,the Otsu rectangle,tm_score,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,4,True,180,3a1f06275ab65ed2e6efe8dc85eab719febeba62,525,2076,0.015333840623497963,100,True,99,2601,0,,0,True,1.213,8,17,25,,0.8,0.85,0.8333333333333334
original_14,canine cutaneous mast cell tumor,300.tiff,300,2,hem_rect_fill_1um,that rectangle + 1 um,chromatin_od,14553,3995.0,564.0,0.2533008895448562,29.609055118110238,4,True,180,3abefe6648e74574a14bd902d79867e9366d6bc4,957,1644,0.012965726666152477,100,True,100,2601,0,,0,True,1.215,10,19,28,,1.0,0.95,0.9333333333333333
