metric,K,z,n_roi,n_seed,mean,lo,hi,p,roi_positive
recall,25,1.0,7,5,0.008798537432018881,-0.04389240353353311,0.06148947839757087,0.697019904849498,3
precision,25,1.0,7,5,-0.04971428571428571,-0.12902435055696687,0.02959577912839545,0.1759716260629099,2
recall,50,1.0,7,5,-0.0026813986963825356,-0.04900544638874487,0.0436426489959798,0.8920036332586455,2
precision,50,1.0,7,5,-0.035714285714285705,-0.10648304542473228,0.03505447399616087,0.26304340419489164,2
recall,100,1.0,7,5,0.0026836910627242904,-0.07599234964779862,0.0813597317732472,0.9361962475961865,2
precision,100,1.0,7,5,-0.02328571428571429,-0.06881879973479446,0.022247371163365885,0.25738249347508213,2
recall,250,1.0,7,5,0.03221115914269471,-0.04736173413474413,0.11178405242013356,0.36017235614487153,3
precision,250,1.0,7,5,0.005485714285714297,-0.015078013325251266,0.026049441896679862,0.5381061599792676,4
recall,500,1.0,7,5,0.01430900711659017,-0.043181763173104834,0.07179977740628518,0.564844008283238,4
precision,500,1.0,7,5,0.0015714285714285754,-0.007546273875004961,0.010689131017862112,0.6879189520903364,4
recall,1000,1.0,7,5,0.00953895246098663,-0.028962592770654123,0.04804049769262739,0.5665722657592293,4
precision,1000,1.0,7,5,8.571428571428452e-05,-0.0031518749190367315,0.0033233034904653004,0.9504525577782214,4
recall,2000,1.0,7,5,0.0030697894570414215,-0.02697331828833569,0.033112897202418536,0.8109091132478876,3
precision,2000,1.0,7,5,-5.00000000000006e-05,-0.0015047346393593105,0.0014047346393593093,0.935711478261062,3
recall,5000,1.0,7,5,-0.010266484864005502,-0.0184623682331003,-0.0020706014949107045,0.022080271761197486,1
precision,5000,1.0,7,5,-0.00029428571428571394,-0.0005446700666297573,-4.390136194167059e-05,0.02820694477753118,1
