file_name,image_id,tumor_type,decision_grade,seed_index,provenance,seed_ann_id,seed_cx,seed_cy,base_size,map_median,mad_scale,extract_floor,n_pool,channel,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_100,z_cut,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget
301.tiff,301,canine cutaneous mast cell tumor,True,0,a_mitotic,14976,345.0,4518.0,35,-0.01969,0.3026,0.13161,17073,rgb,pipeline,od,True,2.0,True,False,217,108,9647,0.6696,89,2,0.008707,0.9032258064516129,29.609,156.0,1400.0,,0.58551,500,500,148,38,0.6820276497695853
301.tiff,301,canine cutaneous mast cell tumor,True,0,a_mitotic,14976,345.0,4518.0,35,-0.01969,0.3026,0.13161,17073,rgb,pipeline,od,True,2.0,True,False,217,108,9647,0.6696,89,2,0.008707,0.9032258064516129,29.609,156.0,1400.0,,0.58551,1000,1000,171,52,0.7880184331797235
301.tiff,301,canine cutaneous mast cell tumor,True,0,a_mitotic,14976,345.0,4518.0,35,-0.01969,0.3026,0.13161,17073,rgb,pipeline,od,True,2.0,True,False,217,108,9647,0.6696,89,2,0.008707,0.9032258064516129,29.609,156.0,1400.0,,0.58551,2000,2000,182,72,0.8387096774193549
301.tiff,301,canine cutaneous mast cell tumor,True,0,a_mitotic,14976,345.0,4518.0,35,-0.01969,0.3026,0.13161,17073,rgb,pipeline,od,True,2.0,True,False,217,108,9647,0.6696,89,2,0.008707,0.9032258064516129,29.609,156.0,1400.0,,0.58551,5000,5000,190,85,0.8755760368663594
301.tiff,301,canine cutaneous mast cell tumor,True,0,b_lookalike,15050,2794.0,4574.5,21,-0.00137,0.29009,0.14368,17842,rgb,pipeline,od,True,2.0,True,False,217,108,11403,0.7601,86,2,0.014207,0.8940092165898618,29.609,232.0,2379.0,,0.57882,500,500,136,39,0.6267281105990783
301.tiff,301,canine cutaneous mast cell tumor,True,0,b_lookalike,15050,2794.0,4574.5,21,-0.00137,0.29009,0.14368,17842,rgb,pipeline,od,True,2.0,True,False,217,108,11403,0.7601,86,2,0.014207,0.8940092165898618,29.609,232.0,2379.0,,0.57882,1000,1000,151,57,0.695852534562212
301.tiff,301,canine cutaneous mast cell tumor,True,0,b_lookalike,15050,2794.0,4574.5,21,-0.00137,0.29009,0.14368,17842,rgb,pipeline,od,True,2.0,True,False,217,108,11403,0.7601,86,2,0.014207,0.8940092165898618,29.609,232.0,2379.0,,0.57882,2000,2000,168,68,0.7741935483870968
301.tiff,301,canine cutaneous mast cell tumor,True,0,b_lookalike,15050,2794.0,4574.5,21,-0.00137,0.29009,0.14368,17842,rgb,pipeline,od,True,2.0,True,False,217,108,11403,0.7601,86,2,0.014207,0.8940092165898618,29.609,232.0,2379.0,,0.57882,5000,5000,187,82,0.8617511520737328
301.tiff,301,canine cutaneous mast cell tumor,True,0,c_random_blob,-1,3983.4,971.3,41,-0.00185,0.17784,0.08708,17009,rgb,pipeline,od,True,2.0,True,False,217,108,9993,0.6923,93,2,0.006204,0.9216589861751152,29.609,168.0,1331.0,,0.35384,500,500,151,45,0.695852534562212
301.tiff,301,canine cutaneous mast cell tumor,True,0,c_random_blob,-1,3983.4,971.3,41,-0.00185,0.17784,0.08708,17009,rgb,pipeline,od,True,2.0,True,False,217,108,9993,0.6923,93,2,0.006204,0.9216589861751152,29.609,168.0,1331.0,,0.35384,1000,1000,168,66,0.7741935483870968
301.tiff,301,canine cutaneous mast cell tumor,True,0,c_random_blob,-1,3983.4,971.3,41,-0.00185,0.17784,0.08708,17009,rgb,pipeline,od,True,2.0,True,False,217,108,9993,0.6923,93,2,0.006204,0.9216589861751152,29.609,168.0,1331.0,,0.35384,2000,2000,180,82,0.8294930875576036
301.tiff,301,canine cutaneous mast cell tumor,True,0,c_random_blob,-1,3983.4,971.3,41,-0.00185,0.17784,0.08708,17009,rgb,pipeline,od,True,2.0,True,False,217,108,9993,0.6923,93,2,0.006204,0.9216589861751152,29.609,168.0,1331.0,,0.35384,5000,5000,196,90,0.9032258064516129
