file_name,ranker,n_gt_mitotic,n_captured,n_pool,ceiling,quantile,sens_of_captured,sens_of_all_gt,depth,frac_of_pool,fp_lookalike,fp_unannotated,fp_per_tp
301.tiff,blob_score,218,218,20370,1.0,0.5,0.5,0.5,167,0.0082,24,34,0.5
301.tiff,blob_score,218,218,20370,1.0,0.9,0.9037,0.9037,720,0.0353,79,444,2.7
301.tiff,blob_score,218,218,20370,1.0,0.95,0.9541,0.9541,1428,0.0701,91,1129,5.9
301.tiff,blob_score,218,218,20370,1.0,0.98,0.9817,0.9817,4307,0.2114,102,3991,19.1
301.tiff,blob_score,218,218,20370,1.0,0.99,0.9908,0.9908,6101,0.2995,105,5780,27.2
301.tiff,blob_score,218,218,20370,1.0,1.0,1.0,1.0,7750,0.3805,105,7427,34.6
301.tiff,chromatin_od,218,218,20370,1.0,0.5,0.5,0.5,191,0.0094,16,66,0.8
301.tiff,chromatin_od,218,218,20370,1.0,0.9,0.9037,0.9037,4218,0.2071,94,3927,20.4
301.tiff,chromatin_od,218,218,20370,1.0,0.95,0.9541,0.9541,8106,0.3979,103,7795,38.0
301.tiff,chromatin_od,218,218,20370,1.0,0.98,0.9817,0.9817,14695,0.7214,107,14374,67.7
301.tiff,chromatin_od,218,218,20370,1.0,0.99,0.9908,0.9908,15300,0.7511,107,14977,69.8
301.tiff,chromatin_od,218,218,20370,1.0,1.0,1.0,1.0,19934,0.9786,107,19609,90.4
301.tiff,rankfuse,218,218,20370,1.0,0.5,0.5,0.5,159,0.0078,16,34,0.5
301.tiff,rankfuse,218,218,20370,1.0,0.9,0.9037,0.9037,2161,0.1061,89,1875,10.0
301.tiff,rankfuse,218,218,20370,1.0,0.95,0.9541,0.9541,4489,0.2204,98,4183,20.6
301.tiff,rankfuse,218,218,20370,1.0,0.98,0.9817,0.9817,8079,0.3966,107,7758,36.8
301.tiff,rankfuse,218,218,20370,1.0,0.99,0.9908,0.9908,9772,0.4797,107,9449,44.2
301.tiff,rankfuse,218,218,20370,1.0,1.0,1.0,1.0,10192,0.5003,107,9867,45.8
300.tiff,blob_score,181,181,17376,1.0,0.5,0.5028,0.5028,143,0.0082,13,39,0.6
