file_name,ann_id,channel,rec_accepted,ss_accepted,accept_agrees,rec_base_size,ss_base_size,size_agrees
300.tiff,14581,gray_inverted,True,True,True,45.0,45.0,True
300.tiff,14581,hematoxylin_od,False,False,True,,,True
300.tiff,14575,gray_inverted,True,True,True,33.0,33.0,True
300.tiff,14575,hematoxylin_od,True,True,True,19.0,19.0,True
201.tiff,4457,gray_inverted,True,True,True,51.0,51.0,True
201.tiff,4457,hematoxylin_od,True,True,True,29.0,29.0,True
201.tiff,4469,gray_inverted,True,True,True,51.0,51.0,True
201.tiff,4469,hematoxylin_od,True,True,True,31.0,31.0,True
245.tiff,6274,gray_inverted,True,True,True,47.0,47.0,True
245.tiff,6274,hematoxylin_od,False,False,True,,,True
245.tiff,6243,gray_inverted,True,True,True,51.0,51.0,True
245.tiff,6243,hematoxylin_od,True,True,True,35.0,35.0,True
459.tiff,22441,gray_inverted,True,True,True,33.0,33.0,True
459.tiff,22441,hematoxylin_od,True,True,True,31.0,31.0,True
459.tiff,22446,gray_inverted,True,True,True,41.0,41.0,True
459.tiff,22446,hematoxylin_od,True,True,True,39.0,39.0,True
013.tiff,254,gray_inverted,True,True,True,31.0,31.0,True
013.tiff,254,hematoxylin_od,False,False,True,,,True
013.tiff,243,gray_inverted,False,False,True,,,True
013.tiff,243,hematoxylin_od,False,False,True,,,True
529.tiff,24918,gray_inverted,True,True,True,37.0,37.0,True
529.tiff,24918,hematoxylin_od,True,True,True,33.0,33.0,True
529.tiff,24937,gray_inverted,True,True,True,41.0,41.0,True
529.tiff,24937,hematoxylin_od,True,True,True,33.0,33.0,True
402.tiff,20254,gray_inverted,True,True,True,29.0,29.0,True
402.tiff,20254,hematoxylin_od,True,True,True,25.0,25.0,True
402.tiff,20258,gray_inverted,True,True,True,51.0,51.0,True
402.tiff,20258,hematoxylin_od,True,True,True,33.0,33.0,True
