file_name,ann_id,channel,base_size,offset_px,template_readable_at_patch_size_73
300.tiff,14581,gray_inverted,45.0,0.0,True
300.tiff,14575,gray_inverted,33.0,6.800735254367722,True
300.tiff,14575,hematoxylin_od,19.0,3.3541019662496847,True
201.tiff,4457,gray_inverted,51.0,0.5,True
201.tiff,4457,hematoxylin_od,29.0,5.0,True
201.tiff,4469,gray_inverted,51.0,3.0,True
201.tiff,4469,hematoxylin_od,31.0,2.0615528128088303,True
245.tiff,6274,gray_inverted,47.0,3.605551275463989,True
245.tiff,6243,gray_inverted,51.0,1.0,True
245.tiff,6243,hematoxylin_od,35.0,14.300349646075091,True
459.tiff,22441,gray_inverted,33.0,0.7071067811865476,True
459.tiff,22441,hematoxylin_od,31.0,1.0,True
459.tiff,22446,gray_inverted,41.0,2.23606797749979,True
459.tiff,22446,hematoxylin_od,39.0,1.4142135623730951,True
013.tiff,254,gray_inverted,31.0,4.924428900898052,True
529.tiff,24918,gray_inverted,37.0,6.082762530298219,True
529.tiff,24918,hematoxylin_od,33.0,6.670832032063167,True
529.tiff,24937,gray_inverted,41.0,2.0615528128088303,True
529.tiff,24937,hematoxylin_od,33.0,1.5811388300841898,True
402.tiff,20254,gray_inverted,29.0,1.8027756377319946,True
402.tiff,20254,hematoxylin_od,25.0,2.0,True
402.tiff,20258,gray_inverted,51.0,7.0,True
402.tiff,20258,hematoxylin_od,33.0,4.527692569068709,True
