check,label,n_gt,n_excluded,n_excluded_strict,excluded_ann_ids,passed,n_items,caps,n_seeds,n_distinct_ann,pool_size,n_distinct_streams,n_direct,n_filtered,file_name,seed_index,method,z
tissue_mask_covers_gt,300.tiff,266.0,0.0,0.0,,True,,,,,,,,,,,,
no_cap,300.tiff/tm_ccoeff,,,,,True,15700.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_od,,,,,True,15700.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff@matched,,,,,True,15700.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_normed,,,,,True,16238.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_normed_od,,,,,True,16238.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_normed@matched,,,,,True,15700.0,(),,,,,,,,,,
no_cap,300.tiff/blob_native,,,,,True,17376.0,(),,,,,,,,,,
no_cap,300.tiff/blob_od,,,,,True,17376.0,(),,,,,,,,,,
no_cap,300.tiff/blob_native@matched,,,,,True,15700.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff,,,,,True,13300.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_od,,,,,True,13300.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff@matched,,,,,True,13300.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_normed,,,,,True,14029.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_normed_od,,,,,True,14029.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_normed@matched,,,,,True,14029.0,(),,,,,,,,,,
no_cap,300.tiff/pipeline_as_shipped,,,,,True,15647.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccoeff,,,,,True,16180.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_od,,,,,True,16180.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff@matched,,,,,True,16180.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_normed,,,,,True,16754.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_normed_od,,,,,True,16754.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_normed@matched,,,,,True,16180.0,(),,,,,,,,,,
no_cap,300.tiff/blob_native,,,,,True,17376.0,(),,,,,,,,,,
no_cap,300.tiff/blob_od,,,,,True,17376.0,(),,,,,,,,,,
no_cap,300.tiff/blob_native@matched,,,,,True,16180.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff,,,,,True,13300.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_od,,,,,True,13300.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff@matched,,,,,True,13300.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_normed,,,,,True,14029.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_normed_od,,,,,True,14029.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_normed@matched,,,,,True,14029.0,(),,,,,,,,,,
no_cap,300.tiff/pipeline_as_shipped,,,,,True,18075.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccoeff,,,,,True,16241.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_od,,,,,True,16241.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff@matched,,,,,True,16241.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_normed,,,,,True,16796.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_normed_od,,,,,True,16796.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_normed@matched,,,,,True,16241.0,(),,,,,,,,,,
no_cap,300.tiff/blob_native,,,,,True,17376.0,(),,,,,,,,,,
no_cap,300.tiff/blob_od,,,,,True,17376.0,(),,,,,,,,,,
no_cap,300.tiff/blob_native@matched,,,,,True,16241.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff,,,,,True,13300.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_od,,,,,True,13300.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff@matched,,,,,True,13300.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_normed,,,,,True,14029.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_normed_od,,,,,True,14029.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_normed@matched,,,,,True,14029.0,(),,,,,,,,,,
no_cap,300.tiff/pipeline_as_shipped,,,,,True,16181.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccoeff,,,,,True,16506.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_od,,,,,True,16506.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff@matched,,,,,True,16506.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_normed,,,,,True,17019.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_normed_od,,,,,True,17019.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_normed@matched,,,,,True,16506.0,(),,,,,,,,,,
no_cap,300.tiff/blob_native,,,,,True,17376.0,(),,,,,,,,,,
no_cap,300.tiff/blob_od,,,,,True,17376.0,(),,,,,,,,,,
no_cap,300.tiff/blob_native@matched,,,,,True,16506.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff,,,,,True,13300.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_od,,,,,True,13300.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff@matched,,,,,True,13300.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_normed,,,,,True,14029.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_normed_od,,,,,True,14029.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_normed@matched,,,,,True,14029.0,(),,,,,,,,,,
no_cap,300.tiff/pipeline_as_shipped,,,,,True,17857.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccoeff,,,,,True,16679.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_od,,,,,True,16679.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff@matched,,,,,True,16679.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_normed,,,,,True,17196.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_normed_od,,,,,True,17196.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_normed@matched,,,,,True,16679.0,(),,,,,,,,,,
no_cap,300.tiff/blob_native,,,,,True,17376.0,(),,,,,,,,,,
no_cap,300.tiff/blob_od,,,,,True,17376.0,(),,,,,,,,,,
no_cap,300.tiff/blob_native@matched,,,,,True,16679.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff,,,,,True,13300.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_od,,,,,True,13300.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff@matched,,,,,True,13300.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_normed,,,,,True,14029.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_normed_od,,,,,True,14029.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_normed@matched,,,,,True,14029.0,(),,,,,,,,,,
no_cap,300.tiff/pipeline_as_shipped,,,,,True,17576.0,(),,,,,,,,,,
distinct_seeds,300.tiff,,,,,True,,,5.0,5.0,127.0,5.0,,,,,,
no_cap,300.tiff/lookalike_ccoeff,,,,,True,16747.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/lookalike_ccoeff_od,,,,,True,16747.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/lookalike_ccoeff@matched,,,,,True,16747.0,(),,,,,,,,,,
no_cap,300.tiff/lookalike_ccoeff_normed,,,,,True,17160.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/lookalike_ccoeff_normed_od,,,,,True,17160.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/lookalike_ccoeff_normed@matched,,,,,True,16747.0,(),,,,,,,,,,
tissue_mask_covers_gt,301.tiff,327.0,0.0,0.0,,True,,,,,,,,,,,,
no_cap,301.tiff/tm_ccoeff,,,,,True,16871.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,301.tiff/tm_ccoeff_od,,,,,True,16871.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,301.tiff/tm_ccoeff@matched,,,,,True,16871.0,(),,,,,,,,,,
no_cap,301.tiff/tm_ccoeff_normed,,,,,True,17201.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,301.tiff/tm_ccoeff_normed_od,,,,,True,17201.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,301.tiff/tm_ccoeff_normed@matched,,,,,True,16871.0,(),,,,,,,,,,
no_cap,301.tiff/blob_native,,,,,True,20370.0,(),,,,,,,,,,
no_cap,301.tiff/blob_od,,,,,True,20370.0,(),,,,,,,,,,
no_cap,301.tiff/blob_native@matched,,,,,True,16871.0,(),,,,,,,,,,
no_cap,301.tiff/disc_ccoeff,,,,,True,14300.0,(),,,,,,,,,,
no_cap,301.tiff/disc_ccoeff_od,,,,,True,14300.0,(),,,,,,,,,,
no_cap,301.tiff/disc_ccoeff@matched,,,,,True,14300.0,(),,,,,,,,,,
no_cap,301.tiff/disc_ccoeff_normed,,,,,True,14614.0,(),,,,,,,,,,
no_cap,301.tiff/disc_ccoeff_normed_od,,,,,True,14614.0,(),,,,,,,,,,
no_cap,301.tiff/disc_ccoeff_normed@matched,,,,,True,14614.0,(),,,,,,,,,,
no_cap,301.tiff/pipeline_as_shipped,,,,,True,17255.0,(),,,,,,,,,,
no_cap,301.tiff/tm_ccoeff,,,,,True,18023.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,301.tiff/tm_ccoeff_od,,,,,True,18023.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,301.tiff/tm_ccoeff@matched,,,,,True,18023.0,(),,,,,,,,,,
no_cap,301.tiff/tm_ccoeff_normed,,,,,True,18091.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,301.tiff/tm_ccoeff_normed_od,,,,,True,18091.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,301.tiff/tm_ccoeff_normed@matched,,,,,True,18023.0,(),,,,,,,,,,
no_cap,301.tiff/blob_native,,,,,True,20370.0,(),,,,,,,,,,
no_cap,301.tiff/blob_od,,,,,True,20370.0,(),,,,,,,,,,
no_cap,301.tiff/blob_native@matched,,,,,True,18023.0,(),,,,,,,,,,
no_cap,301.tiff/disc_ccoeff,,,,,True,14300.0,(),,,,,,,,,,
no_cap,301.tiff/disc_ccoeff_od,,,,,True,14300.0,(),,,,,,,,,,
no_cap,301.tiff/disc_ccoeff@matched,,,,,True,14300.0,(),,,,,,,,,,
no_cap,301.tiff/disc_ccoeff_normed,,,,,True,14614.0,(),,,,,,,,,,
no_cap,301.tiff/disc_ccoeff_normed_od,,,,,True,14614.0,(),,,,,,,,,,
no_cap,301.tiff/disc_ccoeff_normed@matched,,,,,True,14614.0,(),,,,,,,,,,
no_cap,301.tiff/pipeline_as_shipped,,,,,True,16740.0,(),,,,,,,,,,
no_cap,301.tiff/tm_ccoeff,,,,,True,17941.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,301.tiff/tm_ccoeff_od,,,,,True,17941.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,301.tiff/tm_ccoeff@matched,,,,,True,17941.0,(),,,,,,,,,,
no_cap,301.tiff/tm_ccoeff_normed,,,,,True,18099.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,301.tiff/tm_ccoeff_normed_od,,,,,True,18099.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,301.tiff/tm_ccoeff_normed@matched,,,,,True,17941.0,(),,,,,,,,,,
no_cap,301.tiff/blob_native,,,,,True,20370.0,(),,,,,,,,,,
no_cap,301.tiff/blob_od,,,,,True,20370.0,(),,,,,,,,,,
no_cap,301.tiff/blob_native@matched,,,,,True,17941.0,(),,,,,,,,,,
no_cap,301.tiff/disc_ccoeff,,,,,True,14300.0,(),,,,,,,,,,
no_cap,301.tiff/disc_ccoeff_od,,,,,True,14300.0,(),,,,,,,,,,
no_cap,301.tiff/disc_ccoeff@matched,,,,,True,14300.0,(),,,,,,,,,,
no_cap,301.tiff/disc_ccoeff_normed,,,,,True,14614.0,(),,,,,,,,,,
no_cap,301.tiff/disc_ccoeff_normed_od,,,,,True,14614.0,(),,,,,,,,,,
no_cap,301.tiff/disc_ccoeff_normed@matched,,,,,True,14614.0,(),,,,,,,,,,
no_cap,301.tiff/pipeline_as_shipped,,,,,True,17681.0,(),,,,,,,,,,
no_cap,301.tiff/tm_ccoeff,,,,,True,17503.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,301.tiff/tm_ccoeff_od,,,,,True,17503.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,301.tiff/tm_ccoeff@matched,,,,,True,17503.0,(),,,,,,,,,,
no_cap,301.tiff/tm_ccoeff_normed,,,,,True,17512.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,301.tiff/tm_ccoeff_normed_od,,,,,True,17512.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,301.tiff/tm_ccoeff_normed@matched,,,,,True,17503.0,(),,,,,,,,,,
no_cap,301.tiff/blob_native,,,,,True,20370.0,(),,,,,,,,,,
no_cap,301.tiff/blob_od,,,,,True,20370.0,(),,,,,,,,,,
no_cap,301.tiff/blob_native@matched,,,,,True,17503.0,(),,,,,,,,,,
no_cap,301.tiff/disc_ccoeff,,,,,True,14300.0,(),,,,,,,,,,
