file_name,tumor_type,seed_index,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_90,read_95,read_99,read_100,axis,cutoff_rule,z_used,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget
301.tiff,canine cutaneous mast cell tumor,0,tm_score@current,score,True,1.0,True,False,217,109,22227,0.9739,109,2,0.0,1.0,29.609,345.0,2131.0,4697.0,9433.0,12798.0,15929.0,tm_score,current,1.0,25,25,21,3,0.0967741935483871
301.tiff,canine cutaneous mast cell tumor,0,tm_score@current,score,True,1.0,True,False,217,109,22227,0.9739,109,2,0.0,1.0,29.609,345.0,2131.0,4697.0,9433.0,12798.0,15929.0,tm_score,current,1.0,50,50,38,5,0.17511520737327188
301.tiff,canine cutaneous mast cell tumor,0,tm_score@current,score,True,1.0,True,False,217,109,22227,0.9739,109,2,0.0,1.0,29.609,345.0,2131.0,4697.0,9433.0,12798.0,15929.0,tm_score,current,1.0,100,100,71,7,0.3271889400921659
301.tiff,canine cutaneous mast cell tumor,0,tm_score@current,score,True,1.0,True,False,217,109,22227,0.9739,109,2,0.0,1.0,29.609,345.0,2131.0,4697.0,9433.0,12798.0,15929.0,tm_score,current,1.0,250,250,103,16,0.47465437788018433
301.tiff,canine cutaneous mast cell tumor,0,tm_score@current,score,True,1.0,True,False,217,109,22227,0.9739,109,2,0.0,1.0,29.609,345.0,2131.0,4697.0,9433.0,12798.0,15929.0,tm_score,current,1.0,500,500,121,27,0.5576036866359447
301.tiff,canine cutaneous mast cell tumor,0,tm_score@current,score,True,1.0,True,False,217,109,22227,0.9739,109,2,0.0,1.0,29.609,345.0,2131.0,4697.0,9433.0,12798.0,15929.0,tm_score,current,1.0,1000,1000,141,43,0.6497695852534562
301.tiff,canine cutaneous mast cell tumor,0,tm_score@current,score,True,1.0,True,False,217,109,22227,0.9739,109,2,0.0,1.0,29.609,345.0,2131.0,4697.0,9433.0,12798.0,15929.0,tm_score,current,1.0,2000,2000,169,61,0.7788018433179723
301.tiff,canine cutaneous mast cell tumor,0,tm_score@current,score,True,1.0,True,False,217,109,22227,0.9739,109,2,0.0,1.0,29.609,345.0,2131.0,4697.0,9433.0,12798.0,15929.0,tm_score,current,1.0,5000,5000,196,96,0.9032258064516129
301.tiff,canine cutaneous mast cell tumor,0,chromatin_od@current,od,True,1.0,True,False,217,109,22227,0.9739,109,2,0.0,1.0,29.609,198.0,1693.0,4637.0,7345.0,16813.0,17213.0,chromatin_od,current,1.0,25,25,20,3,0.09216589861751152
301.tiff,canine cutaneous mast cell tumor,0,chromatin_od@current,od,True,1.0,True,False,217,109,22227,0.9739,109,2,0.0,1.0,29.609,198.0,1693.0,4637.0,7345.0,16813.0,17213.0,chromatin_od,current,1.0,50,50,41,3,0.1889400921658986
301.tiff,canine cutaneous mast cell tumor,0,chromatin_od@current,od,True,1.0,True,False,217,109,22227,0.9739,109,2,0.0,1.0,29.609,198.0,1693.0,4637.0,7345.0,16813.0,17213.0,chromatin_od,current,1.0,100,100,75,11,0.3456221198156682
301.tiff,canine cutaneous mast cell tumor,0,chromatin_od@current,od,True,1.0,True,False,217,109,22227,0.9739,109,2,0.0,1.0,29.609,198.0,1693.0,4637.0,7345.0,16813.0,17213.0,chromatin_od,current,1.0,250,250,121,24,0.5576036866359447
301.tiff,canine cutaneous mast cell tumor,0,chromatin_od@current,od,True,1.0,True,False,217,109,22227,0.9739,109,2,0.0,1.0,29.609,198.0,1693.0,4637.0,7345.0,16813.0,17213.0,chromatin_od,current,1.0,500,500,140,36,0.6451612903225806
301.tiff,canine cutaneous mast cell tumor,0,chromatin_od@current,od,True,1.0,True,False,217,109,22227,0.9739,109,2,0.0,1.0,29.609,198.0,1693.0,4637.0,7345.0,16813.0,17213.0,chromatin_od,current,1.0,1000,1000,164,58,0.7557603686635944
301.tiff,canine cutaneous mast cell tumor,0,chromatin_od@current,od,True,1.0,True,False,217,109,22227,0.9739,109,2,0.0,1.0,29.609,198.0,1693.0,4637.0,7345.0,16813.0,17213.0,chromatin_od,current,1.0,2000,2000,181,78,0.8341013824884793
301.tiff,canine cutaneous mast cell tumor,0,chromatin_od@current,od,True,1.0,True,False,217,109,22227,0.9739,109,2,0.0,1.0,29.609,198.0,1693.0,4637.0,7345.0,16813.0,17213.0,chromatin_od,current,1.0,5000,5000,198,97,0.9124423963133641
301.tiff,canine cutaneous mast cell tumor,0,tm_score@global,score,True,1.30788,True,False,217,109,20732,0.9581,109,2,0.0,1.0,29.609,345.0,2131.0,4697.0,9433.0,12798.0,15929.0,tm_score,global,1.30788,25,25,21,3,0.0967741935483871
301.tiff,canine cutaneous mast cell tumor,0,tm_score@global,score,True,1.30788,True,False,217,109,20732,0.9581,109,2,0.0,1.0,29.609,345.0,2131.0,4697.0,9433.0,12798.0,15929.0,tm_score,global,1.30788,50,50,38,5,0.17511520737327188
301.tiff,canine cutaneous mast cell tumor,0,tm_score@global,score,True,1.30788,True,False,217,109,20732,0.9581,109,2,0.0,1.0,29.609,345.0,2131.0,4697.0,9433.0,12798.0,15929.0,tm_score,global,1.30788,100,100,71,7,0.3271889400921659
301.tiff,canine cutaneous mast cell tumor,0,tm_score@global,score,True,1.30788,True,False,217,109,20732,0.9581,109,2,0.0,1.0,29.609,345.0,2131.0,4697.0,9433.0,12798.0,15929.0,tm_score,global,1.30788,250,250,103,16,0.47465437788018433
