tumor_type,file_name,seed_index,seed_ann_id,n_retries,base_size,n_pool,n_gt_mitotic,deep_recall,map_median,mad_scale,z_max,tp_score_min,n_at_current_z,n_at_z_max,pct_pool_cut
canine cutaneous mast cell tumor,301.tiff,0,14969,0,41,17963,217,1.0,-0.022474195808172226,0.2035910030543804,1.5595299005508423,0.2950320541858673,16687,15326,8.16
canine cutaneous mast cell tumor,301.tiff,1,14753,0,51,18528,217,1.0,-0.017068948596715927,0.38105881909132,1.6454887390136719,0.609959065914154,17635,15130,14.2
canine cutaneous mast cell tumor,301.tiff,2,14823,0,19,18688,217,1.0,-0.0019507219549268484,0.025850814581662416,2.7202959060668945,0.06837114691734314,17529,12646,27.86
canine cutaneous mast cell tumor,301.tiff,3,14788,0,19,18644,217,1.0,0.0001347028010059148,0.015163191386684774,1.0636110305786133,0.016262440010905266,17659,17528,0.74
canine cutaneous mast cell tumor,301.tiff,4,14817,0,27,18088,217,0.9908,-0.028705082833766937,0.25393150461316105,2.40494704246521,0.5819867253303528,16932,12438,26.54
canine lung cancer,201.tiff,0,4457,0,51,15848,17,1.0,-0.028425928205251694,0.6122996424436569,4.07609224319458,2.4673638343811035,12973,662,94.9
canine lung cancer,201.tiff,1,4457,0,51,15848,17,1.0,-0.028425928205251694,0.6122996424436569,4.07609224319458,2.4673638343811035,12973,662,94.9
canine lung cancer,201.tiff,2,4475,0,51,14727,17,1.0,-0.04185693338513374,0.866125324165821,2.9928243160247803,2.5503039360046387,11855,2823,76.19
canine lung cancer,201.tiff,3,4454,0,47,16087,17,1.0,-0.032930951565504074,0.7091016953408718,3.464264154434204,2.4235846996307373,13182,2180,83.46
canine lung cancer,201.tiff,4,4479,0,51,14218,17,1.0,-0.04357011243700981,1.0104498967766762,3.027251720428467,3.0153160095214844,11508,2220,80.71
canine lymphosarcoma,246.tiff,0,6548,0,41,17763,115,1.0,-0.006127519533038139,0.17130555468052625,2.7220458984375,0.4601740837097168,16836,5426,67.77
canine lymphosarcoma,246.tiff,1,6599,0,51,17808,115,1.0,-0.004754615481942892,0.18055911477059125,1.8915382623672485,0.3367798626422882,16653,12144,27.08
canine lymphosarcoma,246.tiff,2,6484,0,47,17603,115,0.9826,-0.0036368416622281075,0.18420176402181385,2.3642191886901855,0.4318564832210541,16354,7184,56.07
