check,label,n_items,caps,passed,used_radius,expected_radius,mpp
no_cap,301.tiff/tm_score,17963.0,"(2000000,)",True,,,
nms_radius,301.tiff/tm_score,,,True,29.609055118110238,29.609055118110238,0.2533008895448562
no_cap,301.tiff/chromatin_od,17963.0,"(2000000,)",True,,,
nms_radius,301.tiff/chromatin_od,,,True,29.609055118110238,29.609055118110238,0.2533008895448562
no_cap,301.tiff/tm_score,17959.0,"(2000000,)",True,,,
nms_radius,301.tiff/tm_score,,,True,29.609055118110238,29.609055118110238,0.2533008895448562
no_cap,301.tiff/chromatin_od,17959.0,"(2000000,)",True,,,
nms_radius,301.tiff/chromatin_od,,,True,29.609055118110238,29.609055118110238,0.2533008895448562
no_cap,301.tiff/tm_score,17882.0,"(2000000,)",True,,,
nms_radius,301.tiff/tm_score,,,True,29.609055118110238,29.609055118110238,0.2533008895448562
no_cap,301.tiff/chromatin_od,17882.0,"(2000000,)",True,,,
nms_radius,301.tiff/chromatin_od,,,True,29.609055118110238,29.609055118110238,0.2533008895448562
no_cap,301.tiff/tm_score,17455.0,"(2000000,)",True,,,
nms_radius,301.tiff/tm_score,,,True,29.609055118110238,29.609055118110238,0.2533008895448562
no_cap,301.tiff/chromatin_od,17455.0,"(2000000,)",True,,,
nms_radius,301.tiff/chromatin_od,,,True,29.609055118110238,29.609055118110238,0.2533008895448562
no_cap,301.tiff/tm_score,16687.0,"(2000000,)",True,,,
nms_radius,301.tiff/tm_score,,,True,29.609055118110238,29.609055118110238,0.2533008895448562
no_cap,301.tiff/chromatin_od,16687.0,"(2000000,)",True,,,
nms_radius,301.tiff/chromatin_od,,,True,29.609055118110238,29.609055118110238,0.2533008895448562
no_cap,301.tiff/tm_score,15530.0,"(2000000,)",True,,,
nms_radius,301.tiff/tm_score,,,True,29.609055118110238,29.609055118110238,0.2533008895448562
no_cap,301.tiff/chromatin_od,15530.0,"(2000000,)",True,,,
