file_name,tumor_type,seed_index,z,n_at_z
301.tiff,canine cutaneous mast cell tumor,0,0.0,17882
301.tiff,canine cutaneous mast cell tumor,0,0.05,17864
301.tiff,canine cutaneous mast cell tumor,0,0.1,17837
301.tiff,canine cutaneous mast cell tumor,0,0.15,17803
301.tiff,canine cutaneous mast cell tumor,0,0.2,17767
301.tiff,canine cutaneous mast cell tumor,0,0.25,17725
301.tiff,canine cutaneous mast cell tumor,0,0.3,17674
301.tiff,canine cutaneous mast cell tumor,0,0.35,17635
301.tiff,canine cutaneous mast cell tumor,0,0.4,17581
301.tiff,canine cutaneous mast cell tumor,0,0.45,17509
301.tiff,canine cutaneous mast cell tumor,0,0.5,17455
301.tiff,canine cutaneous mast cell tumor,0,0.55,17407
301.tiff,canine cutaneous mast cell tumor,0,0.6,17329
301.tiff,canine cutaneous mast cell tumor,0,0.65,17263
301.tiff,canine cutaneous mast cell tumor,0,0.7,17192
301.tiff,canine cutaneous mast cell tumor,0,0.75,17124
301.tiff,canine cutaneous mast cell tumor,0,0.8,17035
301.tiff,canine cutaneous mast cell tumor,0,0.85,16955
301.tiff,canine cutaneous mast cell tumor,0,0.9,16867
301.tiff,canine cutaneous mast cell tumor,0,0.95,16787
301.tiff,canine cutaneous mast cell tumor,0,1.0,16687
301.tiff,canine cutaneous mast cell tumor,0,1.05,16587
301.tiff,canine cutaneous mast cell tumor,0,1.1,16498
301.tiff,canine cutaneous mast cell tumor,0,1.15,16410
301.tiff,canine cutaneous mast cell tumor,0,1.2,16297
301.tiff,canine cutaneous mast cell tumor,0,1.25,16174
301.tiff,canine cutaneous mast cell tumor,0,1.3,16057
301.tiff,canine cutaneous mast cell tumor,0,1.35,15938
301.tiff,canine cutaneous mast cell tumor,0,1.4,15818
301.tiff,canine cutaneous mast cell tumor,0,1.45,15681
301.tiff,canine cutaneous mast cell tumor,0,1.5,15530
301.tiff,canine cutaneous mast cell tumor,0,1.55,15350
301.tiff,canine cutaneous mast cell tumor,0,1.6,15168
301.tiff,canine cutaneous mast cell tumor,0,1.65,15000
301.tiff,canine cutaneous mast cell tumor,0,1.7,14800
301.tiff,canine cutaneous mast cell tumor,0,1.75,14565
301.tiff,canine cutaneous mast cell tumor,0,1.8,14357
301.tiff,canine cutaneous mast cell tumor,0,1.85,14116
301.tiff,canine cutaneous mast cell tumor,0,1.9,13882
301.tiff,canine cutaneous mast cell tumor,0,1.95,13604
301.tiff,canine cutaneous mast cell tumor,0,2.0,13347
301.tiff,canine cutaneous mast cell tumor,0,2.05,13062
301.tiff,canine cutaneous mast cell tumor,0,2.1,12764
301.tiff,canine cutaneous mast cell tumor,0,2.15,12446
301.tiff,canine cutaneous mast cell tumor,0,2.2,12129
301.tiff,canine cutaneous mast cell tumor,0,2.25,11771
301.tiff,canine cutaneous mast cell tumor,0,2.3,11380
301.tiff,canine cutaneous mast cell tumor,0,2.35,11007
301.tiff,canine cutaneous mast cell tumor,0,2.4,10652
301.tiff,canine cutaneous mast cell tumor,0,2.45,10273
301.tiff,canine cutaneous mast cell tumor,0,2.5,9855
301.tiff,canine cutaneous mast cell tumor,0,2.55,9448
301.tiff,canine cutaneous mast cell tumor,0,2.6,9042
301.tiff,canine cutaneous mast cell tumor,0,2.65,8658
301.tiff,canine cutaneous mast cell tumor,0,2.7,8251
301.tiff,canine cutaneous mast cell tumor,0,2.75,7835
301.tiff,canine cutaneous mast cell tumor,0,2.8,7432
301.tiff,canine cutaneous mast cell tumor,0,2.85,7031
301.tiff,canine cutaneous mast cell tumor,0,2.9,6652
301.tiff,canine cutaneous mast cell tumor,0,2.95,6272
301.tiff,canine cutaneous mast cell tumor,0,3.0,5879
301.tiff,canine cutaneous mast cell tumor,0,3.05,5488
301.tiff,canine cutaneous mast cell tumor,0,3.1,5143
301.tiff,canine cutaneous mast cell tumor,0,3.15,4765
301.tiff,canine cutaneous mast cell tumor,0,3.2,4456
301.tiff,canine cutaneous mast cell tumor,0,3.25,4151
301.tiff,canine cutaneous mast cell tumor,0,3.3,3844
301.tiff,canine cutaneous mast cell tumor,0,3.35,3569
301.tiff,canine cutaneous mast cell tumor,0,3.4,3296
301.tiff,canine cutaneous mast cell tumor,0,3.45,3073
301.tiff,canine cutaneous mast cell tumor,0,3.5,2844
301.tiff,canine cutaneous mast cell tumor,0,3.55,2619
301.tiff,canine cutaneous mast cell tumor,0,3.6,2430
301.tiff,canine cutaneous mast cell tumor,0,3.65,2262
301.tiff,canine cutaneous mast cell tumor,0,3.7,2079
301.tiff,canine cutaneous mast cell tumor,0,3.75,1950
301.tiff,canine cutaneous mast cell tumor,0,3.8,1794
301.tiff,canine cutaneous mast cell tumor,0,3.85,1639
301.tiff,canine cutaneous mast cell tumor,0,3.9,1532
301.tiff,canine cutaneous mast cell tumor,0,3.95,1426
301.tiff,canine cutaneous mast cell tumor,0,4.0,1313
301.tiff,canine cutaneous mast cell tumor,0,4.05,1208
301.tiff,canine cutaneous mast cell tumor,0,4.1,1108
301.tiff,canine cutaneous mast cell tumor,0,4.15,1020
301.tiff,canine cutaneous mast cell tumor,0,4.2,934
301.tiff,canine cutaneous mast cell tumor,0,4.25,861
301.tiff,canine cutaneous mast cell tumor,0,4.3,794
301.tiff,canine cutaneous mast cell tumor,0,4.35,747
301.tiff,canine cutaneous mast cell tumor,0,4.4,695
301.tiff,canine cutaneous mast cell tumor,0,4.45,646
301.tiff,canine cutaneous mast cell tumor,0,4.5,594
301.tiff,canine cutaneous mast cell tumor,0,4.55,551
301.tiff,canine cutaneous mast cell tumor,0,4.6,511
301.tiff,canine cutaneous mast cell tumor,0,4.65,464
301.tiff,canine cutaneous mast cell tumor,0,4.7,424
301.tiff,canine cutaneous mast cell tumor,0,4.75,397
301.tiff,canine cutaneous mast cell tumor,0,4.8,366
301.tiff,canine cutaneous mast cell tumor,0,4.85,329
301.tiff,canine cutaneous mast cell tumor,0,4.9,303
301.tiff,canine cutaneous mast cell tumor,0,4.95,281
301.tiff,canine cutaneous mast cell tumor,0,5.0,263
301.tiff,canine cutaneous mast cell tumor,0,5.05,245
301.tiff,canine cutaneous mast cell tumor,0,5.1,235
301.tiff,canine cutaneous mast cell tumor,0,5.15,219
301.tiff,canine cutaneous mast cell tumor,0,5.2,203
301.tiff,canine cutaneous mast cell tumor,0,5.25,195
301.tiff,canine cutaneous mast cell tumor,0,5.3,187
301.tiff,canine cutaneous mast cell tumor,0,5.35,179
301.tiff,canine cutaneous mast cell tumor,0,5.4,166
301.tiff,canine cutaneous mast cell tumor,0,5.45,157
301.tiff,canine cutaneous mast cell tumor,0,5.5,146
301.tiff,canine cutaneous mast cell tumor,0,5.55,137
301.tiff,canine cutaneous mast cell tumor,0,5.6,131
301.tiff,canine cutaneous mast cell tumor,0,5.65,125
301.tiff,canine cutaneous mast cell tumor,0,5.7,122
301.tiff,canine cutaneous mast cell tumor,0,5.75,114
301.tiff,canine cutaneous mast cell tumor,0,5.8,106
301.tiff,canine cutaneous mast cell tumor,0,5.85,98
301.tiff,canine cutaneous mast cell tumor,0,5.9,90
301.tiff,canine cutaneous mast cell tumor,0,5.95,85
301.tiff,canine cutaneous mast cell tumor,0,6.0,83
301.tiff,canine cutaneous mast cell tumor,1,0.0,18512
301.tiff,canine cutaneous mast cell tumor,1,0.05,18505
301.tiff,canine cutaneous mast cell tumor,1,0.1,18496
301.tiff,canine cutaneous mast cell tumor,1,0.15,18484
301.tiff,canine cutaneous mast cell tumor,1,0.2,18479
301.tiff,canine cutaneous mast cell tumor,1,0.25,18464
301.tiff,canine cutaneous mast cell tumor,1,0.3,18450
301.tiff,canine cutaneous mast cell tumor,1,0.35,18432
301.tiff,canine cutaneous mast cell tumor,1,0.4,18408
301.tiff,canine cutaneous mast cell tumor,1,0.45,18380
301.tiff,canine cutaneous mast cell tumor,1,0.5,18350
301.tiff,canine cutaneous mast cell tumor,1,0.55,18305
301.tiff,canine cutaneous mast cell tumor,1,0.6,18251
301.tiff,canine cutaneous mast cell tumor,1,0.65,18190
301.tiff,canine cutaneous mast cell tumor,1,0.7,18128
301.tiff,canine cutaneous mast cell tumor,1,0.75,18055
301.tiff,canine cutaneous mast cell tumor,1,0.8,17988
301.tiff,canine cutaneous mast cell tumor,1,0.85,17908
301.tiff,canine cutaneous mast cell tumor,1,0.9,17839
301.tiff,canine cutaneous mast cell tumor,1,0.95,17750
301.tiff,canine cutaneous mast cell tumor,1,1.0,17635
301.tiff,canine cutaneous mast cell tumor,1,1.05,17512
301.tiff,canine cutaneous mast cell tumor,1,1.1,17384
301.tiff,canine cutaneous mast cell tumor,1,1.15,17254
301.tiff,canine cutaneous mast cell tumor,1,1.2,17082
301.tiff,canine cutaneous mast cell tumor,1,1.25,16932
301.tiff,canine cutaneous mast cell tumor,1,1.3,16771
301.tiff,canine cutaneous mast cell tumor,1,1.35,16577
301.tiff,canine cutaneous mast cell tumor,1,1.4,16358
301.tiff,canine cutaneous mast cell tumor,1,1.45,16150
301.tiff,canine cutaneous mast cell tumor,1,1.5,15935
301.tiff,canine cutaneous mast cell tumor,1,1.55,15686
301.tiff,canine cutaneous mast cell tumor,1,1.6,15396
301.tiff,canine cutaneous mast cell tumor,1,1.65,15107
301.tiff,canine cutaneous mast cell tumor,1,1.7,14786
301.tiff,canine cutaneous mast cell tumor,1,1.75,14468
301.tiff,canine cutaneous mast cell tumor,1,1.8,14146
301.tiff,canine cutaneous mast cell tumor,1,1.85,13784
301.tiff,canine cutaneous mast cell tumor,1,1.9,13447
301.tiff,canine cutaneous mast cell tumor,1,1.95,13081
301.tiff,canine cutaneous mast cell tumor,1,2.0,12683
301.tiff,canine cutaneous mast cell tumor,1,2.05,12270
301.tiff,canine cutaneous mast cell tumor,1,2.1,11843
301.tiff,canine cutaneous mast cell tumor,1,2.15,11452
301.tiff,canine cutaneous mast cell tumor,1,2.2,11043
301.tiff,canine cutaneous mast cell tumor,1,2.25,10623
301.tiff,canine cutaneous mast cell tumor,1,2.3,10207
301.tiff,canine cutaneous mast cell tumor,1,2.35,9771
301.tiff,canine cutaneous mast cell tumor,1,2.4,9362
301.tiff,canine cutaneous mast cell tumor,1,2.45,8946
301.tiff,canine cutaneous mast cell tumor,1,2.5,8533
301.tiff,canine cutaneous mast cell tumor,1,2.55,8151
301.tiff,canine cutaneous mast cell tumor,1,2.6,7746
301.tiff,canine cutaneous mast cell tumor,1,2.65,7339
301.tiff,canine cutaneous mast cell tumor,1,2.7,6954
301.tiff,canine cutaneous mast cell tumor,1,2.75,6574
301.tiff,canine cutaneous mast cell tumor,1,2.8,6209
301.tiff,canine cutaneous mast cell tumor,1,2.85,5860
301.tiff,canine cutaneous mast cell tumor,1,2.9,5497
301.tiff,canine cutaneous mast cell tumor,1,2.95,5132
301.tiff,canine cutaneous mast cell tumor,1,3.0,4812
301.tiff,canine cutaneous mast cell tumor,1,3.05,4512
301.tiff,canine cutaneous mast cell tumor,1,3.1,4217
301.tiff,canine cutaneous mast cell tumor,1,3.15,3948
301.tiff,canine cutaneous mast cell tumor,1,3.2,3678
301.tiff,canine cutaneous mast cell tumor,1,3.25,3449
301.tiff,canine cutaneous mast cell tumor,1,3.3,3227
301.tiff,canine cutaneous mast cell tumor,1,3.35,2998
301.tiff,canine cutaneous mast cell tumor,1,3.4,2779
301.tiff,canine cutaneous mast cell tumor,1,3.45,2606
301.tiff,canine cutaneous mast cell tumor,1,3.5,2409
301.tiff,canine cutaneous mast cell tumor,1,3.55,2235
301.tiff,canine cutaneous mast cell tumor,1,3.6,2078
301.tiff,canine cutaneous mast cell tumor,1,3.65,1945
301.tiff,canine cutaneous mast cell tumor,1,3.7,1807
301.tiff,canine cutaneous mast cell tumor,1,3.75,1692
301.tiff,canine cutaneous mast cell tumor,1,3.8,1554
301.tiff,canine cutaneous mast cell tumor,1,3.85,1451
301.tiff,canine cutaneous mast cell tumor,1,3.9,1364
301.tiff,canine cutaneous mast cell tumor,1,3.95,1259
301.tiff,canine cutaneous mast cell tumor,1,4.0,1151
301.tiff,canine cutaneous mast cell tumor,1,4.05,1064
301.tiff,canine cutaneous mast cell tumor,1,4.1,992
301.tiff,canine cutaneous mast cell tumor,1,4.15,928
301.tiff,canine cutaneous mast cell tumor,1,4.2,870
301.tiff,canine cutaneous mast cell tumor,1,4.25,796
301.tiff,canine cutaneous mast cell tumor,1,4.3,746
301.tiff,canine cutaneous mast cell tumor,1,4.35,687
301.tiff,canine cutaneous mast cell tumor,1,4.4,635
301.tiff,canine cutaneous mast cell tumor,1,4.45,591
301.tiff,canine cutaneous mast cell tumor,1,4.5,551
301.tiff,canine cutaneous mast cell tumor,1,4.55,509
301.tiff,canine cutaneous mast cell tumor,1,4.6,481
301.tiff,canine cutaneous mast cell tumor,1,4.65,441
301.tiff,canine cutaneous mast cell tumor,1,4.7,412
301.tiff,canine cutaneous mast cell tumor,1,4.75,383
301.tiff,canine cutaneous mast cell tumor,1,4.8,364
301.tiff,canine cutaneous mast cell tumor,1,4.85,339
301.tiff,canine cutaneous mast cell tumor,1,4.9,325
301.tiff,canine cutaneous mast cell tumor,1,4.95,295
301.tiff,canine cutaneous mast cell tumor,1,5.0,276
301.tiff,canine cutaneous mast cell tumor,1,5.05,262
301.tiff,canine cutaneous mast cell tumor,1,5.1,246
301.tiff,canine cutaneous mast cell tumor,1,5.15,230
301.tiff,canine cutaneous mast cell tumor,1,5.2,216
301.tiff,canine cutaneous mast cell tumor,1,5.25,202
301.tiff,canine cutaneous mast cell tumor,1,5.3,184
301.tiff,canine cutaneous mast cell tumor,1,5.35,173
301.tiff,canine cutaneous mast cell tumor,1,5.4,168
301.tiff,canine cutaneous mast cell tumor,1,5.45,154
301.tiff,canine cutaneous mast cell tumor,1,5.5,140
301.tiff,canine cutaneous mast cell tumor,1,5.55,125
301.tiff,canine cutaneous mast cell tumor,1,5.6,120
301.tiff,canine cutaneous mast cell tumor,1,5.65,114
301.tiff,canine cutaneous mast cell tumor,1,5.7,107
301.tiff,canine cutaneous mast cell tumor,1,5.75,101
301.tiff,canine cutaneous mast cell tumor,1,5.8,92
301.tiff,canine cutaneous mast cell tumor,1,5.85,88
301.tiff,canine cutaneous mast cell tumor,1,5.9,80
301.tiff,canine cutaneous mast cell tumor,1,5.95,72
301.tiff,canine cutaneous mast cell tumor,1,6.0,68
301.tiff,canine cutaneous mast cell tumor,2,0.0,18669
301.tiff,canine cutaneous mast cell tumor,2,0.05,18659
301.tiff,canine cutaneous mast cell tumor,2,0.1,18640
301.tiff,canine cutaneous mast cell tumor,2,0.15,18622
301.tiff,canine cutaneous mast cell tumor,2,0.2,18593
301.tiff,canine cutaneous mast cell tumor,2,0.25,18553
301.tiff,canine cutaneous mast cell tumor,2,0.3,18516
301.tiff,canine cutaneous mast cell tumor,2,0.35,18474
301.tiff,canine cutaneous mast cell tumor,2,0.4,18417
301.tiff,canine cutaneous mast cell tumor,2,0.45,18364
301.tiff,canine cutaneous mast cell tumor,2,0.5,18312
301.tiff,canine cutaneous mast cell tumor,2,0.55,18244
301.tiff,canine cutaneous mast cell tumor,2,0.6,18181
301.tiff,canine cutaneous mast cell tumor,2,0.65,18108
301.tiff,canine cutaneous mast cell tumor,2,0.7,18035
301.tiff,canine cutaneous mast cell tumor,2,0.75,17956
301.tiff,canine cutaneous mast cell tumor,2,0.8,17868
301.tiff,canine cutaneous mast cell tumor,2,0.85,17788
301.tiff,canine cutaneous mast cell tumor,2,0.9,17704
301.tiff,canine cutaneous mast cell tumor,2,0.95,17620
301.tiff,canine cutaneous mast cell tumor,2,1.0,17529
301.tiff,canine cutaneous mast cell tumor,2,1.05,17450
301.tiff,canine cutaneous mast cell tumor,2,1.1,17363
301.tiff,canine cutaneous mast cell tumor,2,1.15,17285
301.tiff,canine cutaneous mast cell tumor,2,1.2,17198
301.tiff,canine cutaneous mast cell tumor,2,1.25,17108
301.tiff,canine cutaneous mast cell tumor,2,1.3,17025
301.tiff,canine cutaneous mast cell tumor,2,1.35,16928
301.tiff,canine cutaneous mast cell tumor,2,1.4,16816
301.tiff,canine cutaneous mast cell tumor,2,1.45,16710
301.tiff,canine cutaneous mast cell tumor,2,1.5,16614
301.tiff,canine cutaneous mast cell tumor,2,1.55,16518
301.tiff,canine cutaneous mast cell tumor,2,1.6,16416
301.tiff,canine cutaneous mast cell tumor,2,1.65,16293
301.tiff,canine cutaneous mast cell tumor,2,1.7,16177
301.tiff,canine cutaneous mast cell tumor,2,1.75,16064
301.tiff,canine cutaneous mast cell tumor,2,1.8,15943
301.tiff,canine cutaneous mast cell tumor,2,1.85,15827
301.tiff,canine cutaneous mast cell tumor,2,1.9,15682
301.tiff,canine cutaneous mast cell tumor,2,1.95,15566
301.tiff,canine cutaneous mast cell tumor,2,2.0,15421
301.tiff,canine cutaneous mast cell tumor,2,2.05,15271
301.tiff,canine cutaneous mast cell tumor,2,2.1,15108
301.tiff,canine cutaneous mast cell tumor,2,2.15,14937
301.tiff,canine cutaneous mast cell tumor,2,2.2,14767
301.tiff,canine cutaneous mast cell tumor,2,2.25,14599
301.tiff,canine cutaneous mast cell tumor,2,2.3,14436
301.tiff,canine cutaneous mast cell tumor,2,2.35,14244
301.tiff,canine cutaneous mast cell tumor,2,2.4,14067
301.tiff,canine cutaneous mast cell tumor,2,2.45,13865
301.tiff,canine cutaneous mast cell tumor,2,2.5,13629
301.tiff,canine cutaneous mast cell tumor,2,2.55,13393
301.tiff,canine cutaneous mast cell tumor,2,2.6,13174
301.tiff,canine cutaneous mast cell tumor,2,2.65,12964
301.tiff,canine cutaneous mast cell tumor,2,2.7,12735
301.tiff,canine cutaneous mast cell tumor,2,2.75,12506
301.tiff,canine cutaneous mast cell tumor,2,2.8,12238
301.tiff,canine cutaneous mast cell tumor,2,2.85,11976
301.tiff,canine cutaneous mast cell tumor,2,2.9,11709
301.tiff,canine cutaneous mast cell tumor,2,2.95,11402
301.tiff,canine cutaneous mast cell tumor,2,3.0,11123
301.tiff,canine cutaneous mast cell tumor,2,3.05,10840
301.tiff,canine cutaneous mast cell tumor,2,3.1,10524
301.tiff,canine cutaneous mast cell tumor,2,3.15,10220
301.tiff,canine cutaneous mast cell tumor,2,3.2,9925
301.tiff,canine cutaneous mast cell tumor,2,3.25,9669
301.tiff,canine cutaneous mast cell tumor,2,3.3,9375
301.tiff,canine cutaneous mast cell tumor,2,3.35,9089
301.tiff,canine cutaneous mast cell tumor,2,3.4,8777
301.tiff,canine cutaneous mast cell tumor,2,3.45,8474
301.tiff,canine cutaneous mast cell tumor,2,3.5,8178
301.tiff,canine cutaneous mast cell tumor,2,3.55,7869
301.tiff,canine cutaneous mast cell tumor,2,3.6,7566
301.tiff,canine cutaneous mast cell tumor,2,3.65,7268
301.tiff,canine cutaneous mast cell tumor,2,3.7,6971
301.tiff,canine cutaneous mast cell tumor,2,3.75,6710
301.tiff,canine cutaneous mast cell tumor,2,3.8,6404
301.tiff,canine cutaneous mast cell tumor,2,3.85,6118
301.tiff,canine cutaneous mast cell tumor,2,3.9,5861
301.tiff,canine cutaneous mast cell tumor,2,3.95,5577
301.tiff,canine cutaneous mast cell tumor,2,4.0,5323
301.tiff,canine cutaneous mast cell tumor,2,4.05,5079
301.tiff,canine cutaneous mast cell tumor,2,4.1,4851
301.tiff,canine cutaneous mast cell tumor,2,4.15,4622
301.tiff,canine cutaneous mast cell tumor,2,4.2,4394
301.tiff,canine cutaneous mast cell tumor,2,4.25,4188
301.tiff,canine cutaneous mast cell tumor,2,4.3,3995
301.tiff,canine cutaneous mast cell tumor,2,4.35,3823
301.tiff,canine cutaneous mast cell tumor,2,4.4,3628
301.tiff,canine cutaneous mast cell tumor,2,4.45,3444
301.tiff,canine cutaneous mast cell tumor,2,4.5,3256
301.tiff,canine cutaneous mast cell tumor,2,4.55,3060
301.tiff,canine cutaneous mast cell tumor,2,4.6,2903
301.tiff,canine cutaneous mast cell tumor,2,4.65,2739
301.tiff,canine cutaneous mast cell tumor,2,4.7,2597
301.tiff,canine cutaneous mast cell tumor,2,4.75,2484
301.tiff,canine cutaneous mast cell tumor,2,4.8,2332
301.tiff,canine cutaneous mast cell tumor,2,4.85,2229
301.tiff,canine cutaneous mast cell tumor,2,4.9,2114
301.tiff,canine cutaneous mast cell tumor,2,4.95,2007
301.tiff,canine cutaneous mast cell tumor,2,5.0,1894
301.tiff,canine cutaneous mast cell tumor,2,5.05,1784
301.tiff,canine cutaneous mast cell tumor,2,5.1,1691
301.tiff,canine cutaneous mast cell tumor,2,5.15,1598
