file_name,tumor_type,z,arm,n_r50,n_r75,rec_r50,rec_r75,cov_r50,cov_r75,pct_extra_at_r50,d_recall_r50_minus_r75
094.tiff,human breast cancer,-1.0,chromatin_od,34572,18410,1.0,1.0,0.9994,0.9725,87.78924497555676,0.0
094.tiff,human breast cancer,-0.5,chromatin_od,34553,18406,1.0,1.0,0.9994,0.9724,87.72682820819297,0.0
094.tiff,human breast cancer,0.0,chromatin_od,34348,18354,1.0,1.0,0.9994,0.9716,87.1417674621336,0.0
094.tiff,human breast cancer,0.5,chromatin_od,30561,16901,1.0,1.0,0.9731,0.9296,80.82361990414768,0.0
094.tiff,human breast cancer,1.0,chromatin_od,26147,15369,1.0,1.0,0.9417,0.8865,70.12818010280435,0.0
094.tiff,human breast cancer,1.5,chromatin_od,22012,13897,1.0,1.0,0.9069,0.8428,58.39389796358927,0.0
094.tiff,human breast cancer,2.0,chromatin_od,18060,12294,1.0,1.0,0.8507,0.7847,46.90092728160078,0.0
094.tiff,human breast cancer,2.5,chromatin_od,14414,10531,1.0,1.0,0.7707,0.7101,36.87209191909599,0.0
094.tiff,human breast cancer,3.0,chromatin_od,11221,8678,1.0,1.0,0.665,0.616,29.303987093800423,0.0
094.tiff,human breast cancer,-1.0,tm_score,34572,18410,1.0,1.0,0.9994,0.9725,87.78924497555676,0.0
094.tiff,human breast cancer,-0.5,tm_score,34553,18406,1.0,1.0,0.9994,0.9724,87.72682820819297,0.0
094.tiff,human breast cancer,0.0,tm_score,34348,18354,1.0,1.0,0.9994,0.9716,87.1417674621336,0.0
094.tiff,human breast cancer,0.5,tm_score,30561,16901,1.0,1.0,0.9731,0.9296,80.82361990414768,0.0
094.tiff,human breast cancer,1.0,tm_score,26147,15369,1.0,1.0,0.9417,0.8865,70.12818010280435,0.0
094.tiff,human breast cancer,1.5,tm_score,22012,13897,1.0,1.0,0.9069,0.8428,58.39389796358927,0.0
094.tiff,human breast cancer,2.0,tm_score,18060,12294,1.0,1.0,0.8507,0.7847,46.90092728160078,0.0
094.tiff,human breast cancer,2.5,tm_score,14414,10531,1.0,1.0,0.7707,0.7101,36.87209191909599,0.0
094.tiff,human breast cancer,3.0,tm_score,11221,8678,1.0,1.0,0.665,0.616,29.303987093800423,0.0
201.tiff,canine lung cancer,-1.0,chromatin_od,22612,15842,1.0,1.0,0.9805,0.9378,42.73450321929049,0.0
201.tiff,canine lung cancer,-0.5,chromatin_od,22507,15798,1.0,1.0,0.9798,0.9368,42.46740093682744,0.0
