file_name,seed_index,tumor_type,seed_ann_id,n_retries,base_size,n_pool,n_gt_mitotic,deep_recall,map_median,mad_scale,z_max,tp_score_min,n_at_current_z,n_at_z_max,pct_pool_cut,tumor_type_r50,seed_ann_id_r50,n_retries_r50,base_size_r50,n_pool_r50,n_gt_mitotic_r50,deep_recall_r50,map_median_r50,mad_scale_r50,z_max_r50,tp_score_min_r50,n_at_current_z_r50,n_at_z_max_r50,pct_pool_cut_r50,pct_extra_pool_at_r50,pct_extra_at_z1_at_r50
301.tiff,0,canine cutaneous mast cell tumor,14969,0,41,17963,217,1.0,-0.022474195808172226,0.2035910030543804,1.5595299005508423,0.2950320541858673,16687,15326,8.16,canine cutaneous mast cell tumor,14969,0,41,25447,217,1.0,-0.0224741958081722,0.2035910030543804,1.9873121976852417,0.3821246922016144,22227,15929,28.33,41.663419250681955,33.19949661413075
301.tiff,1,canine cutaneous mast cell tumor,14753,0,51,18528,217,1.0,-0.017068948596715927,0.38105881909132,1.6454887390136719,0.609959065914154,17635,15130,14.2,canine cutaneous mast cell tumor,14753,0,51,32225,217,1.0,-0.0170689485967159,0.38105881909132,2.1027019023895264,0.7841841578483582,29010,15769,45.64,73.9259499136442,64.5024099801531
301.tiff,2,canine cutaneous mast cell tumor,14823,0,19,18688,217,1.0,-0.0019507219549268484,0.025850814581662416,2.7202959060668945,0.06837114691734314,17529,12646,27.86,canine cutaneous mast cell tumor,14823,0,19,33716,217,1.0,-0.0019507219549268,0.0258508145816624,3.4031238555908203,0.0860228016972541,29263,10756,63.24,80.4152397260274,66.94049860231617
301.tiff,3,canine cutaneous mast cell tumor,14788,0,19,18644,217,1.0,0.0001347028010059148,0.015163191386684774,1.0636110305786133,0.016262440010905266,17659,17528,0.74,canine cutaneous mast cell tumor,14788,0,19,34274,217,1.0,0.0001347028010059,0.0151631913866847,2.517056465148926,0.0383013114333152,31198,15692,49.7,83.8339412143317,76.66912056175322
301.tiff,4,canine cutaneous mast cell tumor,14817,0,27,18088,217,0.9908,-0.028705082833766937,0.25393150461316105,2.40494704246521,0.5819867253303528,16932,12438,26.54,canine cutaneous mast cell tumor,14817,0,27,30382,217,1.0,-0.0287050828337669,0.253931504613161,1.6656702756881714,0.3942610621452331,25978,22143,14.76,67.96771340114994,53.42546657217105
201.tiff,0,canine lung cancer,4457,0,51,15848,17,1.0,-0.028425928205251694,0.6122996424436569,4.07609224319458,2.4673638343811035,12973,662,94.9,canine lung cancer,4457,0,51,22631,17,1.0,-0.0284259282052516,0.6122996424436569,4.07609224319458,2.4673638343811035,16529,665,95.98,42.800353356890454,27.410776227549526
201.tiff,1,canine lung cancer,4457,0,51,15848,17,1.0,-0.028425928205251694,0.6122996424436569,4.07609224319458,2.4673638343811035,12973,662,94.9,canine lung cancer,4457,0,51,22631,17,1.0,-0.0284259282052516,0.6122996424436569,4.07609224319458,2.4673638343811035,16529,665,95.98,42.800353356890454,27.410776227549526
201.tiff,2,canine lung cancer,4475,0,51,14727,17,1.0,-0.04185693338513374,0.866125324165821,2.9928243160247803,2.5503039360046387,11855,2823,76.19,canine lung cancer,4475,0,51,17861,17,1.0,-0.0418569333851337,0.866125324165821,2.9928243160247803,2.5503039360046387,13407,2867,78.62,21.280640999524692,13.091522564318847
201.tiff,3,canine lung cancer,4454,0,47,16087,17,1.0,-0.032930951565504074,0.7091016953408718,3.464264154434204,2.4235846996307373,13182,2180,83.46,canine lung cancer,4454,0,47,23817,17,1.0,-0.032930951565504,0.7091016953408718,3.464264154434204,2.4235846996307373,17772,2265,87.26,48.05122148318519,34.82020937642238
201.tiff,4,canine lung cancer,4479,0,51,14218,17,1.0,-0.04357011243700981,1.0104498967766762,3.027251720428467,3.0153160095214844,11508,2220,80.71,canine lung cancer,4479,0,51,16911,17,1.0,-0.0435701124370098,1.0104498967766762,3.027251720428467,3.0153160095214844,12807,2250,82.43,18.94077929385287,11.287799791449427
