tumor_type,file_name,seed_index,seed_ann_id,n_retries,base_size,n_pool,n_gt_mitotic,deep_recall,map_median,mad_scale,z_max,tp_score_min,n_at_current_z,n_at_z_max,pct_pool_cut
canine cutaneous mast cell tumor,301.tiff,0,14969,0,41,25447,217,1.0,-0.022474195808172226,0.2035910030543804,1.9873121976852417,0.3821246922016144,22227,15929,28.33
canine cutaneous mast cell tumor,301.tiff,1,14753,0,51,32225,217,1.0,-0.017068948596715927,0.38105881909132,2.1027019023895264,0.7841841578483582,29010,15769,45.64
canine cutaneous mast cell tumor,301.tiff,2,14823,0,19,33716,217,1.0,-0.0019507219549268484,0.025850814581662416,3.4031238555908203,0.08602280169725418,29263,10756,63.24
canine cutaneous mast cell tumor,301.tiff,3,14788,0,19,34274,217,1.0,0.0001347028010059148,0.015163191386684774,2.517056465148926,0.03830131143331528,31198,15692,49.7
canine cutaneous mast cell tumor,301.tiff,4,14817,0,27,30382,217,1.0,-0.028705082833766937,0.25393150461316105,1.6656702756881714,0.39426106214523315,25978,22143,14.76
canine lung cancer,201.tiff,0,4457,0,51,22631,17,1.0,-0.028425928205251694,0.6122996424436569,4.07609224319458,2.4673638343811035,16529,665,95.98
canine lung cancer,201.tiff,1,4457,0,51,22631,17,1.0,-0.028425928205251694,0.6122996424436569,4.07609224319458,2.4673638343811035,16529,665,95.98
canine lung cancer,201.tiff,2,4475,0,51,17861,17,1.0,-0.04185693338513374,0.866125324165821,2.9928243160247803,2.5503039360046387,13407,2867,78.62
canine lung cancer,201.tiff,3,4454,0,47,23817,17,1.0,-0.032930951565504074,0.7091016953408718,3.464264154434204,2.4235846996307373,17772,2265,87.26
canine lung cancer,201.tiff,4,4479,0,51,16911,17,1.0,-0.04357011243700981,1.0104498967766762,3.027251720428467,3.0153160095214844,12807,2250,82.43
canine lymphosarcoma,246.tiff,0,6548,0,41,30343,115,1.0,-0.006127519533038139,0.17130555468052625,2.7220458984375,0.4601740837097168,26677,6268,76.5
canine lymphosarcoma,246.tiff,1,6599,0,51,31638,115,1.0,-0.004754615481942892,0.18055911477059125,1.8915382623672485,0.3367798626422882,27677,16972,38.68
canine lymphosarcoma,246.tiff,2,6484,0,47,29149,115,1.0,-0.0036368416622281075,0.18420176402181385,2.3642191886901855,0.4318564832210541,24987,8502,65.97
canine lymphosarcoma,246.tiff,3,6520,0,51,28531,115,1.0,-0.010693099349737167,0.18345034417212008,2.7782137393951416,0.4989711344242096,25478,7065,72.27
canine lymphosarcoma,246.tiff,4,6587,0,37,31289,115,1.0,-0.0039575183764100075,0.18126200852841137,2.555565357208252,0.45926937460899353,27816,8527,69.34
canine soft tissue sarcoma,459.tiff,0,22441,0,33,26152,130,1.0,-0.05076500028371811,0.5032099391520023,1.8907809257507324,0.9006947875022888,20892,15466,25.97
canine soft tissue sarcoma,459.tiff,1,22445,0,47,21905,130,1.0,-0.09126412123441696,0.7691311110377311,1.6142152547836304,1.1502790451049805,17382,14066,19.08
canine soft tissue sarcoma,459.tiff,2,22306,0,39,24546,130,1.0,-0.10058432072401047,0.7868055221557617,1.8067939281463623,1.3210111856460571,19513,14367,26.37
canine soft tissue sarcoma,459.tiff,3,22371,0,51,19414,130,1.0,-0.14223219454288483,1.2101119322776794,1.3078757524490356,1.4404438734054565,15537,14192,8.66
canine soft tissue sarcoma,459.tiff,4,22305,0,45,20990,130,1.0,-0.14085979759693146,1.0427692239403723,1.3727209568023682,1.2905713319778442,16680,15009,10.02
human breast cancer,094.tiff,0,2512,0,25,34573,81,1.0,-0.003239314304664731,0.0505320100620389,4.767851829528809,0.2376898229122162,26147,4052,84.5
human breast cancer,094.tiff,1,2534,0,37,28700,81,1.0,-0.009720981121063232,0.11340501276701688,3.6053645610809326,0.3991454243659973,19923,4922,75.29
human breast cancer,094.tiff,2,2494,0,35,33056,81,1.0,-0.00320444256067276,0.07754829588532447,3.995893955230713,0.30667033791542053,24752,4088,83.48
human breast cancer,094.tiff,3,2612,0,37,27735,81,1.0,-0.008004341274499893,0.10703577818423508,3.4876599311828613,0.3653000593185425,18765,4808,74.38
human breast cancer,094.tiff,4,2494,0,35,33056,81,1.0,-0.00320444256067276,0.07754829588532447,3.995893955230713,0.30667033791542053,24752,4088,83.48
human melanoma,548.tiff,0,25804,0,29,29162,238,1.0,-0.05509126931428909,0.6139303312182426,2.915358304977417,1.7347357273101807,20810,7949,61.8
human melanoma,548.tiff,1,25712,0,37,25403,238,1.0,-0.07451345026493073,0.6772858111917972,2.31184458732605,1.4912660121917725,18187,10101,44.46
human melanoma,548.tiff,2,25735,0,33,27120,238,1.0,-0.09509076923131943,0.7429956406116485,2.5212721824645996,1.7782034873962402,19544,10512,46.21
human melanoma,548.tiff,3,25802,0,33,26956,238,1.0,-0.08206693828105927,0.8118129514932632,2.292304039001465,1.7788550853729248,19568,11155,42.99
human melanoma,548.tiff,4,25719,0,33,29408,238,1.0,-0.04526914283633232,0.47655768186450004,3.0685532093048096,1.4170734882354736,21824,7129,67.33
human neuroendocrine tumor,402.tiff,0,20254,0,29,32553,104,1.0,-0.05574367940425873,0.9205197040557861,3.1865651607513428,2.8775522708892822,27280,5457,80.0
human neuroendocrine tumor,402.tiff,1,20258,0,51,21387,104,1.0,-0.1100701093673706,2.2206543522834776,1.825117588043213,3.942885160446167,17234,10127,41.24
human neuroendocrine tumor,402.tiff,2,20245,0,51,29723,104,1.0,0.011568618938326836,0.9436282421350478,1.918854832649231,1.8222543001174927,22098,10028,54.62
human neuroendocrine tumor,402.tiff,3,20183,0,31,31042,104,1.0,-0.044723816215991974,0.9165974967956543,2.626025438308716,2.3622846603393555,25248,7683,69.57
human neuroendocrine tumor,402.tiff,4,20182,0,27,33966,104,1.0,0.005528690759092569,0.23520434351563452,2.4882559776306152,0.5907772779464722,29103,10907,62.52
