file_name,tumor_type,seed_index,tp_rank_from_bottom,z,score,matched_ann_id
301.tiff,canine cutaneous mast cell tumor,0,0,1.9873121976852417,0.3821246922016144,14782
301.tiff,canine cutaneous mast cell tumor,0,1,2.09305739402771,0.40365344285964966,14768
301.tiff,canine cutaneous mast cell tumor,0,2,2.3058581352233887,0.44697776436805725,14765
301.tiff,canine cutaneous mast cell tumor,0,3,2.392000198364258,0.4645155370235443,14763
301.tiff,canine cutaneous mast cell tumor,0,4,2.4650449752807617,0.4793867766857147,14978
301.tiff,canine cutaneous mast cell tumor,0,5,2.4794647693634033,0.4823225438594818,14873
301.tiff,canine cutaneous mast cell tumor,0,6,2.487471103668213,0.4839525520801544,14776
301.tiff,canine cutaneous mast cell tumor,0,7,2.4894652366638184,0.4843585193157196,14859
301.tiff,canine cutaneous mast cell tumor,0,8,2.58514142036438,0.5038373470306396,14863
301.tiff,canine cutaneous mast cell tumor,0,9,2.6037869453430176,0.5076334476470947,14940
301.tiff,canine cutaneous mast cell tumor,0,10,2.641929864883423,0.5153989791870117,14744
301.tiff,canine cutaneous mast cell tumor,0,11,2.6466140747070312,0.516352653503418,14843
301.tiff,canine cutaneous mast cell tumor,0,12,2.745851755142212,0.5365565419197083,15026
301.tiff,canine cutaneous mast cell tumor,0,13,2.794898271560669,0.5465419888496399,15012
301.tiff,canine cutaneous mast cell tumor,0,14,2.840791940689087,0.5558854937553406,14777
301.tiff,canine cutaneous mast cell tumor,0,15,2.8622970581054688,0.5602637529373169,14732
301.tiff,canine cutaneous mast cell tumor,0,16,2.8835859298706055,0.5645979642868042,14729
301.tiff,canine cutaneous mast cell tumor,0,17,2.8923451900482178,0.5663812756538391,14741
301.tiff,canine cutaneous mast cell tumor,0,18,2.9679269790649414,0.5817690491676331,14748
301.tiff,canine cutaneous mast cell tumor,0,19,3.0848207473754883,0.6055675745010376,15025
301.tiff,canine cutaneous mast cell tumor,0,20,3.1064975261688232,0.6099807620048523,15016
301.tiff,canine cutaneous mast cell tumor,0,21,3.184293508529663,0.6258193254470825,14853
301.tiff,canine cutaneous mast cell tumor,0,22,3.1859278678894043,0.6261520981788635,14948
301.tiff,canine cutaneous mast cell tumor,0,23,3.2005622386932373,0.6291314959526062,15032
301.tiff,canine cutaneous mast cell tumor,0,24,3.214437484741211,0.6319563984870911,14727
301.tiff,canine cutaneous mast cell tumor,0,25,3.219083070755005,0.632902204990387,14736
301.tiff,canine cutaneous mast cell tumor,0,26,3.241844892501831,0.6375362873077393,14930
