file_name,tumor_type,seed_index,z,n_at_z
301.tiff,canine cutaneous mast cell tumor,0,0.0,25198
301.tiff,canine cutaneous mast cell tumor,0,0.05,25126
301.tiff,canine cutaneous mast cell tumor,0,0.1,25056
301.tiff,canine cutaneous mast cell tumor,0,0.15,24959
301.tiff,canine cutaneous mast cell tumor,0,0.2,24861
301.tiff,canine cutaneous mast cell tumor,0,0.25,24744
301.tiff,canine cutaneous mast cell tumor,0,0.3,24618
301.tiff,canine cutaneous mast cell tumor,0,0.35,24489
301.tiff,canine cutaneous mast cell tumor,0,0.4,24354
301.tiff,canine cutaneous mast cell tumor,0,0.45,24190
301.tiff,canine cutaneous mast cell tumor,0,0.5,24058
301.tiff,canine cutaneous mast cell tumor,0,0.55,23909
301.tiff,canine cutaneous mast cell tumor,0,0.6,23737
301.tiff,canine cutaneous mast cell tumor,0,0.65,23571
301.tiff,canine cutaneous mast cell tumor,0,0.7,23407
301.tiff,canine cutaneous mast cell tumor,0,0.75,23248
301.tiff,canine cutaneous mast cell tumor,0,0.8,23058
301.tiff,canine cutaneous mast cell tumor,0,0.85,22861
301.tiff,canine cutaneous mast cell tumor,0,0.9,22663
301.tiff,canine cutaneous mast cell tumor,0,0.95,22455
301.tiff,canine cutaneous mast cell tumor,0,1.0,22227
301.tiff,canine cutaneous mast cell tumor,0,1.05,21983
301.tiff,canine cutaneous mast cell tumor,0,1.1,21767
301.tiff,canine cutaneous mast cell tumor,0,1.15,21552
301.tiff,canine cutaneous mast cell tumor,0,1.2,21317
301.tiff,canine cutaneous mast cell tumor,0,1.25,21047
301.tiff,canine cutaneous mast cell tumor,0,1.3,20774
301.tiff,canine cutaneous mast cell tumor,0,1.35,20503
301.tiff,canine cutaneous mast cell tumor,0,1.4,20224
301.tiff,canine cutaneous mast cell tumor,0,1.45,19938
301.tiff,canine cutaneous mast cell tumor,0,1.5,19656
301.tiff,canine cutaneous mast cell tumor,0,1.55,19303
301.tiff,canine cutaneous mast cell tumor,0,1.6,18969
301.tiff,canine cutaneous mast cell tumor,0,1.65,18633
301.tiff,canine cutaneous mast cell tumor,0,1.7,18275
301.tiff,canine cutaneous mast cell tumor,0,1.75,17876
301.tiff,canine cutaneous mast cell tumor,0,1.8,17509
301.tiff,canine cutaneous mast cell tumor,0,1.85,17098
301.tiff,canine cutaneous mast cell tumor,0,1.9,16710
301.tiff,canine cutaneous mast cell tumor,0,1.95,16267
301.tiff,canine cutaneous mast cell tumor,0,2.0,15836
301.tiff,canine cutaneous mast cell tumor,0,2.05,15382
301.tiff,canine cutaneous mast cell tumor,0,2.1,14929
301.tiff,canine cutaneous mast cell tumor,0,2.15,14438
301.tiff,canine cutaneous mast cell tumor,0,2.2,13938
301.tiff,canine cutaneous mast cell tumor,0,2.25,13382
301.tiff,canine cutaneous mast cell tumor,0,2.3,12855
301.tiff,canine cutaneous mast cell tumor,0,2.35,12350
301.tiff,canine cutaneous mast cell tumor,0,2.4,11882
301.tiff,canine cutaneous mast cell tumor,0,2.45,11385
301.tiff,canine cutaneous mast cell tumor,0,2.5,10861
301.tiff,canine cutaneous mast cell tumor,0,2.55,10344
301.tiff,canine cutaneous mast cell tumor,0,2.6,9837
301.tiff,canine cutaneous mast cell tumor,0,2.65,9355
301.tiff,canine cutaneous mast cell tumor,0,2.7,8871
301.tiff,canine cutaneous mast cell tumor,0,2.75,8385
301.tiff,canine cutaneous mast cell tumor,0,2.8,7922
301.tiff,canine cutaneous mast cell tumor,0,2.85,7451
301.tiff,canine cutaneous mast cell tumor,0,2.9,7006
301.tiff,canine cutaneous mast cell tumor,0,2.95,6581
301.tiff,canine cutaneous mast cell tumor,0,3.0,6142
301.tiff,canine cutaneous mast cell tumor,0,3.05,5718
301.tiff,canine cutaneous mast cell tumor,0,3.1,5347
301.tiff,canine cutaneous mast cell tumor,0,3.15,4933
301.tiff,canine cutaneous mast cell tumor,0,3.2,4597
301.tiff,canine cutaneous mast cell tumor,0,3.25,4272
301.tiff,canine cutaneous mast cell tumor,0,3.3,3943
