file_name,image_id,tumor_type,mpp,seed_index,seed_ann_id,base_size,n_retries,map_median,mad_scale,deep_floor,n_pool,pad_px,nms_radius_px,match_radius_px,z_max,deep_recall,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,read_50,read_80,read_90,read_95,read_99,read_100,axis,op_point,z_cut,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget
301.tiff,301,canine cutaneous mast cell tumor,0.2533,0,14969,41,0,-0.02247,0.20359,-0.32786,17963,20,29.609,29.609,1.5595299005508423,1.0,tm_score,score,True,-1.0,True,False,217,109,17963,0.9621,107,2,0.0,1.0,345.0,2103.0,4753.0,8716.0,11337.0,15326.0,tm_score,grid,-0.22607,25,25,21,3,0.0967741935483871
301.tiff,301,canine cutaneous mast cell tumor,0.2533,0,14969,41,0,-0.02247,0.20359,-0.32786,17963,20,29.609,29.609,1.5595299005508423,1.0,tm_score,score,True,-1.0,True,False,217,109,17963,0.9621,107,2,0.0,1.0,345.0,2103.0,4753.0,8716.0,11337.0,15326.0,tm_score,grid,-0.22607,50,50,38,5,0.17511520737327188
301.tiff,301,canine cutaneous mast cell tumor,0.2533,0,14969,41,0,-0.02247,0.20359,-0.32786,17963,20,29.609,29.609,1.5595299005508423,1.0,tm_score,score,True,-1.0,True,False,217,109,17963,0.9621,107,2,0.0,1.0,345.0,2103.0,4753.0,8716.0,11337.0,15326.0,tm_score,grid,-0.22607,100,100,71,7,0.3271889400921659
301.tiff,301,canine cutaneous mast cell tumor,0.2533,0,14969,41,0,-0.02247,0.20359,-0.32786,17963,20,29.609,29.609,1.5595299005508423,1.0,tm_score,score,True,-1.0,True,False,217,109,17963,0.9621,107,2,0.0,1.0,345.0,2103.0,4753.0,8716.0,11337.0,15326.0,tm_score,grid,-0.22607,250,250,103,16,0.47465437788018433
301.tiff,301,canine cutaneous mast cell tumor,0.2533,0,14969,41,0,-0.02247,0.20359,-0.32786,17963,20,29.609,29.609,1.5595299005508423,1.0,tm_score,score,True,-1.0,True,False,217,109,17963,0.9621,107,2,0.0,1.0,345.0,2103.0,4753.0,8716.0,11337.0,15326.0,tm_score,grid,-0.22607,500,500,122,27,0.5622119815668203
301.tiff,301,canine cutaneous mast cell tumor,0.2533,0,14969,41,0,-0.02247,0.20359,-0.32786,17963,20,29.609,29.609,1.5595299005508423,1.0,tm_score,score,True,-1.0,True,False,217,109,17963,0.9621,107,2,0.0,1.0,345.0,2103.0,4753.0,8716.0,11337.0,15326.0,tm_score,grid,-0.22607,1000,1000,141,43,0.6497695852534562
301.tiff,301,canine cutaneous mast cell tumor,0.2533,0,14969,41,0,-0.02247,0.20359,-0.32786,17963,20,29.609,29.609,1.5595299005508423,1.0,tm_score,score,True,-1.0,True,False,217,109,17963,0.9621,107,2,0.0,1.0,345.0,2103.0,4753.0,8716.0,11337.0,15326.0,tm_score,grid,-0.22607,2000,2000,169,62,0.7788018433179723
301.tiff,301,canine cutaneous mast cell tumor,0.2533,0,14969,41,0,-0.02247,0.20359,-0.32786,17963,20,29.609,29.609,1.5595299005508423,1.0,tm_score,score,True,-1.0,True,False,217,109,17963,0.9621,107,2,0.0,1.0,345.0,2103.0,4753.0,8716.0,11337.0,15326.0,tm_score,grid,-0.22607,5000,5000,196,98,0.9032258064516129
301.tiff,301,canine cutaneous mast cell tumor,0.2533,0,14969,41,0,-0.02247,0.20359,-0.32786,17963,20,29.609,29.609,1.5595299005508423,1.0,chromatin_od,od,True,-1.0,True,False,217,109,17963,0.9621,107,2,0.0,1.0,178.0,1481.0,3666.0,5702.0,12988.0,15867.0,chromatin_od,grid,-0.22607,25,25,20,3,0.09216589861751152
301.tiff,301,canine cutaneous mast cell tumor,0.2533,0,14969,41,0,-0.02247,0.20359,-0.32786,17963,20,29.609,29.609,1.5595299005508423,1.0,chromatin_od,od,True,-1.0,True,False,217,109,17963,0.9621,107,2,0.0,1.0,178.0,1481.0,3666.0,5702.0,12988.0,15867.0,chromatin_od,grid,-0.22607,50,50,41,3,0.1889400921658986
