roi,seed,nms_radius,pool,ceiling,missed,read_50
300.tiff,0,29.6,15363,0.9944,1,135.0
300.tiff,0,24.0,16738,0.9944,1,133.0
300.tiff,0,20.0,17838,0.9944,1,138.0
300.tiff,0,16.0,19659,0.9944,1,142.0
300.tiff,0,12.0,21554,0.9944,1,150.0
300.tiff,1,29.6,14186,1.0,0,135.0
300.tiff,1,24.0,17040,1.0,0,144.0
300.tiff,1,20.0,19196,1.0,0,155.0
300.tiff,1,16.0,27379,1.0,0,203.0
300.tiff,1,12.0,36287,1.0,0,254.0
300.tiff,2,29.6,14977,0.9889,2,138.0
300.tiff,2,24.0,17595,0.9944,1,140.0
300.tiff,2,20.0,18178,0.9944,1,142.0
300.tiff,2,16.0,18587,0.9944,1,146.0
300.tiff,2,12.0,20332,0.9944,1,148.0
300.tiff,3,29.6,15977,0.9944,1,137.0
300.tiff,3,24.0,18305,0.9944,1,139.0
300.tiff,3,20.0,18938,0.9944,1,143.0
300.tiff,3,16.0,19429,0.9944,1,144.0
300.tiff,3,12.0,20028,0.9944,1,149.0
300.tiff,4,29.6,16232,0.9944,1,135.0
300.tiff,4,24.0,18865,0.9944,1,141.0
300.tiff,4,20.0,19405,0.9944,1,141.0
300.tiff,4,16.0,19800,0.9944,1,142.0
300.tiff,4,12.0,20142,0.9944,1,143.0
301.tiff,0,29.6,16994,0.9954,1,198.0
301.tiff,0,24.0,21729,1.0,0,250.0
301.tiff,0,20.0,23943,1.0,0,265.0
301.tiff,0,16.0,26182,1.0,0,277.0
301.tiff,0,12.0,29465,1.0,0,293.0
301.tiff,1,29.6,16929,1.0,0,236.0
301.tiff,1,24.0,23934,1.0,0,288.0
301.tiff,1,20.0,29120,1.0,0,319.0
301.tiff,1,16.0,35569,1.0,0,377.0
301.tiff,1,12.0,45107,1.0,0,471.0
301.tiff,2,29.6,15304,0.9954,1,180.0
301.tiff,2,24.0,23217,1.0,0,266.0
301.tiff,2,20.0,29411,1.0,0,320.0
301.tiff,2,16.0,36222,1.0,0,372.0
301.tiff,2,12.0,42864,1.0,0,457.0
301.tiff,3,29.6,17077,1.0,0,304.0
301.tiff,3,24.0,23550,1.0,0,355.0
301.tiff,3,20.0,29360,1.0,0,408.0
301.tiff,3,16.0,37372,1.0,0,452.0
301.tiff,3,12.0,43971,1.0,0,500.0
301.tiff,4,29.6,16618,0.9908,2,165.0
301.tiff,4,24.0,19974,1.0,0,174.0
301.tiff,4,20.0,20691,1.0,0,180.0
301.tiff,4,16.0,21368,1.0,0,187.0
301.tiff,4,12.0,22430,1.0,0,189.0
