held_out_domain,tolerance,z_from_other_6,z_if_fitted_on_it,transfer_gap_z,recall_worst_held_out,worst_cell,budgeted_lost,actually_lost,overrun_x,cov_worst_cell,cov_roi_lo,cov_roi_hi,held_out_meets_t
canine cutaneous mast cell tumor,1.0,1.3,1.4,-0.1,1.0,300.tiff s0,0,0,0.0,0.914,0.932,0.974,True
canine cutaneous mast cell tumor,0.99,1.3,2.2,-0.9,1.0,300.tiff s0,1,0,0.0,0.914,0.932,0.974,True
canine cutaneous mast cell tumor,0.98,1.6,2.4,-0.8,0.9944,300.tiff s1,3,1,0.3,0.902,0.899,0.959,True
canine cutaneous mast cell tumor,0.95,1.9,2.6,-0.7,0.9944,300.tiff s1,9,1,0.1,0.83,0.858,0.935,True
canine cutaneous mast cell tumor,0.9,2.2,3.1,-0.9,0.9908,301.tiff s0,21,2,0.1,0.815,0.818,0.89,True
canine lung cancer,1.0,1.3,2.9,-1.6,1.0,201.tiff s0,0,0,0.0,0.837,0.8,0.805,True
canine lung cancer,0.99,1.3,2.9,-1.6,1.0,201.tiff s0,0,0,0.0,0.837,0.8,0.805,True
canine lung cancer,0.98,1.6,2.9,-1.3,1.0,201.tiff s0,0,0,0.0,0.76,0.725,0.761,True
canine lung cancer,0.95,1.9,2.9,-1.0,1.0,201.tiff s0,0,0,0.0,0.657,0.625,0.716,True
canine lung cancer,0.9,2.2,3.3,-1.1,1.0,201.tiff s0,1,0,0.0,0.546,0.517,0.663,True
canine lymphosarcoma,1.0,1.3,1.3,0.0,1.0,245.tiff s0,0,0,0.0,0.994,0.979,0.994,True
canine lymphosarcoma,0.99,1.6,1.3,0.3,0.9888,245.tiff s1,0,1,inf,0.982,0.942,0.979,False
canine lymphosarcoma,0.98,1.6,1.6,0.0,0.9888,245.tiff s1,1,1,1.0,0.982,0.942,0.979,True
canine lymphosarcoma,0.95,2.0,1.9,0.1,0.9438,245.tiff s2,4,5,1.2,0.839,0.819,0.891,False
canine lymphosarcoma,0.9,2.7,2.2,0.5,0.7303,245.tiff s2,8,24,3.0,0.392,0.453,0.463,False
canine soft tissue sarcoma,1.0,1.3,1.3,0.0,1.0,459.tiff s0,0,0,0.0,0.941,0.821,0.897,True
canine soft tissue sarcoma,0.99,1.3,1.6,-0.3,1.0,459.tiff s0,1,0,0.0,0.941,0.821,0.897,True
canine soft tissue sarcoma,0.98,1.6,1.6,0.0,0.9923,459.tiff s3,2,1,0.5,0.812,0.77,0.849,True
canine soft tissue sarcoma,0.95,1.9,2.0,-0.1,0.9714,459.tiff s2,6,2,0.3,0.817,0.734,0.779,True
canine soft tissue sarcoma,0.9,2.2,2.7,-0.5,0.9462,459.tiff s3,13,7,0.5,0.632,0.684,0.695,True
human breast cancer,1.0,1.3,3.4,-2.1,1.0,013.tiff s0,0,0,0.0,0.718,0.741,0.893,True
human breast cancer,0.99,1.3,3.4,-2.1,1.0,013.tiff s0,0,0,0.0,0.718,0.741,0.893,True
human breast cancer,0.98,1.6,4.0,-2.4,1.0,013.tiff s0,0,0,0.0,0.65,0.674,0.857,True
human breast cancer,0.95,1.9,5.4,-3.5,1.0,013.tiff s0,0,0,0.0,0.603,0.623,0.814,True
human breast cancer,0.9,2.2,6.2,-4.0,1.0,013.tiff s0,1,0,0.0,0.567,0.583,0.754,True
human melanoma,1.0,1.3,2.2,-0.9,1.0,529.tiff s0,0,0,0.0,0.777,0.769,0.897,True
human melanoma,0.99,1.3,2.6,-1.3,1.0,529.tiff s0,0,0,0.0,0.777,0.769,0.897,True
human melanoma,0.98,1.6,2.9,-1.3,1.0,529.tiff s0,0,0,0.0,0.731,0.719,0.86,True
human melanoma,0.95,1.9,3.0,-1.1,1.0,529.tiff s0,0,0,0.0,0.686,0.668,0.813,True
human melanoma,0.9,2.2,3.8,-1.6,1.0,529.tiff s0,1,0,0.0,0.64,0.616,0.749,True
human neuroendocrine tumor,1.0,1.3,1.8,-0.5,1.0,402.tiff s0,0,0,0.0,0.969,0.666,0.955,True
human neuroendocrine tumor,0.99,1.3,1.8,-0.5,1.0,402.tiff s0,1,0,0.0,0.969,0.666,0.955,True
human neuroendocrine tumor,0.98,1.6,2.3,-0.7,1.0,402.tiff s0,2,0,0.0,0.939,0.624,0.906,True
human neuroendocrine tumor,0.95,1.9,2.7,-0.8,0.9808,402.tiff s1,5,2,0.4,0.644,0.592,0.822,True
human neuroendocrine tumor,0.9,2.2,3.2,-1.0,0.9808,402.tiff s1,10,2,0.2,0.503,0.567,0.7,True
