tumor_type,file_name,seed_index,target,read_depth,coverage_frac
human breast cancer,013.tiff,0,0.5,49,0.0042645317844972495
human breast cancer,013.tiff,0,0.8,486,0.04170345806434734
human breast cancer,013.tiff,0,0.9,912,0.0768531418218446
human breast cancer,013.tiff,0,0.95,1172,0.09806460896467371
human breast cancer,013.tiff,0,0.98,1172,0.09806460896467371
human breast cancer,013.tiff,0,0.99,1172,0.09806460896467371
human breast cancer,013.tiff,0,1.0,1172,0.09806460896467371
human breast cancer,013.tiff,1,0.5,53,0.004558862965942612
human breast cancer,013.tiff,1,0.8,116,0.010046504326668367
human breast cancer,013.tiff,1,0.9,189,0.016351732302520128
human breast cancer,013.tiff,1,0.95,354,0.030401140696845425
human breast cancer,013.tiff,1,0.98,354,0.030401140696845425
human breast cancer,013.tiff,1,0.99,354,0.030401140696845425
human breast cancer,013.tiff,1,1.0,354,0.030401140696845425
human breast cancer,013.tiff,2,0.5,54,0.00476816513941487
human breast cancer,013.tiff,2,0.8,195,0.016907691200805812
human breast cancer,013.tiff,2,0.9,238,0.020518153693202257
human breast cancer,013.tiff,2,0.95,480,0.041167121244824675
human breast cancer,013.tiff,2,0.98,480,0.041167121244824675
human breast cancer,013.tiff,2,0.99,480,0.041167121244824675
human breast cancer,013.tiff,2,1.0,480,0.041167121244824675
human breast cancer,013.tiff,3,0.5,88,0.007698395568026477
human breast cancer,013.tiff,3,0.8,135,0.011701299635683404
human breast cancer,013.tiff,3,0.9,246,0.02108065328440895
human breast cancer,013.tiff,3,0.95,366,0.03129067493410252
human breast cancer,013.tiff,3,0.98,366,0.03129067493410252
human breast cancer,013.tiff,3,0.99,366,0.03129067493410252
human breast cancer,013.tiff,3,1.0,366,0.03129067493410252
human breast cancer,013.tiff,4,0.5,30,0.0025901143967191884
human breast cancer,013.tiff,4,0.8,112,0.00973255106645998
human breast cancer,013.tiff,4,0.9,194,0.01675071457070162
human breast cancer,013.tiff,4,0.95,273,0.023356814420919754
human breast cancer,013.tiff,4,0.98,273,0.023356814420919754
human breast cancer,013.tiff,4,0.99,273,0.023356814420919754
human breast cancer,013.tiff,4,1.0,273,0.023356814420919754
human breast cancer,094.tiff,0,0.5,137,0.011663449163449163
human breast cancer,094.tiff,0,0.8,920,0.07078507078507079
human breast cancer,094.tiff,0,0.9,1309,0.09692728442728443
human breast cancer,094.tiff,0,0.95,1630,0.11737853925353925
human breast cancer,094.tiff,0,0.98,2516,0.1735440797940798
human breast cancer,094.tiff,0,0.99,4052,0.275344540969541
human breast cancer,094.tiff,0,1.0,4052,0.275344540969541
human breast cancer,094.tiff,1,0.5,75,0.006528850278850279
human breast cancer,094.tiff,1,0.8,476,0.0394747425997426
human breast cancer,094.tiff,1,0.9,747,0.06076388888888889
human breast cancer,094.tiff,1,0.95,1183,0.09258365508365508
human breast cancer,094.tiff,1,0.98,2836,0.20844058344058344
human breast cancer,094.tiff,1,0.99,4922,0.35196133633633636
human breast cancer,094.tiff,1,1.0,4922,0.35196133633633636
human breast cancer,094.tiff,2,0.5,94,0.00823144573144573
human breast cancer,094.tiff,2,0.8,644,0.0511247854997855
human breast cancer,094.tiff,2,0.9,1046,0.08025659588159588
human breast cancer,094.tiff,2,0.95,1743,0.1264143607893608
human breast cancer,094.tiff,2,0.98,3851,0.26722034534534533
human breast cancer,094.tiff,2,0.99,4088,0.28342181467181465
human breast cancer,094.tiff,2,1.0,4088,0.28342181467181465
human breast cancer,094.tiff,3,0.5,65,0.005556896181896182
human breast cancer,094.tiff,3,0.8,307,0.026215948090948092
human breast cancer,094.tiff,3,0.9,872,0.06987344487344488
human breast cancer,094.tiff,3,0.95,1050,0.08307861432861433
human breast cancer,094.tiff,3,0.98,2433,0.18399426211926212
human breast cancer,094.tiff,3,0.99,4808,0.34855614543114544
human breast cancer,094.tiff,3,1.0,4808,0.34855614543114544
human breast cancer,094.tiff,4,0.5,94,0.00823144573144573
human breast cancer,094.tiff,4,0.8,644,0.0511247854997855
human breast cancer,094.tiff,4,0.9,1046,0.08025659588159588
human breast cancer,094.tiff,4,0.95,1743,0.1264143607893608
human breast cancer,094.tiff,4,0.98,3851,0.26722034534534533
human breast cancer,094.tiff,4,0.99,4088,0.28342181467181465
human breast cancer,094.tiff,4,1.0,4088,0.28342181467181465
canine lung cancer,201.tiff,0,0.5,42,0.0036211392842555065
canine lung cancer,201.tiff,0,0.8,244,0.021247682785056714
canine lung cancer,201.tiff,0,0.9,275,0.023824111603355642
canine lung cancer,201.tiff,0,0.95,665,0.057702579570804664
canine lung cancer,201.tiff,0,0.98,665,0.057702579570804664
canine lung cancer,201.tiff,0,0.99,665,0.057702579570804664
canine lung cancer,201.tiff,0,1.0,665,0.057702579570804664
canine lung cancer,201.tiff,1,0.5,42,0.0036211392842555065
canine lung cancer,201.tiff,1,0.8,244,0.021247682785056714
canine lung cancer,201.tiff,1,0.9,275,0.023824111603355642
canine lung cancer,201.tiff,1,0.95,665,0.057702579570804664
canine lung cancer,201.tiff,1,0.98,665,0.057702579570804664
canine lung cancer,201.tiff,1,0.99,665,0.057702579570804664
canine lung cancer,201.tiff,1,1.0,665,0.057702579570804664
canine lung cancer,201.tiff,2,0.5,86,0.007422942784428316
canine lung cancer,201.tiff,2,0.8,818,0.06964212775316556
canine lung cancer,201.tiff,2,0.9,1862,0.15640808118892763
canine lung cancer,201.tiff,2,0.95,2867,0.2356646872152575
canine lung cancer,201.tiff,2,0.98,2867,0.2356646872152575
canine lung cancer,201.tiff,2,0.99,2867,0.2356646872152575
canine lung cancer,201.tiff,2,1.0,2867,0.2356646872152575
canine lung cancer,201.tiff,3,0.5,42,0.0035661545228893705
canine lung cancer,201.tiff,3,0.8,641,0.05390077607063185
canine lung cancer,201.tiff,3,0.9,2123,0.17409746441700444
canine lung cancer,201.tiff,3,0.95,2265,0.18514154648568826
canine lung cancer,201.tiff,3,0.98,2265,0.18514154648568826
canine lung cancer,201.tiff,3,0.99,2265,0.18514154648568826
canine lung cancer,201.tiff,3,1.0,2265,0.18514154648568826
canine lung cancer,201.tiff,4,0.5,200,0.017241650171238257
canine lung cancer,201.tiff,4,0.8,920,0.07898168221949917
canine lung cancer,201.tiff,4,0.9,1280,0.10916831620950765
canine lung cancer,201.tiff,4,0.95,2250,0.18805573883809346
canine lung cancer,201.tiff,4,0.98,2250,0.18805573883809346
canine lung cancer,201.tiff,4,0.99,2250,0.18805573883809346
canine lung cancer,201.tiff,4,1.0,2250,0.18805573883809346
canine lung cancer,233.tiff,0,0.5,41,0.0034404750683382033
canine lung cancer,233.tiff,0,0.8,344,0.0289769692399535
canine lung cancer,233.tiff,0,0.9,434,0.03649417161529519
canine lung cancer,233.tiff,0,0.95,1328,0.1049501995161341
canine lung cancer,233.tiff,0,0.98,1328,0.1049501995161341
canine lung cancer,233.tiff,0,0.99,1328,0.1049501995161341
canine lung cancer,233.tiff,0,1.0,1328,0.1049501995161341
canine lung cancer,233.tiff,1,0.5,41,0.0034404750683382033
canine lung cancer,233.tiff,1,0.8,344,0.0289769692399535
canine lung cancer,233.tiff,1,0.9,434,0.03649417161529519
canine lung cancer,233.tiff,1,0.95,1328,0.1049501995161341
canine lung cancer,233.tiff,1,0.98,1328,0.1049501995161341
canine lung cancer,233.tiff,1,0.99,1328,0.1049501995161341
canine lung cancer,233.tiff,1,1.0,1328,0.1049501995161341
canine lung cancer,233.tiff,2,0.5,64,0.0056084456593458384
canine lung cancer,233.tiff,2,0.8,443,0.038387218399472144
canine lung cancer,233.tiff,2,0.9,1191,0.10041788418638263
canine lung cancer,233.tiff,2,0.95,1218,0.1026408395387564
canine lung cancer,233.tiff,2,0.98,1218,0.1026408395387564
canine lung cancer,233.tiff,2,0.99,1218,0.1026408395387564
canine lung cancer,233.tiff,2,1.0,1218,0.1026408395387564
canine lung cancer,233.tiff,3,0.5,26,0.002167970591007635
canine lung cancer,233.tiff,3,0.8,828,0.07138593018506299
canine lung cancer,233.tiff,3,0.9,1649,0.13950419455179563
canine lung cancer,233.tiff,3,0.95,2320,0.19310648191786847
canine lung cancer,233.tiff,3,0.98,2320,0.19310648191786847
canine lung cancer,233.tiff,3,0.99,2320,0.19310648191786847
canine lung cancer,233.tiff,3,1.0,2320,0.19310648191786847
canine lung cancer,233.tiff,4,0.5,41,0.0034404750683382033
canine lung cancer,233.tiff,4,0.8,344,0.0289769692399535
canine lung cancer,233.tiff,4,0.9,434,0.03649417161529519
canine lung cancer,233.tiff,4,0.95,1328,0.1049501995161341
canine lung cancer,233.tiff,4,0.98,1328,0.1049501995161341
canine lung cancer,233.tiff,4,0.99,1328,0.1049501995161341
canine lung cancer,233.tiff,4,1.0,1328,0.1049501995161341
canine lymphosarcoma,245.tiff,0,0.5,3135,0.2356018474879819
canine lymphosarcoma,245.tiff,0,0.8,7483,0.48651302353347786
canine lymphosarcoma,245.tiff,0,0.9,12554,0.698620667986301
canine lymphosarcoma,245.tiff,0,0.95,14988,0.7722766833191944
canine lymphosarcoma,245.tiff,0,0.98,15503,0.786965469569862
canine lymphosarcoma,245.tiff,0,0.99,16226,0.8048355170138561
canine lymphosarcoma,245.tiff,0,1.0,16226,0.8048355170138561
canine lymphosarcoma,245.tiff,1,0.5,3025,0.22750337763534106
canine lymphosarcoma,245.tiff,1,0.8,8044,0.5088289816822195
canine lymphosarcoma,245.tiff,1,0.9,12748,0.689414647940428
canine lymphosarcoma,245.tiff,1,0.95,17622,0.8201841204009175
canine lymphosarcoma,245.tiff,1,0.98,26313,0.9468140258271279
canine lymphosarcoma,245.tiff,1,0.99,33073,0.9857039620448047
canine lymphosarcoma,245.tiff,1,1.0,33073,0.9857039620448047
canine lymphosarcoma,245.tiff,2,0.5,1946,0.1540751563138216
canine lymphosarcoma,245.tiff,2,0.8,9403,0.5801127973104597
canine lymphosarcoma,245.tiff,2,0.9,13099,0.7230888867942313
canine lymphosarcoma,245.tiff,2,0.95,17916,0.8539290539479059
canine lymphosarcoma,245.tiff,2,0.98,24699,0.9548182360888554
canine lymphosarcoma,245.tiff,2,0.99,29638,0.985743236874352
canine lymphosarcoma,245.tiff,2,1.0,29638,0.985743236874352
canine lymphosarcoma,245.tiff,3,0.5,1664,0.1362208188016464
canine lymphosarcoma,245.tiff,3,0.8,6754,0.4617698809187168
canine lymphosarcoma,245.tiff,3,0.9,11095,0.6575627611776165
canine lymphosarcoma,245.tiff,3,0.95,14084,0.7586168976026644
canine lymphosarcoma,245.tiff,3,0.98,16779,0.8283532849467433
canine lymphosarcoma,245.tiff,3,0.99,20558,0.9014044679046093
canine lymphosarcoma,245.tiff,3,1.0,20558,0.9014044679046093
canine lymphosarcoma,245.tiff,4,0.5,1738,0.14039966066547271
canine lymphosarcoma,245.tiff,4,0.8,9109,0.5676626763439847
canine lymphosarcoma,245.tiff,4,0.9,12622,0.7040013196342728
canine lymphosarcoma,245.tiff,4,0.95,18681,0.861454111289157
canine lymphosarcoma,245.tiff,4,0.98,20830,0.8986081000408458
canine lymphosarcoma,245.tiff,4,0.99,29455,0.9826483803060295
canine lymphosarcoma,245.tiff,4,1.0,29455,0.9826483803060295
canine lymphosarcoma,246.tiff,0,0.5,134,0.011499670091431803
canine lymphosarcoma,246.tiff,0,0.8,688,0.05676783862758036
canine lymphosarcoma,246.tiff,0,0.9,1477,0.11783234360762875
canine lymphosarcoma,246.tiff,0,0.95,1912,0.15031262764319603
canine lymphosarcoma,246.tiff,0,0.98,4368,0.3208910673327678
canine lymphosarcoma,246.tiff,0,0.99,4539,0.33225720300373895
canine lymphosarcoma,246.tiff,0,1.0,6268,0.4384563420994753
canine lymphosarcoma,246.tiff,1,0.5,158,0.013534106261978823
canine lymphosarcoma,246.tiff,1,0.8,652,0.05321739403650988
canine lymphosarcoma,246.tiff,1,0.9,2073,0.15998209067772645
canine lymphosarcoma,246.tiff,1,0.95,3985,0.29043736450183805
canine lymphosarcoma,246.tiff,1,0.98,6705,0.45583152669117416
canine lymphosarcoma,246.tiff,1,0.99,8745,0.563091086184686
canine lymphosarcoma,246.tiff,1,1.0,16972,0.8627816005278537
canine lymphosarcoma,246.tiff,2,0.5,123,0.010753448330034247
canine lymphosarcoma,246.tiff,2,0.8,549,0.04570019166116819
canine lymphosarcoma,246.tiff,2,0.9,1632,0.1302117698809187
canine lymphosarcoma,246.tiff,2,0.95,2350,0.18369623275834984
canine lymphosarcoma,246.tiff,2,0.98,7210,0.4957426084770792
canine lymphosarcoma,246.tiff,2,0.99,7292,0.500369183397744
canine lymphosarcoma,246.tiff,2,1.0,8502,0.5638137430483552
canine lymphosarcoma,246.tiff,3,0.5,125,0.010886982750494862
canine lymphosarcoma,246.tiff,3,0.8,905,0.07488924498067678
canine lymphosarcoma,246.tiff,3,0.9,2136,0.16893675181449713
canine lymphosarcoma,246.tiff,3,0.95,3605,0.2723002482169227
canine lymphosarcoma,246.tiff,3,0.98,6281,0.43979168630408144
canine lymphosarcoma,246.tiff,3,0.99,6952,0.4788151569422189
canine lymphosarcoma,246.tiff,3,1.0,7065,0.4853819084425174
canine lymphosarcoma,246.tiff,4,0.5,164,0.013769755239262261
canine lymphosarcoma,246.tiff,4,0.8,540,0.04446696201338486
canine lymphosarcoma,246.tiff,4,0.9,1066,0.08595689194708896
canine lymphosarcoma,246.tiff,4,0.95,2421,0.1867203946334873
canine lymphosarcoma,246.tiff,4,0.98,3381,0.25384107832972
canine lymphosarcoma,246.tiff,4,0.99,4889,0.3531514123228705
canine lymphosarcoma,246.tiff,4,1.0,8527,0.5571134571275961
canine cutaneous mast cell tumor,300.tiff,0,0.5,305,0.026574617759542705
canine cutaneous mast cell tumor,300.tiff,0,0.8,1895,0.1590054787116429
canine cutaneous mast cell tumor,300.tiff,0,0.9,3868,0.3104603264296653
canine cutaneous mast cell tumor,300.tiff,0,0.95,6370,0.47795821765799407
canine cutaneous mast cell tumor,300.tiff,0,0.98,10364,0.6945761573675978
canine cutaneous mast cell tumor,300.tiff,0,0.99,11123,0.7273419649657273
canine cutaneous mast cell tumor,300.tiff,0,1.0,11702,0.7512304580333964
canine cutaneous mast cell tumor,300.tiff,1,0.5,430,0.0349278103989059
canine cutaneous mast cell tumor,300.tiff,1,0.8,1515,0.11745244003308519
canine cutaneous mast cell tumor,300.tiff,1,0.9,2809,0.20942764251611265
canine cutaneous mast cell tumor,300.tiff,1,0.95,4105,0.2956866406243602
canine cutaneous mast cell tumor,300.tiff,1,0.98,8227,0.5302475656994979
canine cutaneous mast cell tumor,300.tiff,1,0.99,8911,0.5641353217207576
canine cutaneous mast cell tumor,300.tiff,1,1.0,20944,0.9227657257040841
canine cutaneous mast cell tumor,300.tiff,2,0.5,140,0.012251349204399348
canine cutaneous mast cell tumor,300.tiff,2,0.8,932,0.07962558042404737
canine cutaneous mast cell tumor,300.tiff,2,0.9,2893,0.2367966325168497
canine cutaneous mast cell tumor,300.tiff,2,0.95,5721,0.4360612239884038
canine cutaneous mast cell tumor,300.tiff,2,0.98,10035,0.6764366262929022
canine cutaneous mast cell tumor,300.tiff,2,0.99,10969,0.7174491642712658
canine cutaneous mast cell tumor,300.tiff,2,1.0,11024,0.7197012505220746
canine cutaneous mast cell tumor,300.tiff,3,0.5,140,0.012251349204399348
canine cutaneous mast cell tumor,300.tiff,3,0.8,932,0.07962558042404737
canine cutaneous mast cell tumor,300.tiff,3,0.9,2893,0.2367966325168497
canine cutaneous mast cell tumor,300.tiff,3,0.95,5721,0.4360612239884038
canine cutaneous mast cell tumor,300.tiff,3,0.98,10035,0.6764366262929022
canine cutaneous mast cell tumor,300.tiff,3,0.99,10969,0.7174491642712658
canine cutaneous mast cell tumor,300.tiff,3,1.0,11024,0.7197012505220746
canine cutaneous mast cell tumor,300.tiff,4,0.5,307,0.02669745882776863
canine cutaneous mast cell tumor,300.tiff,4,0.8,1545,0.12860640902799958
canine cutaneous mast cell tumor,300.tiff,4,0.9,3716,0.2897329435176768
canine cutaneous mast cell tumor,300.tiff,4,0.95,5274,0.39364010842771624
canine cutaneous mast cell tumor,300.tiff,4,0.98,8377,0.5696140333636341
canine cutaneous mast cell tumor,300.tiff,4,0.99,10175,0.654636431385074
canine cutaneous mast cell tumor,300.tiff,4,1.0,10256,0.6584363150955294
canine cutaneous mast cell tumor,301.tiff,0,0.5,345,0.029588318633352168
canine cutaneous mast cell tumor,301.tiff,0,0.8,2131,0.17532696197659467
canine cutaneous mast cell tumor,301.tiff,0,0.9,4697,0.35937563979723036
canine cutaneous mast cell tumor,301.tiff,0,0.95,9433,0.6333521689637946
canine cutaneous mast cell tumor,301.tiff,0,0.98,11228,0.7153772449205218
canine cutaneous mast cell tumor,301.tiff,0,0.99,12798,0.7770680293835835
canine cutaneous mast cell tumor,301.tiff,0,1.0,15929,0.8707793856308708
canine cutaneous mast cell tumor,301.tiff,1,0.5,323,0.026525481332252333
canine cutaneous mast cell tumor,301.tiff,1,0.8,1656,0.12793487785503116
canine cutaneous mast cell tumor,301.tiff,1,0.9,3179,0.23500315292075113
canine cutaneous mast cell tumor,301.tiff,1,0.95,4956,0.34854924698425177
canine cutaneous mast cell tumor,301.tiff,1,0.98,11633,0.67262036377335
canine cutaneous mast cell tumor,301.tiff,1,0.99,13565,0.7426152044484845
canine cutaneous mast cell tumor,301.tiff,1,1.0,15769,0.8079011375082917
canine cutaneous mast cell tumor,301.tiff,2,0.5,172,0.014937473896273002
canine cutaneous mast cell tumor,301.tiff,2,0.8,599,0.0502010498816631
canine cutaneous mast cell tumor,301.tiff,2,0.9,1226,0.10186800317748897
canine cutaneous mast cell tumor,301.tiff,2,0.95,2324,0.1862024912168636
canine cutaneous mast cell tumor,301.tiff,2,0.98,5347,0.38999582340368033
canine cutaneous mast cell tumor,301.tiff,2,0.99,7358,0.5061133904953771
canine cutaneous mast cell tumor,301.tiff,2,1.0,10756,0.668124380676281
canine cutaneous mast cell tumor,301.tiff,3,0.5,299,0.025632836236477247
canine cutaneous mast cell tumor,301.tiff,3,0.8,1403,0.11406202655004954
canine cutaneous mast cell tumor,301.tiff,3,0.9,2914,0.2244715786715148
canine cutaneous mast cell tumor,301.tiff,3,0.95,5947,0.4148834238262536
canine cutaneous mast cell tumor,301.tiff,3,0.98,9029,0.5716777633098298
canine cutaneous mast cell tumor,301.tiff,3,0.99,12197,0.702143167170315
canine cutaneous mast cell tumor,301.tiff,3,1.0,15692,0.8100303826908746
canine cutaneous mast cell tumor,301.tiff,4,0.5,182,0.016092179937596738
canine cutaneous mast cell tumor,301.tiff,4,0.8,1457,0.1207282018524433
canine cutaneous mast cell tumor,301.tiff,4,0.9,3411,0.2644358728676838
canine cutaneous mast cell tumor,301.tiff,4,0.95,5876,0.42209009982884144
canine cutaneous mast cell tumor,301.tiff,4,0.98,10593,0.6609095152691448
canine cutaneous mast cell tumor,301.tiff,4,0.99,13614,0.7749224053919039
canine cutaneous mast cell tumor,301.tiff,4,1.0,22143,0.9548108657019548
human neuroendocrine tumor,402.tiff,0,0.5,124,0.010733277083374213
human neuroendocrine tumor,402.tiff,0,0.8,345,0.02917149042769591
human neuroendocrine tumor,402.tiff,0,0.9,722,0.05963803805375142
human neuroendocrine tumor,402.tiff,0,0.95,1102,0.08897958649739353
human neuroendocrine tumor,402.tiff,0,0.98,1791,0.14006893890338742
human neuroendocrine tumor,402.tiff,0,0.99,3853,0.28258409695923187
human neuroendocrine tumor,402.tiff,0,1.0,5457,0.3807664383964837
human neuroendocrine tumor,402.tiff,1,0.5,105,0.009170051475253288
human neuroendocrine tumor,402.tiff,1,0.8,369,0.031571924729705866
human neuroendocrine tumor,402.tiff,1,0.9,1753,0.14367940139578386
human neuroendocrine tumor,402.tiff,1,0.95,3439,0.27104631464657364
