tumor_type,file_name,seed_index,budget,recall_at_k
human breast cancer,013.tiff,0,25,0.35294117647058826
human breast cancer,013.tiff,0,50,0.5294117647058824
human breast cancer,013.tiff,0,100,0.5882352941176471
human breast cancer,013.tiff,0,250,0.6470588235294118
human breast cancer,013.tiff,0,500,0.8235294117647058
human breast cancer,013.tiff,0,1000,0.9411764705882353
human breast cancer,013.tiff,0,2000,1.0
human breast cancer,013.tiff,0,5000,1.0
human breast cancer,013.tiff,1,25,0.4117647058823529
human breast cancer,013.tiff,1,50,0.47058823529411764
human breast cancer,013.tiff,1,100,0.7058823529411765
human breast cancer,013.tiff,1,250,0.9411764705882353
human breast cancer,013.tiff,1,500,1.0
human breast cancer,013.tiff,1,1000,1.0
human breast cancer,013.tiff,1,2000,1.0
human breast cancer,013.tiff,1,5000,1.0
human breast cancer,013.tiff,2,25,0.35294117647058826
human breast cancer,013.tiff,2,50,0.47058823529411764
human breast cancer,013.tiff,2,100,0.5882352941176471
human breast cancer,013.tiff,2,250,0.9411764705882353
human breast cancer,013.tiff,2,500,1.0
human breast cancer,013.tiff,2,1000,1.0
human breast cancer,013.tiff,2,2000,1.0
human breast cancer,013.tiff,2,5000,1.0
human breast cancer,013.tiff,3,25,0.23529411764705882
human breast cancer,013.tiff,3,50,0.29411764705882354
human breast cancer,013.tiff,3,100,0.7058823529411765
human breast cancer,013.tiff,3,250,0.9411764705882353
human breast cancer,013.tiff,3,500,1.0
human breast cancer,013.tiff,3,1000,1.0
human breast cancer,013.tiff,3,2000,1.0
human breast cancer,013.tiff,3,5000,1.0
human breast cancer,013.tiff,4,25,0.47058823529411764
human breast cancer,013.tiff,4,50,0.5882352941176471
human breast cancer,013.tiff,4,100,0.7647058823529411
human breast cancer,013.tiff,4,250,0.9411764705882353
human breast cancer,013.tiff,4,500,1.0
human breast cancer,013.tiff,4,1000,1.0
human breast cancer,013.tiff,4,2000,1.0
human breast cancer,013.tiff,4,5000,1.0
human breast cancer,094.tiff,0,25,0.16049382716049382
human breast cancer,094.tiff,0,50,0.30864197530864196
human breast cancer,094.tiff,0,100,0.4567901234567901
human breast cancer,094.tiff,0,250,0.5308641975308642
human breast cancer,094.tiff,0,500,0.6790123456790124
human breast cancer,094.tiff,0,1000,0.8148148148148148
human breast cancer,094.tiff,0,2000,0.9629629629629629
human breast cancer,094.tiff,0,5000,1.0
human breast cancer,094.tiff,1,25,0.2222222222222222
human breast cancer,094.tiff,1,50,0.38271604938271603
human breast cancer,094.tiff,1,100,0.5555555555555556
human breast cancer,094.tiff,1,250,0.6666666666666666
human breast cancer,094.tiff,1,500,0.8271604938271605
human breast cancer,094.tiff,1,1000,0.9135802469135802
human breast cancer,094.tiff,1,2000,0.9629629629629629
human breast cancer,094.tiff,1,5000,1.0
human breast cancer,094.tiff,2,25,0.19753086419753085
human breast cancer,094.tiff,2,50,0.38271604938271603
human breast cancer,094.tiff,2,100,0.5185185185185185
human breast cancer,094.tiff,2,250,0.654320987654321
human breast cancer,094.tiff,2,500,0.7407407407407407
human breast cancer,094.tiff,2,1000,0.8888888888888888
human breast cancer,094.tiff,2,2000,0.9629629629629629
human breast cancer,094.tiff,2,5000,1.0
human breast cancer,094.tiff,3,25,0.2345679012345679
human breast cancer,094.tiff,3,50,0.43209876543209874
human breast cancer,094.tiff,3,100,0.6419753086419753
human breast cancer,094.tiff,3,250,0.7530864197530864
human breast cancer,094.tiff,3,500,0.8641975308641975
human breast cancer,094.tiff,3,1000,0.9259259259259259
human breast cancer,094.tiff,3,2000,0.9753086419753086
human breast cancer,094.tiff,3,5000,1.0
human breast cancer,094.tiff,4,25,0.19753086419753085
human breast cancer,094.tiff,4,50,0.38271604938271603
human breast cancer,094.tiff,4,100,0.5185185185185185
human breast cancer,094.tiff,4,250,0.654320987654321
human breast cancer,094.tiff,4,500,0.7407407407407407
human breast cancer,094.tiff,4,1000,0.8888888888888888
human breast cancer,094.tiff,4,2000,0.9629629629629629
human breast cancer,094.tiff,4,5000,1.0
canine lung cancer,201.tiff,0,25,0.35294117647058826
canine lung cancer,201.tiff,0,50,0.6470588235294118
canine lung cancer,201.tiff,0,100,0.7058823529411765
canine lung cancer,201.tiff,0,250,0.8235294117647058
canine lung cancer,201.tiff,0,500,0.9411764705882353
canine lung cancer,201.tiff,0,1000,1.0
canine lung cancer,201.tiff,0,2000,1.0
canine lung cancer,201.tiff,0,5000,1.0
canine lung cancer,201.tiff,1,25,0.35294117647058826
canine lung cancer,201.tiff,1,50,0.6470588235294118
canine lung cancer,201.tiff,1,100,0.7058823529411765
canine lung cancer,201.tiff,1,250,0.8235294117647058
canine lung cancer,201.tiff,1,500,0.9411764705882353
canine lung cancer,201.tiff,1,1000,1.0
canine lung cancer,201.tiff,1,2000,1.0
canine lung cancer,201.tiff,1,5000,1.0
canine lung cancer,201.tiff,2,25,0.17647058823529413
canine lung cancer,201.tiff,2,50,0.35294117647058826
canine lung cancer,201.tiff,2,100,0.5294117647058824
canine lung cancer,201.tiff,2,250,0.7058823529411765
canine lung cancer,201.tiff,2,500,0.7647058823529411
canine lung cancer,201.tiff,2,1000,0.8235294117647058
canine lung cancer,201.tiff,2,2000,0.9411764705882353
canine lung cancer,201.tiff,2,5000,1.0
canine lung cancer,201.tiff,3,25,0.29411764705882354
canine lung cancer,201.tiff,3,50,0.5882352941176471
canine lung cancer,201.tiff,3,100,0.6470588235294118
canine lung cancer,201.tiff,3,250,0.6470588235294118
canine lung cancer,201.tiff,3,500,0.7647058823529411
canine lung cancer,201.tiff,3,1000,0.8823529411764706
canine lung cancer,201.tiff,3,2000,0.8823529411764706
canine lung cancer,201.tiff,3,5000,1.0
canine lung cancer,201.tiff,4,25,0.17647058823529413
canine lung cancer,201.tiff,4,50,0.29411764705882354
canine lung cancer,201.tiff,4,100,0.35294117647058826
canine lung cancer,201.tiff,4,250,0.5294117647058824
canine lung cancer,201.tiff,4,500,0.6470588235294118
canine lung cancer,201.tiff,4,1000,0.8235294117647058
canine lung cancer,201.tiff,4,2000,0.9411764705882353
canine lung cancer,201.tiff,4,5000,1.0
canine lung cancer,233.tiff,0,25,0.4117647058823529
canine lung cancer,233.tiff,0,50,0.5882352941176471
canine lung cancer,233.tiff,0,100,0.6470588235294118
canine lung cancer,233.tiff,0,250,0.7058823529411765
canine lung cancer,233.tiff,0,500,0.9411764705882353
canine lung cancer,233.tiff,0,1000,0.9411764705882353
canine lung cancer,233.tiff,0,2000,1.0
canine lung cancer,233.tiff,0,5000,1.0
canine lung cancer,233.tiff,1,25,0.4117647058823529
canine lung cancer,233.tiff,1,50,0.5882352941176471
canine lung cancer,233.tiff,1,100,0.6470588235294118
canine lung cancer,233.tiff,1,250,0.7058823529411765
canine lung cancer,233.tiff,1,500,0.9411764705882353
canine lung cancer,233.tiff,1,1000,0.9411764705882353
canine lung cancer,233.tiff,1,2000,1.0
canine lung cancer,233.tiff,1,5000,1.0
canine lung cancer,233.tiff,2,25,0.47058823529411764
canine lung cancer,233.tiff,2,50,0.47058823529411764
canine lung cancer,233.tiff,2,100,0.5882352941176471
canine lung cancer,233.tiff,2,250,0.7058823529411765
canine lung cancer,233.tiff,2,500,0.8235294117647058
canine lung cancer,233.tiff,2,1000,0.8235294117647058
canine lung cancer,233.tiff,2,2000,1.0
canine lung cancer,233.tiff,2,5000,1.0
canine lung cancer,233.tiff,3,25,0.47058823529411764
canine lung cancer,233.tiff,3,50,0.5294117647058824
canine lung cancer,233.tiff,3,100,0.5294117647058824
canine lung cancer,233.tiff,3,250,0.5882352941176471
canine lung cancer,233.tiff,3,500,0.7058823529411765
canine lung cancer,233.tiff,3,1000,0.8235294117647058
canine lung cancer,233.tiff,3,2000,0.9411764705882353
canine lung cancer,233.tiff,3,5000,1.0
canine lung cancer,233.tiff,4,25,0.4117647058823529
canine lung cancer,233.tiff,4,50,0.5882352941176471
canine lung cancer,233.tiff,4,100,0.6470588235294118
canine lung cancer,233.tiff,4,250,0.7058823529411765
canine lung cancer,233.tiff,4,500,0.9411764705882353
canine lung cancer,233.tiff,4,1000,0.9411764705882353
canine lung cancer,233.tiff,4,2000,1.0
canine lung cancer,233.tiff,4,5000,1.0
canine lymphosarcoma,245.tiff,0,25,0.011235955056179775
canine lymphosarcoma,245.tiff,0,50,0.0449438202247191
canine lymphosarcoma,245.tiff,0,100,0.06741573033707865
canine lymphosarcoma,245.tiff,0,250,0.0898876404494382
canine lymphosarcoma,245.tiff,0,500,0.1797752808988764
canine lymphosarcoma,245.tiff,0,1000,0.23595505617977527
