group,tolerance,z_exact,z_ship,n_rois,cut_roi_lo,cut_roi_hi,cut_roi_median,n_kept_roi_lo,n_kept_roi_hi,n_kept_worst_cell,cov_roi_lo,cov_roi_hi,recall_worst,mitoses_lost_worst,unreachable_cells
canine cutaneous mast cell tumor,1.0,1.4711,1.4,2,9.0,9.4,,18495,25338,28084,0.923,0.97,1.0,0,0
canine cutaneous mast cell tumor,0.99,2.2613,2.2,2,27.9,37.3,,13625,18120,21410,0.818,0.89,0.9908,2,0
canine cutaneous mast cell tumor,0.98,2.4126,2.4,2,33.1,45.2,,12645,16362,19843,0.784,0.844,0.9816,4,0
canine cutaneous mast cell tumor,0.95,2.6419,2.6,2,38.6,53.1,,11652,14513,18108,0.747,0.782,0.9585,9,0
canine cutaneous mast cell tumor,0.9,3.1843,3.1,2,52.9,71.1,,8952,9029,13528,0.572,0.624,0.9078,20,0
canine lung cancer,1.0,2.9928,2.9,2,52.7,77.1,,3415,6778,11962,0.278,0.494,1.0,0,0
canine lung cancer,0.99,2.9928,2.9,2,52.7,77.1,,3415,6778,11962,0.278,0.494,1.0,0,0
canine lung cancer,0.98,2.9928,2.9,2,52.7,77.1,,3415,6778,11962,0.278,0.494,1.0,0,0
canine lung cancer,0.95,2.9928,2.9,2,52.7,77.1,,3415,6778,11962,0.278,0.494,1.0,0,0
canine lung cancer,0.9,3.3548,3.3,2,65.7,86.1,,2068,4990,9801,0.173,0.382,0.9412,1,0
canine lymphosarcoma,1.0,1.343,1.3,2,7.3,10.0,,23999,33067,36251,0.979,0.994,1.0,0,0
canine lymphosarcoma,0.99,1.343,1.3,2,7.3,10.0,,23999,33067,36251,0.979,0.994,1.0,0,0
canine lymphosarcoma,0.98,1.6335,1.6,2,19.8,23.1,,20527,28627,31852,0.942,0.979,0.9888,1,0
canine lymphosarcoma,0.95,1.9706,1.9,2,37.0,39.1,,16847,22477,25650,0.859,0.923,0.9551,4,0
canine lymphosarcoma,0.9,2.209,2.2,2,54.8,55.6,,12517,15833,18740,0.724,0.798,0.9101,8,0
canine soft tissue sarcoma,1.0,1.3079,1.3,2,8.4,11.5,,13478,15919,19103,0.821,0.897,1.0,0,0
canine soft tissue sarcoma,0.99,1.6335,1.6,2,18.5,20.8,,12110,14141,17314,0.77,0.849,0.9923,1,0
canine soft tissue sarcoma,0.98,1.6335,1.6,2,18.5,20.8,,12110,14141,17314,0.77,0.849,0.9923,1,0
canine soft tissue sarcoma,0.95,2.0514,2.0,2,28.7,34.4,,10903,11260,14755,0.722,0.751,0.9714,3,0
canine soft tissue sarcoma,0.9,2.7459,2.7,2,42.8,65.1,,6175,8479,10274,0.473,0.599,0.9077,12,0
human breast cancer,1.0,3.4877,3.4,2,54.3,72.0,,6015,7614,8926,0.413,0.489,1.0,0,0
human breast cancer,0.99,3.4877,3.4,2,54.3,72.0,,6015,7614,8926,0.413,0.489,1.0,0,0
human breast cancer,0.98,4.0842,4.0,2,60.2,81.7,,3937,6740,7867,0.279,0.446,0.9877,1,0
human breast cancer,0.95,5.4731,5.4,2,70.9,91.8,,1803,4934,5967,0.134,0.349,0.963,3,0
human breast cancer,0.9,6.2494,6.2,2,76.5,94.2,,1287,3997,4988,0.098,0.295,0.9012,8,0
human melanoma,1.0,2.2923,2.2,2,33.8,40.0,,9406,12438,13067,0.616,0.749,1.0,0,0
human melanoma,0.99,2.6892,2.6,2,42.7,52.9,,8004,9895,10285,0.552,0.643,0.9916,2,0
human melanoma,0.98,2.9191,2.9,2,49.2,62.6,,7024,8022,8274,0.502,0.551,0.9874,3,0
human melanoma,0.95,3.0886,3.0,2,51.3,65.4,,6730,7442,7701,0.484,0.519,0.979,5,0
human melanoma,0.9,3.8324,3.8,2,67.9,83.6,,3573,4445,5005,0.274,0.335,0.9474,11,0
human neuroendocrine tumor,1.0,1.8251,1.8,2,19.8,34.7,,12993,16479,19671,0.602,0.853,1.0,0,0
human neuroendocrine tumor,0.99,1.8836,1.8,2,19.8,34.7,,12993,16479,19671,0.602,0.853,1.0,0,0
human neuroendocrine tumor,0.98,2.3828,2.3,2,26.5,57.6,,10696,11823,13288,0.56,0.655,0.9808,2,0
human neuroendocrine tumor,0.95,2.7558,2.7,2,31.6,71.9,,7105,11100,11911,0.48,0.536,0.9615,4,0
human neuroendocrine tumor,0.9,3.2474,3.2,2,37.3,83.5,,4160,10270,11108,0.304,0.508,0.9135,9,0
** GLOBAL (all 14 ROIs) **,1.0,1.3079,1.3,14,6.5,17.9,9.7,12938,33067,36251,0.666,0.994,1.0,0,0
** GLOBAL (all 14 ROIs) **,0.99,1.343,1.3,14,6.5,17.9,9.7,12938,33067,36251,0.666,0.994,1.0,0,0
** GLOBAL (all 14 ROIs) **,0.98,1.6335,1.6,14,13.8,29.1,19.6,10878,28627,31852,0.624,0.979,0.9888,1,0
** GLOBAL (all 14 ROIs) **,0.95,1.9706,1.9,14,20.7,41.6,29.1,8814,22477,25650,0.592,0.935,0.9551,4,0
** GLOBAL (all 14 ROIs) **,0.9,2.209,2.2,14,25.4,55.6,38.9,6919,18120,21410,0.517,0.89,0.9101,8,0
