group,mitoses_given_up,z_exact,z_ship,n_rois,cut_roi_lo,cut_roi_hi,cut_roi_median,n_kept_roi_lo,n_kept_roi_hi,n_kept_worst_cell,cov_roi_lo,cov_roi_hi,recall_worst,mitoses_lost_worst,unreachable_cells
canine cutaneous mast cell tumor,0,1.4711,1.4,2,9.0,9.4,,18495,25338,28084,0.923,0.97,1.0,0,0
canine cutaneous mast cell tumor,1,2.0931,2.0,2,23.0,28.8,,14924,19784,22917,0.846,0.923,0.9944,1,0
canine cutaneous mast cell tumor,2,2.2613,2.2,2,27.9,37.3,,13625,18120,21410,0.818,0.89,0.9908,2,0
canine cutaneous mast cell tumor,3,2.3575,2.3,2,30.4,41.2,,13131,17256,20668,0.802,0.869,0.9862,3,0
canine cutaneous mast cell tumor,5,2.4795,2.4,2,33.1,45.2,,12645,16362,19843,0.784,0.844,0.9816,4,0
canine lung cancer,0,2.9928,2.9,2,52.7,77.1,,3415,6778,11962,0.278,0.494,1.0,0,0
canine lung cancer,1,3.3548,3.3,2,65.7,86.1,,2068,4990,9801,0.173,0.382,0.9412,1,0
canine lung cancer,2,3.4983,3.4,2,68.6,87.8,,1814,4591,9254,0.153,0.355,0.8824,2,0
canine lung cancer,3,3.6623,3.6,2,73.9,90.9,,1354,3814,8251,0.115,0.301,0.8235,3,0
canine lung cancer,5,4.0055,4.0,2,83.3,95.0,,745,2443,6399,0.064,0.2,0.7059,5,0
canine lymphosarcoma,0,1.343,1.3,2,7.3,10.0,,23999,33067,36251,0.979,0.994,1.0,0,0
canine lymphosarcoma,1,1.6335,1.6,2,19.8,23.1,,20527,28627,31852,0.942,0.979,0.9888,1,0
canine lymphosarcoma,2,1.7191,1.7,2,25.1,28.2,,19408,26721,29926,0.922,0.966,0.9775,2,0
canine lymphosarcoma,3,1.8671,1.8,2,31.0,33.8,,18267,24634,27878,0.893,0.947,0.9663,3,0
canine lymphosarcoma,5,2.0732,2.0,2,43.2,44.5,,15352,20274,23346,0.819,0.891,0.9438,5,0
canine soft tissue sarcoma,0,1.3079,1.3,2,8.4,11.5,,13478,15919,19103,0.821,0.897,1.0,0,0
canine soft tissue sarcoma,1,1.8843,1.8,2,24.8,26.1,,11494,12787,16109,0.745,0.804,0.9714,1,0
canine soft tissue sarcoma,2,1.9357,1.9,2,26.7,30.1,,11209,12009,15400,0.734,0.779,0.9714,2,0
canine soft tissue sarcoma,3,2.0068,2.0,2,28.7,34.4,,10903,11260,14755,0.722,0.751,0.9714,3,0
canine soft tissue sarcoma,5,2.0335,2.0,2,28.7,34.4,,10903,11260,14755,0.722,0.751,0.9714,3,0
human breast cancer,0,3.4877,3.4,2,54.3,72.0,,6015,7614,8926,0.413,0.489,1.0,0,0
human breast cancer,1,4.0842,4.0,2,60.2,81.7,,3937,6740,7867,0.279,0.446,0.9877,1,0
human breast cancer,2,4.5119,4.5,2,64.3,86.7,,2874,6073,7138,0.207,0.411,0.9753,2,0
human breast cancer,3,5.4445,5.4,2,70.9,91.8,,1803,4934,5967,0.134,0.349,0.963,3,0
human breast cancer,5,5.6023,5.6,2,72.4,92.5,,1658,4699,5735,0.124,0.336,0.9383,5,0
human melanoma,0,2.2923,2.2,2,33.8,40.0,,9406,12438,13067,0.616,0.749,1.0,0,0
human melanoma,1,2.5767,2.5,2,40.4,49.6,,8368,10530,10998,0.568,0.671,0.9958,1,0
human melanoma,2,2.6892,2.6,2,42.7,52.9,,8004,9895,10285,0.552,0.643,0.9916,2,0
human melanoma,3,2.9047,2.9,2,49.2,62.6,,7024,8022,8274,0.502,0.551,0.9874,3,0
human melanoma,5,3.1095,3.1,2,53.3,68.2,,6451,6865,7126,0.468,0.485,0.9474,5,0
human neuroendocrine tumor,0,1.8251,1.8,2,19.8,34.7,,12993,16479,19671,0.602,0.853,1.0,0,0
human neuroendocrine tumor,1,1.8836,1.8,2,19.8,34.7,,12993,16479,19671,0.602,0.853,1.0,0,0
human neuroendocrine tumor,2,2.3828,2.3,2,26.5,57.6,,10696,11823,13288,0.56,0.655,0.9808,2,0
human neuroendocrine tumor,3,2.6003,2.6,2,30.2,68.8,,7887,11268,12106,0.522,0.541,0.9712,3,0
human neuroendocrine tumor,5,2.7558,2.7,2,31.6,71.9,,7105,11100,11911,0.48,0.536,0.9615,4,0
** GLOBAL (all 14 ROIs) **,0,1.3079,1.3,14,6.5,17.9,9.7,12938,33067,36251,0.666,0.994,1.0,0,0
** GLOBAL (all 14 ROIs) **,1,1.6335,1.6,14,13.8,29.1,19.6,10878,28627,31852,0.624,0.979,0.9888,1,0
** GLOBAL (all 14 ROIs) **,2,1.7191,1.7,14,16.0,32.5,22.5,10174,26721,29926,0.613,0.966,0.9714,2,0
** GLOBAL (all 14 ROIs) **,3,1.8671,1.8,14,18.3,37.2,25.6,9485,24634,27878,0.602,0.947,0.9663,3,0
** GLOBAL (all 14 ROIs) **,5,2.0335,2.0,14,22.9,45.9,32.4,8154,20274,23346,0.583,0.923,0.9438,5,0
