file_name,seed_index,tumor_type,z,recall,mitoses_lost,n_kept,coverage_frac,cut_vs_z1_pct
013.tiff,0,human breast cancer,1.0,1.0,0,15559,0.8125044967263831,0.0
013.tiff,0,human breast cancer,1.1,1.0,0,14525,0.7797617879638169,6.645671315637247
013.tiff,0,human breast cancer,1.2,1.0,0,13561,0.7475881194853783,12.841442252072754
013.tiff,0,human breast cancer,1.3,1.0,0,12768,0.7183316000497093,17.93817083360113
013.tiff,0,human breast cancer,1.4,1.0,0,12133,0.6936470249658249,22.019409987788418
013.tiff,0,human breast cancer,1.5,1.0,0,11530,0.6699958793634597,25.894980397197763
013.tiff,0,human breast cancer,1.6,1.0,0,11039,0.6502037425844894,29.05071019988431
013.tiff,0,human breast cancer,1.7,1.0,0,10628,0.632014075571166,31.692268140626002
013.tiff,0,human breast cancer,1.8,1.0,0,10259,0.6156230991111198,34.06388585384664
013.tiff,0,human breast cancer,1.9,1.0,0,9965,0.6027248526708919,35.95346744649399
013.tiff,0,human breast cancer,2.0,1.0,0,9682,0.5903564023572657,37.77235040812391
013.tiff,0,human breast cancer,2.1,1.0,0,9411,0.578360771540137,39.51410759046211
013.tiff,0,human breast cancer,2.2,1.0,0,9166,0.5668687740779258,41.08875891766823
013.tiff,0,human breast cancer,2.3,1.0,0,8958,0.5573913100353851,42.42560575872485
013.tiff,0,human breast cancer,2.4,1.0,0,8782,0.5492546880416511,43.55678385500353
013.tiff,0,human breast cancer,2.5,1.0,0,8583,0.5405686478425524,44.83578636159136
013.tiff,0,human breast cancer,2.6,1.0,0,8405,0.5325890024789226,45.979818754418666
013.tiff,0,human breast cancer,2.7,1.0,0,8231,0.5245047060285567,47.09814255414872
013.tiff,0,human breast cancer,2.8,1.0,0,8063,0.5165381420507689,48.17790346423292
013.tiff,0,human breast cancer,2.9,1.0,0,7902,0.5094153274597911,49.212674336396944
013.tiff,0,human breast cancer,3.0,1.0,0,7720,0.5010236184421377,50.382415322321485
013.tiff,0,human breast cancer,3.1,1.0,0,7569,0.4935606878192676,51.35291471174239
013.tiff,0,human breast cancer,3.2,1.0,0,7417,0.48589499571584616,52.32984124943763
013.tiff,0,human breast cancer,3.3,1.0,0,7285,0.47949165734617927,53.17822482164664
013.tiff,0,human breast cancer,3.4,1.0,0,7112,0.4710476227851579,54.29012147310238
013.tiff,0,human breast cancer,3.5,1.0,0,6946,0.46314646573658014,55.35702808663796
013.tiff,0,human breast cancer,3.6,1.0,0,6804,0.4560301918385234,56.26968314159008
013.tiff,0,human breast cancer,3.7,1.0,0,6663,0.44845606943599603,57.17591104826789
013.tiff,0,human breast cancer,3.8,1.0,0,6532,0.441895754436225,58.01786747220259
013.tiff,0,human breast cancer,3.9,1.0,0,6417,0.43589139833473955,58.75698952374832
013.tiff,0,human breast cancer,4.0,1.0,0,6285,0.4290236707676811,59.605373095957326
013.tiff,0,human breast cancer,4.1,1.0,0,6154,0.4220709141926496,60.44732951989202
013.tiff,0,human breast cancer,4.2,1.0,0,6009,0.4146930125777525,61.37926601966708
013.tiff,0,human breast cancer,4.3,1.0,0,5873,0.406988076316805,62.25335818497333
013.tiff,0,human breast cancer,4.4,1.0,0,5743,0.4000287790488524,63.08888746063373
013.tiff,0,human breast cancer,4.5,1.0,0,5621,0.39306294108797885,63.87299955009962
013.tiff,0,human breast cancer,4.6,1.0,0,5498,0.3861101845129473,64.66353878783984
013.tiff,0,human breast cancer,4.7,1.0,0,5354,0.37817632399976453,65.58904813934056
013.tiff,0,human breast cancer,4.8,1.0,0,5225,0.37096193970789265,66.41815026672666
013.tiff,0,human breast cancer,4.9,1.0,0,5092,0.3632897069115502,67.27296098720997
013.tiff,0,human breast cancer,5.0,1.0,0,4965,0.35625846202146655,68.08920881804742
013.tiff,0,human breast cancer,5.1,1.0,0,4832,0.3486581768472552,68.94401953853075
013.tiff,0,human breast cancer,5.2,1.0,0,4706,0.3414503332483043,69.7538402210939
013.tiff,0,human breast cancer,5.3,1.0,0,4582,0.33435368142901056,70.55080660710841
013.tiff,0,human breast cancer,5.4,1.0,0,4458,0.3270673495150076,71.34777299312294
013.tiff,0,human breast cancer,5.5,1.0,0,4338,0.31987912799481977,72.11903078604023
013.tiff,0,human breast cancer,5.6,1.0,0,4202,0.3116247735285076,72.99312295134649
013.tiff,0,human breast cancer,5.7,1.0,0,4089,0.3047897494260542,73.71939070634359
013.tiff,0,human breast cancer,5.8,1.0,0,3984,0.29809207987494196,74.39424127514623
013.tiff,0,human breast cancer,5.9,1.0,0,3859,0.28998162065289196,75.19763480943506
013.tiff,0,human breast cancer,6.0,1.0,0,3744,0.2826233411167579,75.93675686098078
013.tiff,0,human breast cancer,6.1,1.0,0,3640,0.27606956680990785,76.60518028150909
013.tiff,0,human breast cancer,6.2,1.0,0,3525,0.2684169560923284,77.34430233305483
013.tiff,0,human breast cancer,6.3,1.0,0,3421,0.26169966446245313,78.01272575358314
013.tiff,0,human breast cancer,6.4,1.0,0,3295,0.25342568791737796,78.82254643614628
013.tiff,0,human breast cancer,6.5,1.0,0,3198,0.24675418113794975,79.44597981875442
013.tiff,0,human breast cancer,6.6,1.0,0,3105,0.24018078475233667,80.04370460826532
013.tiff,0,human breast cancer,6.7,1.0,0,3011,0.23366625460301263,80.6478565460505
013.tiff,0,human breast cancer,6.8,1.0,0,2917,0.2271517244536886,81.25200848383572
013.tiff,0,human breast cancer,6.9,1.0,0,2807,0.21951873581487222,81.9589947940099
013.tiff,0,human breast cancer,7.0,1.0,0,2686,0.2111335674901399,82.73667973520149
013.tiff,0,human breast cancer,7.1,1.0,0,2587,0.20416118883634532,83.37296741435824
013.tiff,0,human breast cancer,7.2,1.0,0,2494,0.19761395522241626,83.97069220386915
013.tiff,0,human breast cancer,7.3,1.0,0,2403,0.19136759348285357,84.55556269683142
013.tiff,0,human breast cancer,7.4,1.0,0,2319,0.18512123174329087,85.09544315187352
013.tiff,0,human breast cancer,7.5,1.0,0,2223,0.17815539378241732,85.71244938620734
013.tiff,0,human breast cancer,7.6,1.0,0,2129,0.17138577660917398,86.31660132399254
