group,z,recall_worst,worst_cell,cov_at_worst_recall,cov_most_saturated,lost_worst,n_rois,cut_median_roi,cov_median_roi
canine cutaneous mast cell tumor,1.0,1.0,301.tiff s2,0.9893128270643442,0.9893128270643442,0,2,,
canine cutaneous mast cell tumor,1.3,1.0,301.tiff s2,0.980754899311271,0.980754899311271,0,2,,
canine cutaneous mast cell tumor,1.5,0.9944444444444445,300.tiff s1,0.9181059545160472,0.9742852697180387,1,2,,
canine cutaneous mast cell tumor,2.0,0.9944444444444445,300.tiff s1,0.7975005937318298,0.9514040734098224,1,2,,
canine cutaneous mast cell tumor,2.5,0.9631336405529954,301.tiff s0,0.6992850649829251,0.9020301533875472,8,2,,
canine cutaneous mast cell tumor,3.0,0.9124423963133641,301.tiff s0,0.4524154648715492,0.7995643236780253,19,2,,
canine cutaneous mast cell tumor,4.0,0.7004608294930875,301.tiff s0,0.11093367401256254,0.4331703641828203,65,2,,
canine cutaneous mast cell tumor,6.0,0.16111111111111112,300.tiff s1,0.005224840101876193,0.061215798999254764,181,2,,
canine cutaneous mast cell tumor,8.0,0.004608294930875576,301.tiff s0,0.00013921987732271987,0.014585329500692005,216,2,,
canine lung cancer,1.0,1.0,233.tiff s0,0.961895560373268,0.961895560373268,0,2,,
canine lung cancer,1.3,1.0,233.tiff s0,0.9295095359286141,0.9295095359286141,0,2,,
canine lung cancer,1.5,1.0,233.tiff s0,0.90537908065479,0.90537908065479,0,2,,
canine lung cancer,2.0,1.0,233.tiff s0,0.8408034059132183,0.8408034059132183,0,2,,
canine lung cancer,2.5,1.0,233.tiff s0,0.7647594809438527,0.7647594809438527,0,2,,
canine lung cancer,3.0,0.9411764705882353,201.tiff s2,0.23370880070380495,0.6689838816099538,1,2,,
canine lung cancer,4.0,0.7058823529411765,201.tiff s4,0.045095359286140696,0.4339868664969994,5,2,,
canine lung cancer,6.0,0.11764705882352941,201.tiff s4,0.0006362522386652842,0.10414899299337041,15,2,,
canine lung cancer,8.0,0.0,201.tiff s0,9.425959091337543e-05,0.01807427655763974,17,2,,
canine lymphosarcoma,1.0,1.0,245.tiff s4,0.9982247777044647,0.9982247777044647,0,2,,
canine lymphosarcoma,1.3,1.0,245.tiff s4,0.9948471423634021,0.9948471423634021,0,2,,
canine lymphosarcoma,1.5,0.9887640449438202,245.tiff s2,0.9738743833851761,0.9881547114085525,1,2,,
canine lymphosarcoma,2.0,0.9438202247191011,245.tiff s2,0.8389103591290413,0.9167373613598517,5,2,,
canine lymphosarcoma,2.5,0.7752808988764045,245.tiff s2,0.5254265246488831,0.6887077010085776,20,2,,
canine lymphosarcoma,3.0,0.5842696629213483,245.tiff s2,0.2276054921921639,0.3856316963584378,37,2,,
canine lymphosarcoma,4.0,0.14606741573033707,245.tiff s1,0.038010180035818644,0.11762025952807365,76,2,,
canine lymphosarcoma,6.0,0.0,245.tiff s0,0.00018066421591730292,0.023242844126056494,89,2,,
canine lymphosarcoma,8.0,0.0,245.tiff s0,0.0,0.003966757784271216,98,2,,
canine soft tissue sarcoma,1.0,1.0,459.tiff s0,0.9648725924529488,0.9648725924529488,0,2,,
canine soft tissue sarcoma,1.3,1.0,459.tiff s0,0.9407421371791247,0.9407421371791247,0,2,,
canine soft tissue sarcoma,1.5,0.9923076923076923,459.tiff s4,0.8614776761868853,0.9213796462123355,1,2,,
canine soft tissue sarcoma,2.0,0.9714285714285714,460.tiff s2,0.6720630282464574,0.8479278599930876,3,2,,
canine soft tissue sarcoma,2.5,0.9230769230769231,459.tiff s3,0.5040531624092751,0.712492537782386,10,2,,
canine soft tissue sarcoma,3.0,0.8538461538461538,459.tiff s3,0.2935322210701606,0.637791811983536,19,2,,
canine soft tissue sarcoma,4.0,0.6538461538461539,459.tiff s2,0.07924089609451095,0.4227935400760361,45,2,,
canine soft tissue sarcoma,6.0,0.07692307692307693,459.tiff s2,0.001335344204606152,0.05494548653658843,120,2,,
canine soft tissue sarcoma,8.0,0.0,459.tiff s1,0.0,0.0026157036478461682,130,2,,
human breast cancer,1.0,1.0,094.tiff s0,0.9417497854997855,0.9417497854997855,0,2,,
human breast cancer,1.3,1.0,094.tiff s0,0.9228871728871729,0.9228871728871729,0,2,,
human breast cancer,1.5,1.0,094.tiff s0,0.9069203131703132,0.9069203131703132,0,2,,
human breast cancer,2.0,1.0,094.tiff s0,0.8507078507078507,0.8507078507078507,0,2,,
human breast cancer,2.5,1.0,094.tiff s0,0.7707461926211926,0.7707461926211926,0,2,,
human breast cancer,3.0,1.0,094.tiff s0,0.6649774774774775,0.6649774774774775,0,2,,
human breast cancer,4.0,0.9876543209876543,094.tiff s2,0.28301292363792363,0.489839033547214,1,2,,
human breast cancer,6.0,0.9135802469135802,094.tiff s2,0.10438116688116689,0.35958113402533864,7,2,,
human breast cancer,8.0,0.7530864197530864,094.tiff s2,0.04479702917202917,0.22904852540078097,20,2,,
human melanoma,1.0,1.0,548.tiff s4,0.9518997442589068,0.9518997442589068,0,2,,
human melanoma,1.3,1.0,548.tiff s4,0.9170770951474599,0.9170770951474599,0,2,,
human melanoma,1.5,1.0,548.tiff s4,0.8914572009758713,0.8914572009758713,0,2,,
human melanoma,2.0,1.0,548.tiff s4,0.8064674371602928,0.8064674371602928,0,2,,
human melanoma,2.5,0.9957983193277311,548.tiff s3,0.6433098522457469,0.6885125810228335,1,2,,
human melanoma,3.0,0.9789915966386554,548.tiff s1,0.441889213743304,0.5390577477777996,5,2,,
human melanoma,4.0,0.8947368421052632,529.tiff s2,0.2522222004199125,0.3331632753173871,15,2,,
human melanoma,6.0,0.773109243697479,548.tiff s1,0.040532674031486894,0.09703772017607545,54,2,,
human melanoma,8.0,0.4327731092436975,548.tiff s1,0.013166414849989207,0.033776138244085575,135,2,,
human neuroendocrine tumor,1.0,1.0,402.tiff s4,0.9895152692476241,0.9895152692476241,0,2,,
human neuroendocrine tumor,1.3,1.0,402.tiff s4,0.9750407158134333,0.9750407158134333,0,2,,
human neuroendocrine tumor,1.5,1.0,402.tiff s4,0.956177357429246,0.956177357429246,0,2,,
human neuroendocrine tumor,2.0,0.9807692307692307,402.tiff s1,0.5958963692613596,0.8558954535643506,2,2,,
human neuroendocrine tumor,2.5,0.9711538461538461,402.tiff s1,0.3690913015324844,0.6636252444583979,3,2,,
human neuroendocrine tumor,3.0,0.9423076923076923,402.tiff s1,0.1989417158853809,0.5438128315313724,6,2,,
human neuroendocrine tumor,4.0,0.7692307692307693,402.tiff s2,0.052678740785798844,0.5011151881430319,24,2,,
human neuroendocrine tumor,6.0,0.21153846153846154,402.tiff s2,0.004892438304914023,0.424857249376999,82,2,,
human neuroendocrine tumor,8.0,0.009615384615384616,402.tiff s2,0.00018313940178822543,0.31898305306464164,103,2,,
** GLOBAL **,1.0,1.0,245.tiff s4,0.9982247777044647,0.9982247777044647,0,14,0.0,0.9241822529674383
** GLOBAL **,1.3,1.0,245.tiff s4,0.9948471423634021,0.9948471423634021,0,14,9.737238866752662,0.8948479418551263
** GLOBAL **,1.5,0.9887640449438202,245.tiff s2,0.9738743833851761,0.9881547114085525,1,14,16.26377554475726,0.8683735472521085
** GLOBAL **,2.0,0.9438202247191011,245.tiff s2,0.8389103591290413,0.9514040734098224,5,14,32.383406353160765,0.7668552983793611
** GLOBAL **,2.5,0.7752808988764045,245.tiff s2,0.5254265246488831,0.9020301533875472,20,14,48.305687591895065,0.5834019169745674
** GLOBAL **,3.0,0.5842696629213483,245.tiff s2,0.2276054921921639,0.7995643236780253,37,14,63.8901362531669,0.500421874693405
** GLOBAL **,4.0,0.14606741573033707,245.tiff s1,0.038010180035818644,0.5011151881430319,76,14,84.94650935232961,0.23401277160513992
** GLOBAL **,6.0,0.0,245.tiff s0,0.00018066421591730292,0.424857249376999,181,14,98.88179003701745,0.020356875943900954
