roi,domain,prov,seed,z,rank_key,pool,ceiling,read_50,read_95,recall_at_250
300.tiff,canine cutaneous mast cell tumor,mitotic,0,0.5,score,15363,0.9944,273.0,5701.0,0.48333333333333334
300.tiff,canine cutaneous mast cell tumor,mitotic,0,0.5,od,15363,0.9944,135.0,3961.0,0.6222222222222222
300.tiff,canine cutaneous mast cell tumor,mitotic,0,1.0,score,14219,0.9944,273.0,5701.0,0.48333333333333334
300.tiff,canine cutaneous mast cell tumor,mitotic,0,1.0,od,14219,0.9944,135.0,3937.0,0.6222222222222222
300.tiff,canine cutaneous mast cell tumor,mitotic,0,1.5,score,12862,0.9944,273.0,5701.0,0.48333333333333334
300.tiff,canine cutaneous mast cell tumor,mitotic,0,1.5,od,12862,0.9944,135.0,3904.0,0.6222222222222222
300.tiff,canine cutaneous mast cell tumor,mitotic,0,2.0,score,11139,0.9944,273.0,5701.0,0.48333333333333334
300.tiff,canine cutaneous mast cell tumor,mitotic,0,2.0,od,11139,0.9944,135.0,3833.0,0.6222222222222222
300.tiff,canine cutaneous mast cell tumor,mitotic,0,2.5,score,8892,0.9778,273.0,5701.0,0.48333333333333334
300.tiff,canine cutaneous mast cell tumor,mitotic,0,2.5,od,8892,0.9778,135.0,3612.0,0.6277777777777778
300.tiff,canine cutaneous mast cell tumor,mitotic,0,3.0,score,6156,0.9556,273.0,5701.0,0.48333333333333334
300.tiff,canine cutaneous mast cell tumor,mitotic,0,3.0,od,6156,0.9556,134.0,5135.0,0.6166666666666667
300.tiff,canine cutaneous mast cell tumor,mitotic,0,4.0,score,1701,0.8,273.0,,0.48333333333333334
300.tiff,canine cutaneous mast cell tumor,mitotic,0,4.0,od,1701,0.8,131.0,,0.6222222222222222
300.tiff,canine cutaneous mast cell tumor,mitotic,1,0.5,score,14186,0.9944,189.0,3746.0,0.6
300.tiff,canine cutaneous mast cell tumor,mitotic,1,0.5,od,14186,0.9944,135.0,3831.0,0.6
300.tiff,canine cutaneous mast cell tumor,mitotic,1,1.0,score,12935,0.9944,189.0,3746.0,0.6
300.tiff,canine cutaneous mast cell tumor,mitotic,1,1.0,od,12935,0.9944,132.0,3775.0,0.6
300.tiff,canine cutaneous mast cell tumor,mitotic,1,1.5,score,11557,0.9944,189.0,3746.0,0.6
300.tiff,canine cutaneous mast cell tumor,mitotic,1,1.5,od,11557,0.9944,132.0,3907.0,0.6055555555555555
