csv,file_name,seed_index,n,stored,correct,delta
tm_variant_sweep,201.tiff,0,7097,0.5249,0.5249,0.0
tm_variant_sweep,201.tiff,1,7047,0.5249,0.522,-0.0029
tm_variant_sweep,201.tiff,2,8131,0.5249,0.583,0.0581
tm_variant_sweep,201.tiff,3,8278,0.5249,0.5907,0.0658
tm_variant_sweep,201.tiff,4,6872,0.5249,0.512,-0.0129
tm_ccoeff_headtohead,201.tiff,0,12446,0.7577,0.7577,0.0
tm_ccoeff_headtohead,201.tiff,1,12446,0.7577,0.7577,0.0
tm_ccoeff_headtohead,201.tiff,2,12446,0.7577,0.7577,0.0
tm_ccoeff_headtohead,201.tiff,3,12446,0.7577,0.7577,0.0
tm_ccoeff_headtohead,201.tiff,4,12446,0.7577,0.7577,0.0
tm_variant_stage_b,201.tiff,0,6659,0.4994,0.4994,0.0
tm_variant_stage_b,201.tiff,1,6682,0.4994,0.5007,0.0013
tm_variant_stage_b,201.tiff,2,7696,0.4994,0.56,0.0606
tm_variant_stage_b,201.tiff,3,7501,0.4994,0.5489,0.0495
tm_variant_stage_b,201.tiff,4,5918,0.4994,0.4523,-0.0471
tm_variant_sweep,202.tiff,0,8733,0.5697,0.5697,0.0
tm_variant_sweep,202.tiff,1,7313,0.5697,0.4922,-0.0775
tm_variant_sweep,202.tiff,2,9517,0.5697,0.6083,0.0386
tm_variant_sweep,202.tiff,3,7894,0.5697,0.5251,-0.0446
tm_ccoeff_headtohead,202.tiff,0,13440,0.7537,0.7537,0.0
tm_ccoeff_headtohead,202.tiff,1,13440,0.7537,0.7537,0.0
tm_ccoeff_headtohead,202.tiff,2,13440,0.7537,0.7537,0.0
tm_ccoeff_headtohead,202.tiff,3,13440,0.7537,0.7537,0.0
tm_variant_stage_b,202.tiff,0,8882,0.5772,0.5772,0.0
tm_variant_stage_b,202.tiff,1,7987,0.5772,0.5302,-0.047
tm_variant_stage_b,202.tiff,2,8221,0.5772,0.5428,-0.0344
tm_variant_stage_b,202.tiff,3,7894,0.5772,0.5251,-0.0521
tm_variant_sweep,245.tiff,0,12380,0.6448,0.6448,0.0
tm_variant_sweep,245.tiff,1,12197,0.6448,0.6389,-0.0059
tm_variant_sweep,245.tiff,2,12187,0.6448,0.6386,-0.0062
tm_variant_sweep,245.tiff,3,12629,0.6448,0.6526,0.0078
tm_variant_sweep,245.tiff,4,12178,0.6448,0.6383,-0.0065
tm_ccoeff_headtohead,245.tiff,0,17178,0.7743,0.7743,0.0
tm_ccoeff_headtohead,245.tiff,1,16765,0.7743,0.7655,-0.0088
tm_ccoeff_headtohead,245.tiff,2,16756,0.7743,0.7653,-0.009
