file_name,tumor_type,decision_grade,seed_index,read_100_delta,read_95_delta,read_50_delta,full_list_recall_delta,n_detections_delta,recall_at_250_delta,arm_a,arm_b
300.tiff,canine cutaneous mast cell tumor,True,0,,-1084.0,-399.0,0.01666666666666672,5462,0.20555555555555555,tm_ccoeff,tm_ccorr
300.tiff,canine cutaneous mast cell tumor,True,1,,-2806.0,-702.0,0.0444444444444444,5618,0.3444444444444444,tm_ccoeff,tm_ccorr
300.tiff,canine cutaneous mast cell tumor,True,2,,-2437.0,-97.0,0.0,4465,0.1611111111111111,tm_ccoeff,tm_ccorr
300.tiff,canine cutaneous mast cell tumor,True,3,,-1675.0,-169.0,0.011111111111111183,4866,0.17222222222222222,tm_ccoeff,tm_ccorr
300.tiff,canine cutaneous mast cell tumor,True,4,,-2609.0,-78.0,0.022222222222222254,4658,0.09999999999999998,tm_ccoeff,tm_ccorr
301.tiff,canine cutaneous mast cell tumor,True,0,,,-2894.0,0.11981566820276501,7458,0.43317972350230416,tm_ccoeff,tm_ccorr
301.tiff,canine cutaneous mast cell tumor,True,1,,-6492.0,-1136.0,0.04147465437788023,6248,0.3778801843317972,tm_ccoeff,tm_ccorr
301.tiff,canine cutaneous mast cell tumor,True,2,,-6435.0,-623.0,0.032258064516129004,5087,0.2995391705069125,tm_ccoeff,tm_ccorr
301.tiff,canine cutaneous mast cell tumor,True,3,,-4791.0,-523.0,0.009216589861751112,4206,0.2304147465437788,tm_ccoeff,tm_ccorr
301.tiff,canine cutaneous mast cell tumor,True,4,,-3743.0,-545.0,0.02304147465437789,4751,0.13364055299539168,tm_ccoeff,tm_ccorr
201.tiff,canine lung cancer,True,0,,,-104.0,-0.05882352941176472,7308,0.23529411764705876,tm_ccoeff,tm_ccorr
201.tiff,canine lung cancer,True,1,,,-160.0,-0.05882352941176472,8133,0.2941176470588235,tm_ccoeff,tm_ccorr
201.tiff,canine lung cancer,True,2,3175.0,3175.0,-190.0,0.0,6678,0.17647058823529416,tm_ccoeff,tm_ccorr
201.tiff,canine lung cancer,True,3,634.0,634.0,-89.0,0.0,5777,0.11764705882352933,tm_ccoeff,tm_ccorr
201.tiff,canine lung cancer,True,4,-226.0,-226.0,-299.0,0.0,5973,0.23529411764705888,tm_ccoeff,tm_ccorr
202.tiff,canine lung cancer,True,0,-5392.0,-5392.0,-475.0,0.0,8785,0.4,tm_ccoeff,tm_ccorr
202.tiff,canine lung cancer,True,1,,,-98.0,0.06666666666666665,4866,0.33333333333333337,tm_ccoeff,tm_ccorr
202.tiff,canine lung cancer,True,2,-1622.0,-1622.0,5.0,0.0,5131,0.0,tm_ccoeff,tm_ccorr
202.tiff,canine lung cancer,True,3,-494.0,-494.0,-52.0,0.0,4919,0.20000000000000007,tm_ccoeff,tm_ccorr
245.tiff,canine lymphosarcoma,True,0,,,-1748.0,0.0561797752808989,6953,0.033707865168539325,tm_ccoeff,tm_ccorr
245.tiff,canine lymphosarcoma,True,1,,,-1236.0,0.0674157303370787,6108,0.011235955056179775,tm_ccoeff,tm_ccorr
245.tiff,canine lymphosarcoma,True,2,,,-1002.0,0.0674157303370787,5376,0.0449438202247191,tm_ccoeff,tm_ccorr
245.tiff,canine lymphosarcoma,True,3,,,-1760.0,0.0337078651685393,5535,0.0449438202247191,tm_ccoeff,tm_ccorr
245.tiff,canine lymphosarcoma,True,4,,,-2272.0,0.0561797752808989,6175,0.16853932584269662,tm_ccoeff,tm_ccorr
246.tiff,canine lymphosarcoma,True,0,,-2335.0,-85.0,0.008695652173912993,7445,0.16521739130434776,tm_ccoeff,tm_ccorr
246.tiff,canine lymphosarcoma,True,1,,-3381.0,-90.0,0.017391304347826098,6925,0.13913043478260867,tm_ccoeff,tm_ccorr
246.tiff,canine lymphosarcoma,True,2,,-3871.0,-140.0,0.034782608695652195,8389,0.22608695652173905,tm_ccoeff,tm_ccorr
246.tiff,canine lymphosarcoma,True,3,,-3375.0,-193.0,0.034782608695652195,7917,0.13913043478260867,tm_ccoeff,tm_ccorr
246.tiff,canine lymphosarcoma,True,4,,-3346.0,-45.0,0.008695652173912993,6961,0.19130434782608696,tm_ccoeff,tm_ccorr
405.tiff,canine soft tissue sarcoma,False,0,407.0,407.0,85.0,0.0,3321,-0.23076923076923084,tm_ccoeff,tm_ccorr
405.tiff,canine soft tissue sarcoma,False,1,836.0,836.0,-43.0,0.0,4106,0.23076923076923084,tm_ccoeff,tm_ccorr
405.tiff,canine soft tissue sarcoma,False,2,322.0,322.0,-65.0,0.0,3419,0.07692307692307698,tm_ccoeff,tm_ccorr
405.tiff,canine soft tissue sarcoma,False,3,381.0,381.0,-30.0,0.0,4433,0.15384615384615385,tm_ccoeff,tm_ccorr
405.tiff,canine soft tissue sarcoma,False,4,2593.0,2593.0,155.0,0.0,3876,-0.15384615384615385,tm_ccoeff,tm_ccorr
406.tiff,canine soft tissue sarcoma,False,0,,,-148.0,-0.19999999999999996,5682,0.2,tm_ccoeff,tm_ccorr
