file_name,arm,metric,tumor_type,decision_grade,method,pool_scope,n_seeds,n_unreached,mean,sd,cv,min,median,max,iqr,worst
002.tiff,blob_native,read_100,human breast cancer,False,-,full,5,5,,,,,,,,
002.tiff,blob_native,read_95,human breast cancer,False,-,full,5,5,,,,,,,,
002.tiff,blob_native,read_50,human breast cancer,False,-,full,5,0,84.2,0.4472135954999579,0.005311325362232279,84.0,84.0,85.0,0.0,85.0
002.tiff,blob_native,n_detections,human breast cancer,False,-,full,5,0,8814.0,0.0,0.0,8814.0,8814.0,8814.0,0.0,8814.0
002.tiff,blob_native,full_list_recall,human breast cancer,False,-,full,5,0,0.875,0.0,0.0,0.875,0.875,0.875,0.0,0.875
002.tiff,blob_native,recall_at_250,human breast cancer,False,-,full,5,0,0.775,0.055901699437494734,0.07213122508063836,0.75,0.75,0.875,0.0,0.75
002.tiff,blob_native@matched,read_100,human breast cancer,False,-,matched,5,5,,,,,,,,
002.tiff,blob_native@matched,read_95,human breast cancer,False,-,matched,5,5,,,,,,,,
002.tiff,blob_native@matched,read_50,human breast cancer,False,-,matched,5,0,84.2,0.4472135954999579,0.005311325362232279,84.0,84.0,85.0,0.0,85.0
002.tiff,blob_native@matched,n_detections,human breast cancer,False,-,matched,5,0,5757.8,390.04127986663156,0.06774137341808183,5244.0,5810.0,6294.0,321.0,6294.0
002.tiff,blob_native@matched,full_list_recall,human breast cancer,False,-,matched,5,0,0.875,0.0,0.0,0.875,0.875,0.875,0.0,0.875
002.tiff,blob_native@matched,recall_at_250,human breast cancer,False,-,matched,5,0,0.775,0.055901699437494734,0.07213122508063836,0.75,0.75,0.875,0.0,0.75
002.tiff,blob_od,read_100,human breast cancer,False,-,full,5,5,,,,,,,,
002.tiff,blob_od,read_95,human breast cancer,False,-,full,5,5,,,,,,,,
002.tiff,blob_od,read_50,human breast cancer,False,-,full,5,0,14.0,2.7386127875258306,0.1956151991089879,11.0,16.0,16.0,5.0,16.0
002.tiff,blob_od,n_detections,human breast cancer,False,-,full,5,0,8814.0,0.0,0.0,8814.0,8814.0,8814.0,0.0,8814.0
002.tiff,blob_od,full_list_recall,human breast cancer,False,-,full,5,0,0.875,0.0,0.0,0.875,0.875,0.875,0.0,0.875
002.tiff,blob_od,recall_at_250,human breast cancer,False,-,full,5,0,0.875,0.0,0.0,0.875,0.875,0.875,0.0,0.875
002.tiff,tm_ccoeff,read_100,human breast cancer,False,ccoeff,full,5,0,222.2,47.10838566539932,0.21200893638793575,183.0,199.0,299.0,40.0,299.0
002.tiff,tm_ccoeff,read_95,human breast cancer,False,ccoeff,full,5,0,222.2,47.10838566539932,0.21200893638793575,183.0,199.0,299.0,40.0,299.0
002.tiff,tm_ccoeff,read_50,human breast cancer,False,ccoeff,full,5,0,20.6,10.644247272588137,0.5167110326499095,12.0,18.0,39.0,4.0,39.0
002.tiff,tm_ccoeff,n_detections,human breast cancer,False,ccoeff,full,5,0,12029.2,1129.8903486622053,0.09392896856500892,10259.0,12586.0,12957.0,1234.0,12957.0
002.tiff,tm_ccoeff,full_list_recall,human breast cancer,False,ccoeff,full,5,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
002.tiff,tm_ccoeff,recall_at_250,human breast cancer,False,ccoeff,full,5,0,0.975,0.055901699437494734,0.05733507634614845,0.875,1.0,1.0,0.0,0.875
002.tiff,tm_ccoeff@matched,read_100,human breast cancer,False,ccoeff,matched,5,0,222.2,47.10838566539932,0.21200893638793575,183.0,199.0,299.0,40.0,299.0
002.tiff,tm_ccoeff@matched,read_95,human breast cancer,False,ccoeff,matched,5,0,222.2,47.10838566539932,0.21200893638793575,183.0,199.0,299.0,40.0,299.0
002.tiff,tm_ccoeff@matched,read_50,human breast cancer,False,ccoeff,matched,5,0,20.6,10.644247272588137,0.5167110326499095,12.0,18.0,39.0,4.0,39.0
002.tiff,tm_ccoeff@matched,n_detections,human breast cancer,False,ccoeff,matched,5,0,5757.8,390.04127986663156,0.06774137341808183,5244.0,5810.0,6294.0,321.0,6294.0
002.tiff,tm_ccoeff@matched,full_list_recall,human breast cancer,False,ccoeff,matched,5,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
002.tiff,tm_ccoeff@matched,recall_at_250,human breast cancer,False,ccoeff,matched,5,0,0.975,0.055901699437494734,0.05733507634614845,0.875,1.0,1.0,0.0,0.875
002.tiff,tm_ccoeff_od,read_100,human breast cancer,False,ccoeff,full,5,0,193.2,3.420526275297414,0.017704587346259907,189.0,195.0,196.0,6.0,196.0
002.tiff,tm_ccoeff_od,read_95,human breast cancer,False,ccoeff,full,5,0,193.2,3.420526275297414,0.017704587346259907,189.0,195.0,196.0,6.0,196.0
002.tiff,tm_ccoeff_od,read_50,human breast cancer,False,ccoeff,full,5,0,12.8,3.492849839314596,0.2728788936964528,9.0,15.0,16.0,6.0,16.0
002.tiff,tm_ccoeff_od,n_detections,human breast cancer,False,ccoeff,full,5,0,12029.2,1129.8903486622053,0.09392896856500892,10259.0,12586.0,12957.0,1234.0,12957.0
002.tiff,tm_ccoeff_od,full_list_recall,human breast cancer,False,ccoeff,full,5,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
002.tiff,tm_ccoeff_od,recall_at_250,human breast cancer,False,ccoeff,full,5,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
002.tiff,tm_ccorr,read_100,human breast cancer,False,ccorr,full,5,0,422.8,68.34983540580035,0.1616599702123944,314.0,428.0,484.0,66.0,484.0
002.tiff,tm_ccorr,read_95,human breast cancer,False,ccorr,full,5,0,422.8,68.34983540580035,0.1616599702123944,314.0,428.0,484.0,66.0,484.0
002.tiff,tm_ccorr,read_50,human breast cancer,False,ccorr,full,5,0,66.0,15.84297951775486,0.24004514420840695,45.0,63.0,85.0,19.0,85.0
002.tiff,tm_ccorr,n_detections,human breast cancer,False,ccorr,full,5,0,5757.8,390.04127986663156,0.06774137341808183,5244.0,5810.0,6294.0,321.0,6294.0
002.tiff,tm_ccorr,full_list_recall,human breast cancer,False,ccorr,full,5,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
002.tiff,tm_ccorr,recall_at_250,human breast cancer,False,ccorr,full,5,0,0.85,0.05590169943749474,0.06576670522058205,0.75,0.875,0.875,0.0,0.75
002.tiff,tm_ccorr@matched,read_100,human breast cancer,False,ccorr,matched,5,0,422.8,68.34983540580035,0.1616599702123944,314.0,428.0,484.0,66.0,484.0
002.tiff,tm_ccorr@matched,read_95,human breast cancer,False,ccorr,matched,5,0,422.8,68.34983540580035,0.1616599702123944,314.0,428.0,484.0,66.0,484.0
002.tiff,tm_ccorr@matched,read_50,human breast cancer,False,ccorr,matched,5,0,66.0,15.84297951775486,0.24004514420840695,45.0,63.0,85.0,19.0,85.0
002.tiff,tm_ccorr@matched,n_detections,human breast cancer,False,ccorr,matched,5,0,5757.8,390.04127986663156,0.06774137341808183,5244.0,5810.0,6294.0,321.0,6294.0
002.tiff,tm_ccorr@matched,full_list_recall,human breast cancer,False,ccorr,matched,5,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
002.tiff,tm_ccorr@matched,recall_at_250,human breast cancer,False,ccorr,matched,5,0,0.85,0.05590169943749474,0.06576670522058205,0.75,0.875,0.875,0.0,0.75
002.tiff,tm_ccorr_od,read_100,human breast cancer,False,ccorr,full,5,0,193.4,4.449719092257397,0.023007854665239903,188.0,192.0,198.0,7.0,198.0
002.tiff,tm_ccorr_od,read_95,human breast cancer,False,ccorr,full,5,0,193.4,4.449719092257397,0.023007854665239903,188.0,192.0,198.0,7.0,198.0
002.tiff,tm_ccorr_od,read_50,human breast cancer,False,ccorr,full,5,0,14.6,3.7815340802378077,0.259009183577932,10.0,17.0,18.0,6.0,18.0
002.tiff,tm_ccorr_od,n_detections,human breast cancer,False,ccorr,full,5,0,5757.8,390.04127986663156,0.06774137341808183,5244.0,5810.0,6294.0,321.0,6294.0
002.tiff,tm_ccorr_od,full_list_recall,human breast cancer,False,ccorr,full,5,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
002.tiff,tm_ccorr_od,recall_at_250,human breast cancer,False,ccorr,full,5,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
094.tiff,blob_native,read_100,human breast cancer,True,-,full,5,5,,,,,,,,
094.tiff,blob_native,read_95,human breast cancer,True,-,full,5,0,8289.0,0.0,0.0,8289.0,8289.0,8289.0,0.0,8289.0
094.tiff,blob_native,read_50,human breast cancer,True,-,full,5,0,379.6,3.5777087639996634,0.009424944056901115,378.0,378.0,386.0,0.0,386.0
094.tiff,blob_native,n_detections,human breast cancer,True,-,full,5,0,11041.0,0.0,0.0,11041.0,11041.0,11041.0,0.0,11041.0
094.tiff,blob_native,full_list_recall,human breast cancer,True,-,full,5,0,0.9506172839506173,0.0,0.0,0.9506172839506173,0.9506172839506173,0.9506172839506173,0.0,0.9506172839506173
