check,label,n_gt,n_excluded,n_excluded_strict,excluded_ann_ids,passed,n_items,caps,n_seeds,n_distinct_ann,pool_size,n_distinct_streams,n_direct,n_filtered,file_name,seed_index,method,z
tissue_mask_covers_gt,300.tiff,266.0,0.0,0.0,,True,,,,,,,,,,,,
no_cap,300.tiff/tm_sqdiff,,,,,True,16437.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_sqdiff_od,,,,,True,16437.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_sqdiff@matched,,,,,True,10524.0,(),,,,,,,,,,
no_cap,300.tiff/tm_sqdiff_normed,,,,,True,12483.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_sqdiff_normed_od,,,,,True,12483.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_sqdiff_normed@matched,,,,,True,10524.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccorr,,,,,True,10524.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccorr_od,,,,,True,10524.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccorr@matched,,,,,True,10524.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccorr_normed,,,,,True,15730.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccorr_normed_od,,,,,True,15730.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccorr_normed@matched,,,,,True,10524.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccoeff,,,,,True,15700.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_od,,,,,True,15700.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff@matched,,,,,True,10524.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_normed,,,,,True,16238.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_normed_od,,,,,True,16238.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_normed@matched,,,,,True,10524.0,(),,,,,,,,,,
no_cap,300.tiff/blob_native,,,,,True,17376.0,(),,,,,,,,,,
no_cap,300.tiff/blob_od,,,,,True,17376.0,(),,,,,,,,,,
no_cap,300.tiff/blob_native@matched,,,,,True,10524.0,(),,,,,,,,,,
no_cap,300.tiff/disc_sqdiff,,,,,True,7714.0,(),,,,,,,,,,
no_cap,300.tiff/disc_sqdiff_od,,,,,True,7714.0,(),,,,,,,,,,
no_cap,300.tiff/disc_sqdiff@matched,,,,,True,7714.0,(),,,,,,,,,,
no_cap,300.tiff/disc_sqdiff_normed,,,,,True,1062.0,(),,,,,,,,,,
no_cap,300.tiff/disc_sqdiff_normed_od,,,,,True,1062.0,(),,,,,,,,,,
no_cap,300.tiff/disc_sqdiff_normed@matched,,,,,True,1062.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccorr,,,,,True,6773.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccorr_od,,,,,True,6773.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccorr@matched,,,,,True,6773.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccorr_normed,,,,,True,11209.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccorr_normed_od,,,,,True,11209.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccorr_normed@matched,,,,,True,10524.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff,,,,,True,13300.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_od,,,,,True,13300.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff@matched,,,,,True,10524.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_normed,,,,,True,14029.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_normed_od,,,,,True,14029.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_normed@matched,,,,,True,10524.0,(),,,,,,,,,,
no_cap,300.tiff/tm_sqdiff,,,,,True,15892.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_sqdiff_od,,,,,True,15892.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_sqdiff@matched,,,,,True,10055.0,(),,,,,,,,,,
no_cap,300.tiff/tm_sqdiff_normed,,,,,True,11182.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_sqdiff_normed_od,,,,,True,11182.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_sqdiff_normed@matched,,,,,True,10055.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccorr,,,,,True,10055.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccorr_od,,,,,True,10055.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccorr@matched,,,,,True,10055.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccorr_normed,,,,,True,15969.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccorr_normed_od,,,,,True,15969.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccorr_normed@matched,,,,,True,10055.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccoeff,,,,,True,16180.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_od,,,,,True,16180.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff@matched,,,,,True,10055.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_normed,,,,,True,16754.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_normed_od,,,,,True,16754.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_normed@matched,,,,,True,10055.0,(),,,,,,,,,,
no_cap,300.tiff/blob_native,,,,,True,17376.0,(),,,,,,,,,,
no_cap,300.tiff/blob_od,,,,,True,17376.0,(),,,,,,,,,,
no_cap,300.tiff/blob_native@matched,,,,,True,10055.0,(),,,,,,,,,,
no_cap,300.tiff/disc_sqdiff,,,,,True,7714.0,(),,,,,,,,,,
no_cap,300.tiff/disc_sqdiff_od,,,,,True,7714.0,(),,,,,,,,,,
no_cap,300.tiff/disc_sqdiff@matched,,,,,True,7714.0,(),,,,,,,,,,
no_cap,300.tiff/disc_sqdiff_normed,,,,,True,1062.0,(),,,,,,,,,,
no_cap,300.tiff/disc_sqdiff_normed_od,,,,,True,1062.0,(),,,,,,,,,,
no_cap,300.tiff/disc_sqdiff_normed@matched,,,,,True,1062.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccorr,,,,,True,6773.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccorr_od,,,,,True,6773.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccorr@matched,,,,,True,6773.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccorr_normed,,,,,True,11209.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccorr_normed_od,,,,,True,11209.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccorr_normed@matched,,,,,True,10055.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff,,,,,True,13300.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff_od,,,,,True,13300.0,(),,,,,,,,,,
no_cap,300.tiff/disc_ccoeff@matched,,,,,True,10055.0,(),,,,,,,,,,
