file,z new,z old-rule delta,z keep-all delta,od51 new,od51 old-rule delta,od51 keep-all delta,od_falloff new,od_falloff old-rule delta,od_falloff keep-all delta,solidity new,solidity old-rule delta,solidity keep-all delta
300.tiff,0.93,-0.0001,0.0001,0.955,0.0001,-0.0004,0.976,0.0,-0.0002,0.777,0.0002,-0.0002
301.tiff,0.93,-0.0,-0.0,0.932,0.0006,-0.0012,0.971,0.0002,-0.0003,0.747,0.0004,-0.0009
201.tiff,0.994,0.0,0.0,0.995,0.0,-0.0001,0.976,-0.0,0.0,0.889,0.0001,-0.0002
233.tiff,0.993,0.0,-0.0,0.981,0.0,-0.0002,0.995,-0.0,0.0,0.897,0.0002,-0.0004
245.tiff,0.876,-0.0001,0.0,0.869,0.0007,-0.0016,0.854,0.0004,-0.0007,0.603,0.0001,-0.0003
246.tiff,0.983,0.0,-0.0002,0.972,0.0005,-0.001,0.991,0.0,-0.0001,0.931,0.0009,-0.0014
459.tiff,0.922,-0.0001,0.0001,0.928,0.0003,-0.0001,0.937,-0.0001,0.0,0.708,0.0,0.0
460.tiff,0.928,-0.0,0.0,0.938,0.0,-0.0,0.921,0.0,0.0,0.743,0.0001,-0.0
013.tiff,0.984,-0.0,0.0,0.998,-0.0,-0.0,0.986,-0.0,-0.0,0.721,0.0002,-0.0001
094.tiff,0.983,-0.0,-0.0,0.979,0.0004,-0.0003,0.988,-0.0001,0.0,0.855,0.0022,-0.0009
529.tiff,0.974,-0.0,-0.0,0.97,0.0001,-0.0001,0.956,0.0,-0.0,0.782,-0.0,-0.0002
548.tiff,0.984,0.0,-0.0001,0.968,0.0005,-0.0008,0.986,-0.0,-0.0001,0.846,0.0009,-0.0015
402.tiff,0.99,0.0,-0.0,0.975,0.0005,-0.0007,0.989,-0.0,-0.0,0.896,0.0004,-0.0011
403.tiff,0.968,-0.0,-0.0001,0.979,0.0002,-0.0013,0.882,-0.0,-0.0001,0.649,-0.0,-0.0003
