file_name,n_mit,n_cand,ranker,read_90,read_95,read_100,rec_at_1000,rec_at_2000
301.tiff,217,22227,z,4697,9433,15929,0.65,0.779
301.tiff,217,22227,od51,4637,7345,17213,0.756,0.834
301.tiff,217,22227,od_falloff,1021,2121,16046,0.899,0.945
301.tiff,217,22227,od_contrast,3113,7231,17981,0.806,0.871
301.tiff,217,22227,z+od_falloff_pct,2245,4954,16771,0.788,0.885
201.tiff,17,16529,z,275,665,665,1.0,1.0
201.tiff,17,16529,od51,164,801,801,1.0,1.0
201.tiff,17,16529,od_falloff,1873,2234,2234,0.882,0.941
201.tiff,17,16529,od_contrast,145,405,405,1.0,1.0
201.tiff,17,16529,z+od_falloff_pct,565,798,798,1.0,1.0
246.tiff,115,26677,z,1477,1912,6268,0.852,0.957
246.tiff,115,26677,od51,1911,2819,12205,0.817,0.913
246.tiff,115,26677,od_falloff,651,872,3514,0.957,0.991
246.tiff,115,26677,od_contrast,1690,2135,6209,0.835,0.939
246.tiff,115,26677,z+od_falloff_pct,775,1062,2366,0.948,0.991
459.tiff,130,20892,z,4975,8853,15466,0.669,0.792
459.tiff,130,20892,od51,5477,10236,19545,0.785,0.846
459.tiff,130,20892,od_falloff,3014,5464,12223,0.692,0.846
459.tiff,130,20892,od_contrast,3473,9778,19813,0.808,0.846
459.tiff,130,20892,z+od_falloff_pct,2344,6810,15121,0.754,0.846
094.tiff,81,26147,z,1309,1630,4052,0.815,0.963
094.tiff,81,26147,od51,1088,1559,8521,0.877,0.951
094.tiff,81,26147,od_falloff,655,1492,4465,0.926,0.963
094.tiff,81,26147,od_contrast,1249,1594,10057,0.877,0.951
094.tiff,81,26147,z+od_falloff_pct,734,1216,2365,0.914,0.975
548.tiff,238,20810,z,973,2075,7949,0.903,0.95
548.tiff,238,20810,od51,1671,4628,17171,0.853,0.92
548.tiff,238,20810,od_falloff,652,1250,6251,0.945,0.966
548.tiff,238,20810,od_contrast,1386,3458,17071,0.874,0.933
548.tiff,238,20810,z+od_falloff_pct,595,1250,4166,0.95,0.971
402.tiff,104,27280,z,722,1102,5457,0.942,0.981
402.tiff,104,27280,od51,1631,5373,6485,0.856,0.904
402.tiff,104,27280,od_falloff,732,1152,3070,0.933,0.981
402.tiff,104,27280,od_contrast,969,2935,5005,0.904,0.913
402.tiff,104,27280,z+od_falloff_pct,477,653,2173,0.971,0.99
