file_name,arm,n_gt_mitotic,n_captured,ceiling,n_pool,quantile,depth,frac_of_pool
301.tiff,connected_components,218,218,1.0,20370,0.5,167,0.0082
301.tiff,connected_components,218,218,1.0,20370,0.9,720,0.0353
301.tiff,connected_components,218,218,1.0,20370,0.95,1428,0.0701
301.tiff,connected_components,218,218,1.0,20370,0.98,4307,0.2114
301.tiff,connected_components,218,218,1.0,20370,0.99,6101,0.2995
301.tiff,connected_components,218,218,1.0,20370,1.0,7750,0.3805
301.tiff,watershed_md5,218,218,1.0,39956,0.5,208,0.0052
301.tiff,watershed_md5,218,218,1.0,39956,0.9,1206,0.0302
301.tiff,watershed_md5,218,218,1.0,39956,0.95,2006,0.0502
301.tiff,watershed_md5,218,218,1.0,39956,0.98,4197,0.105
301.tiff,watershed_md5,218,218,1.0,39956,0.99,6745,0.1688
301.tiff,watershed_md5,218,218,1.0,39956,1.0,16496,0.4129
301.tiff,watershed_md7,218,218,1.0,37763,0.5,193,0.0051
301.tiff,watershed_md7,218,218,1.0,37763,0.9,1050,0.0278
301.tiff,watershed_md7,218,218,1.0,37763,0.95,1988,0.0526
301.tiff,watershed_md7,218,218,1.0,37763,0.98,4875,0.1291
301.tiff,watershed_md7,218,218,1.0,37763,0.99,6493,0.1719
301.tiff,watershed_md7,218,218,1.0,37763,1.0,14252,0.3774
301.tiff,watershed_md9,218,218,1.0,33244,0.5,182,0.0055
301.tiff,watershed_md9,218,218,1.0,33244,0.9,970,0.0292
301.tiff,watershed_md9,218,218,1.0,33244,0.95,2130,0.0641
301.tiff,watershed_md9,218,218,1.0,33244,0.98,4181,0.1258
301.tiff,watershed_md9,218,218,1.0,33244,0.99,6171,0.1856
301.tiff,watershed_md9,218,218,1.0,33244,1.0,12276,0.3693
301.tiff,watershed_md11,218,218,1.0,29288,0.5,181,0.0062
301.tiff,watershed_md11,218,218,1.0,29288,0.9,898,0.0307
301.tiff,watershed_md11,218,218,1.0,29288,0.95,1944,0.0664
301.tiff,watershed_md11,218,218,1.0,29288,0.98,5468,0.1867
301.tiff,watershed_md11,218,218,1.0,29288,0.99,7579,0.2588
301.tiff,watershed_md11,218,218,1.0,29288,1.0,10869,0.3711
301.tiff,watershed_md15,218,218,1.0,24835,0.5,170,0.0068
301.tiff,watershed_md15,218,218,1.0,24835,0.9,825,0.0332
301.tiff,watershed_md15,218,218,1.0,24835,0.95,1695,0.0683
301.tiff,watershed_md15,218,218,1.0,24835,0.98,5273,0.2123
301.tiff,watershed_md15,218,218,1.0,24835,0.99,7412,0.2984
301.tiff,watershed_md15,218,218,1.0,24835,1.0,9368,0.3772
245.tiff,connected_components,90,90,1.0,34910,0.5,884,0.0253
245.tiff,connected_components,90,90,1.0,34910,0.9,9766,0.2797
245.tiff,connected_components,90,90,1.0,34910,0.95,13481,0.3862
245.tiff,connected_components,90,90,1.0,34910,0.98,15959,0.4571
245.tiff,connected_components,90,90,1.0,34910,0.99,17473,0.5005
245.tiff,connected_components,90,90,1.0,34910,1.0,17473,0.5005
245.tiff,watershed_md5,90,90,1.0,62543,0.5,832,0.0133
245.tiff,watershed_md5,90,90,1.0,62543,0.9,6344,0.1014
245.tiff,watershed_md5,90,90,1.0,62543,0.95,10757,0.172
245.tiff,watershed_md5,90,90,1.0,62543,0.98,13909,0.2224
245.tiff,watershed_md5,90,90,1.0,62543,0.99,24133,0.3859
245.tiff,watershed_md5,90,90,1.0,62543,1.0,24133,0.3859
245.tiff,watershed_md7,90,90,1.0,60609,0.5,785,0.013
245.tiff,watershed_md7,90,90,1.0,60609,0.9,7025,0.1159
245.tiff,watershed_md7,90,90,1.0,60609,0.95,11514,0.19
245.tiff,watershed_md7,90,90,1.0,60609,0.98,21142,0.3488
245.tiff,watershed_md7,90,90,1.0,60609,0.99,21500,0.3547
245.tiff,watershed_md7,90,90,1.0,60609,1.0,21500,0.3547
245.tiff,watershed_md9,90,90,1.0,55384,0.5,712,0.0129
