file_name,arm,n_gt_mitotic,n_captured,ceiling,n_pool,quantile,depth,frac_of_pool
301.tiff,connected_components,218,218,1.0,20370,0.5,167,0.0082
301.tiff,connected_components,218,218,1.0,20370,0.9,720,0.0353
301.tiff,connected_components,218,218,1.0,20370,0.95,1428,0.0701
301.tiff,connected_components,218,218,1.0,20370,0.98,4307,0.2114
301.tiff,connected_components,218,218,1.0,20370,0.99,6101,0.2995
301.tiff,connected_components,218,218,1.0,20370,1.0,7750,0.3805
301.tiff,cc_maxarea10k,218,218,1.0,20397,0.5,167,0.0082
301.tiff,cc_maxarea10k,218,218,1.0,20397,0.9,720,0.0353
301.tiff,cc_maxarea10k,218,218,1.0,20397,0.95,1429,0.0701
301.tiff,cc_maxarea10k,218,218,1.0,20397,0.98,4314,0.2115
301.tiff,cc_maxarea10k,218,218,1.0,20397,0.99,6112,0.2997
301.tiff,cc_maxarea10k,218,218,1.0,20397,1.0,7763,0.3806
301.tiff,watershed,218,218,1.0,37763,0.5,193,0.0051
301.tiff,watershed,218,218,1.0,37763,0.9,1050,0.0278
301.tiff,watershed,218,218,1.0,37763,0.95,1988,0.0526
301.tiff,watershed,218,218,1.0,37763,0.98,4875,0.1291
301.tiff,watershed,218,218,1.0,37763,0.99,6493,0.1719
301.tiff,watershed,218,218,1.0,37763,1.0,14252,0.3774
301.tiff,watershed_maxarea10k,218,218,1.0,37763,0.5,193,0.0051
301.tiff,watershed_maxarea10k,218,218,1.0,37763,0.9,1050,0.0278
301.tiff,watershed_maxarea10k,218,218,1.0,37763,0.95,1988,0.0526
301.tiff,watershed_maxarea10k,218,218,1.0,37763,0.98,4875,0.1291
301.tiff,watershed_maxarea10k,218,218,1.0,37763,0.99,6493,0.1719
301.tiff,watershed_maxarea10k,218,218,1.0,37763,1.0,14252,0.3774
300.tiff,connected_components,181,181,1.0,17376,0.5,143,0.0082
300.tiff,connected_components,181,181,1.0,17376,0.9,699,0.0402
300.tiff,connected_components,181,181,1.0,17376,0.95,1157,0.0666
300.tiff,connected_components,181,181,1.0,17376,0.98,2510,0.1445
300.tiff,connected_components,181,181,1.0,17376,0.99,3241,0.1865
300.tiff,connected_components,181,181,1.0,17376,1.0,4246,0.2444
300.tiff,cc_maxarea10k,181,181,1.0,17376,0.5,143,0.0082
300.tiff,cc_maxarea10k,181,181,1.0,17376,0.9,699,0.0402
300.tiff,cc_maxarea10k,181,181,1.0,17376,0.95,1157,0.0666
300.tiff,cc_maxarea10k,181,181,1.0,17376,0.98,2510,0.1445
300.tiff,cc_maxarea10k,181,181,1.0,17376,0.99,3241,0.1865
300.tiff,cc_maxarea10k,181,181,1.0,17376,1.0,4246,0.2444
300.tiff,watershed,181,181,1.0,32313,0.5,149,0.0046
300.tiff,watershed,181,181,1.0,32313,0.9,765,0.0237
300.tiff,watershed,181,181,1.0,32313,0.95,1191,0.0369
300.tiff,watershed,181,181,1.0,32313,0.98,1609,0.0498
300.tiff,watershed,181,181,1.0,32313,0.99,2535,0.0785
300.tiff,watershed,181,181,1.0,32313,1.0,2763,0.0855
300.tiff,watershed_maxarea10k,181,181,1.0,32313,0.5,149,0.0046
300.tiff,watershed_maxarea10k,181,181,1.0,32313,0.9,765,0.0237
300.tiff,watershed_maxarea10k,181,181,1.0,32313,0.95,1191,0.0369
300.tiff,watershed_maxarea10k,181,181,1.0,32313,0.98,1609,0.0498
300.tiff,watershed_maxarea10k,181,181,1.0,32313,0.99,2535,0.0785
300.tiff,watershed_maxarea10k,181,181,1.0,32313,1.0,2763,0.0855
246.tiff,connected_components,116,112,0.9655,21059,0.5,187,0.0089
246.tiff,connected_components,116,112,0.9655,21059,0.9,1045,0.0496
246.tiff,connected_components,116,112,0.9655,21059,0.95,1757,0.0834
246.tiff,connected_components,116,112,0.9655,21059,0.98,1966,0.0934
246.tiff,connected_components,116,112,0.9655,21059,0.99,17321,0.8225
246.tiff,connected_components,116,112,0.9655,21059,1.0,20493,0.9731
