file_name,tumor_type,arm,budget,n_detections,n_gt_mitotic,budget_delivered,tp_at_budget,precision_at_budget,recall_at_budget
013.tiff,human breast cancer,chromatin_od,10,48,17,10,6,0.6,0.35294117647058826
013.tiff,human breast cancer,od_contrast,10,48,17,10,4,0.4,0.23529411764705882
013.tiff,human breast cancer,tm_score,10,48,17,10,3,0.3,0.17647058823529413
013.tiff,human breast cancer,chromatin_od,20,48,17,20,6,0.3,0.35294117647058826
013.tiff,human breast cancer,od_contrast,20,48,17,20,6,0.3,0.35294117647058826
013.tiff,human breast cancer,tm_score,20,48,17,20,4,0.2,0.23529411764705882
013.tiff,human breast cancer,chromatin_od,30,48,17,30,6,0.2,0.35294117647058826
013.tiff,human breast cancer,od_contrast,30,48,17,30,6,0.2,0.35294117647058826
013.tiff,human breast cancer,tm_score,30,48,17,30,6,0.2,0.35294117647058826
094.tiff,human breast cancer,chromatin_od,10,47,81,10,5,0.5,0.06172839506172839
094.tiff,human breast cancer,od_contrast,10,47,81,10,5,0.5,0.06172839506172839
094.tiff,human breast cancer,tm_score,10,47,81,10,4,0.4,0.04938271604938271
094.tiff,human breast cancer,chromatin_od,20,47,81,20,14,0.7,0.1728395061728395
094.tiff,human breast cancer,od_contrast,20,47,81,20,14,0.7,0.1728395061728395
094.tiff,human breast cancer,tm_score,20,47,81,20,10,0.5,0.12345679012345678
094.tiff,human breast cancer,chromatin_od,30,47,81,30,18,0.6,0.2222222222222222
094.tiff,human breast cancer,od_contrast,30,47,81,30,17,0.5666666666666667,0.20987654320987653
094.tiff,human breast cancer,tm_score,30,47,81,30,16,0.5333333333333333,0.19753086419753085
201.tiff,canine lung cancer,chromatin_od,10,48,17,10,5,0.5,0.29411764705882354
201.tiff,canine lung cancer,od_contrast,10,48,17,10,5,0.5,0.29411764705882354
201.tiff,canine lung cancer,tm_score,10,48,17,10,3,0.3,0.17647058823529413
201.tiff,canine lung cancer,chromatin_od,20,48,17,20,8,0.4,0.47058823529411764
201.tiff,canine lung cancer,od_contrast,20,48,17,20,7,0.35,0.4117647058823529
201.tiff,canine lung cancer,tm_score,20,48,17,20,5,0.25,0.29411764705882354
201.tiff,canine lung cancer,chromatin_od,30,48,17,30,10,0.3333333333333333,0.5882352941176471
201.tiff,canine lung cancer,od_contrast,30,48,17,30,10,0.3333333333333333,0.5882352941176471
201.tiff,canine lung cancer,tm_score,30,48,17,30,6,0.2,0.35294117647058826
233.tiff,canine lung cancer,chromatin_od,10,47,17,10,6,0.6,0.35294117647058826
233.tiff,canine lung cancer,od_contrast,10,47,17,10,6,0.6,0.35294117647058826
233.tiff,canine lung cancer,tm_score,10,47,17,10,3,0.3,0.17647058823529413
233.tiff,canine lung cancer,chromatin_od,20,47,17,20,8,0.4,0.47058823529411764
233.tiff,canine lung cancer,od_contrast,20,47,17,20,8,0.4,0.47058823529411764
233.tiff,canine lung cancer,tm_score,20,47,17,20,5,0.25,0.29411764705882354
233.tiff,canine lung cancer,chromatin_od,30,47,17,30,8,0.26666666666666666,0.47058823529411764
233.tiff,canine lung cancer,od_contrast,30,47,17,30,8,0.26666666666666666,0.47058823529411764
233.tiff,canine lung cancer,tm_score,30,47,17,30,8,0.26666666666666666,0.47058823529411764
245.tiff,canine lymphosarcoma,chromatin_od,10,44,89,10,2,0.2,0.02247191011235955
245.tiff,canine lymphosarcoma,od_contrast,10,44,89,10,2,0.2,0.02247191011235955
245.tiff,canine lymphosarcoma,tm_score,10,44,89,10,1,0.1,0.011235955056179775
245.tiff,canine lymphosarcoma,chromatin_od,20,44,89,20,2,0.1,0.02247191011235955
245.tiff,canine lymphosarcoma,od_contrast,20,44,89,20,3,0.15,0.033707865168539325
245.tiff,canine lymphosarcoma,tm_score,20,44,89,20,2,0.1,0.02247191011235955
245.tiff,canine lymphosarcoma,chromatin_od,30,44,89,30,3,0.1,0.033707865168539325
245.tiff,canine lymphosarcoma,od_contrast,30,44,89,30,3,0.1,0.033707865168539325
245.tiff,canine lymphosarcoma,tm_score,30,44,89,30,3,0.1,0.033707865168539325
246.tiff,canine lymphosarcoma,chromatin_od,10,47,115,10,10,1.0,0.08695652173913043
246.tiff,canine lymphosarcoma,od_contrast,10,47,115,10,10,1.0,0.08695652173913043
246.tiff,canine lymphosarcoma,tm_score,10,47,115,10,10,1.0,0.08695652173913043
246.tiff,canine lymphosarcoma,chromatin_od,20,47,115,20,16,0.8,0.1391304347826087
246.tiff,canine lymphosarcoma,od_contrast,20,47,115,20,16,0.8,0.1391304347826087
246.tiff,canine lymphosarcoma,tm_score,20,47,115,20,18,0.9,0.1565217391304348
246.tiff,canine lymphosarcoma,chromatin_od,30,47,115,30,24,0.8,0.20869565217391303
246.tiff,canine lymphosarcoma,od_contrast,30,47,115,30,24,0.8,0.20869565217391303
246.tiff,canine lymphosarcoma,tm_score,30,47,115,30,24,0.8,0.20869565217391303
300.tiff,canine cutaneous mast cell tumor,chromatin_od,10,49,180,10,10,1.0,0.05555555555555555
300.tiff,canine cutaneous mast cell tumor,od_contrast,10,49,180,10,9,0.9,0.05
300.tiff,canine cutaneous mast cell tumor,tm_score,10,49,180,10,7,0.7,0.03888888888888889
300.tiff,canine cutaneous mast cell tumor,chromatin_od,20,49,180,20,17,0.85,0.09444444444444444
300.tiff,canine cutaneous mast cell tumor,od_contrast,20,49,180,20,18,0.9,0.1
300.tiff,canine cutaneous mast cell tumor,tm_score,20,49,180,20,14,0.7,0.07777777777777778
300.tiff,canine cutaneous mast cell tumor,chromatin_od,30,49,180,30,25,0.8333333333333334,0.1388888888888889
300.tiff,canine cutaneous mast cell tumor,od_contrast,30,49,180,30,23,0.7666666666666667,0.12777777777777777
300.tiff,canine cutaneous mast cell tumor,tm_score,30,49,180,30,20,0.6666666666666666,0.1111111111111111
301.tiff,canine cutaneous mast cell tumor,chromatin_od,10,49,217,10,8,0.8,0.03686635944700461
301.tiff,canine cutaneous mast cell tumor,od_contrast,10,49,217,10,8,0.8,0.03686635944700461
301.tiff,canine cutaneous mast cell tumor,tm_score,10,49,217,10,9,0.9,0.041474654377880185
301.tiff,canine cutaneous mast cell tumor,chromatin_od,20,49,217,20,18,0.9,0.08294930875576037
301.tiff,canine cutaneous mast cell tumor,od_contrast,20,49,217,20,18,0.9,0.08294930875576037
301.tiff,canine cutaneous mast cell tumor,tm_score,20,49,217,20,18,0.9,0.08294930875576037
301.tiff,canine cutaneous mast cell tumor,chromatin_od,30,49,217,30,24,0.8,0.11059907834101383
301.tiff,canine cutaneous mast cell tumor,od_contrast,30,49,217,30,26,0.8666666666666667,0.11981566820276497
301.tiff,canine cutaneous mast cell tumor,tm_score,30,49,217,30,24,0.8,0.11059907834101383
402.tiff,human neuroendocrine tumor,chromatin_od,10,49,104,10,6,0.6,0.057692307692307696
402.tiff,human neuroendocrine tumor,od_contrast,10,49,104,10,5,0.5,0.04807692307692308
402.tiff,human neuroendocrine tumor,tm_score,10,49,104,10,4,0.4,0.038461538461538464
402.tiff,human neuroendocrine tumor,chromatin_od,20,49,104,20,11,0.55,0.10576923076923077
402.tiff,human neuroendocrine tumor,od_contrast,20,49,104,20,12,0.6,0.11538461538461539
402.tiff,human neuroendocrine tumor,tm_score,20,49,104,20,9,0.45,0.08653846153846154
402.tiff,human neuroendocrine tumor,chromatin_od,30,49,104,30,17,0.5666666666666667,0.16346153846153846
402.tiff,human neuroendocrine tumor,od_contrast,30,49,104,30,17,0.5666666666666667,0.16346153846153846
402.tiff,human neuroendocrine tumor,tm_score,30,49,104,30,14,0.4666666666666667,0.1346153846153846
403.tiff,human neuroendocrine tumor,chromatin_od,10,49,52,10,6,0.6,0.11538461538461539
403.tiff,human neuroendocrine tumor,od_contrast,10,49,52,10,6,0.6,0.11538461538461539
403.tiff,human neuroendocrine tumor,tm_score,10,49,52,10,5,0.5,0.09615384615384616
403.tiff,human neuroendocrine tumor,chromatin_od,20,49,52,20,9,0.45,0.17307692307692307
403.tiff,human neuroendocrine tumor,od_contrast,20,49,52,20,10,0.5,0.19230769230769232
403.tiff,human neuroendocrine tumor,tm_score,20,49,52,20,7,0.35,0.1346153846153846
403.tiff,human neuroendocrine tumor,chromatin_od,30,49,52,30,11,0.36666666666666664,0.21153846153846154
403.tiff,human neuroendocrine tumor,od_contrast,30,49,52,30,12,0.4,0.23076923076923078
