file_name,tumor_type,base_size,n_retries,seed_ann_id,map_median,mad_scale,n_peaks,n_detections,roi_pixels,raw_rank_subset_ok,t_setup_s,t1_refine_seed_box_s,t2_patch_template_build_s,t3_template_matching_s,t4_threshold_peak_extraction_s,t5_nms_selfhit_s,t6_baseline_s,t6a_od_pad_s,t6b_od51_loop_s,t6c_chromatin_od_rank_s,t7a_odcontrast_pad_s,t7b_odcontrast_od51_loop_s,t7c_odcontrast_odctx_loop_s,t7d_odcontrast_subtract_s,t7e_odcontrast_rank_s,t_shared_stages_s,t_chromatin_od_overhead_s,t_odcontrast_overhead_s,t_baseline_pipeline_s,t_chromatin_od_pipeline_s,t_odcontrast_pipeline_s,t_outer_total_s,chromatin_od_nan_rate,chromatin_od_largest_tie_block,od_ctx_nan_rate,od_contrast_nan_rate,od_contrast_largest_tie_block,rep_baseline_median_s,rep_baseline_mean_s,rep_baseline_std_s,rep_baseline_min_s,rep_baseline_max_s,rep_chromatin_od_median_s,rep_chromatin_od_mean_s,rep_chromatin_od_std_s,rep_chromatin_od_min_s,rep_chromatin_od_max_s,rep_od_contrast_median_s,rep_od_contrast_mean_s,rep_od_contrast_std_s,rep_od_contrast_min_s,rep_od_contrast_max_s,t_setup_ms,t1_refine_seed_box_ms,t2_patch_template_build_ms,t3_template_matching_ms,t4_threshold_peak_extraction_ms,t5_nms_selfhit_ms,t6_baseline_ms,t6a_od_pad_ms,t6b_od51_loop_ms,t6c_chromatin_od_rank_ms,t7a_odcontrast_pad_ms,t7b_odcontrast_od51_loop_ms,t7c_odcontrast_odctx_loop_ms,t7d_odcontrast_subtract_ms,t7e_odcontrast_rank_ms,t_shared_stages_ms,t_chromatin_od_overhead_ms,t_odcontrast_overhead_ms,t_baseline_pipeline_ms,t_chromatin_od_pipeline_ms,t_odcontrast_pipeline_ms,t_outer_total_ms
013.tiff,human breast cancer,31,0,254,-0.00395,0.10799,50,48,39047580,True,6.434503,0.001415,3.4e-05,2.127533,0.413044,0.000969,0.000519,0.15191,0.004284,0.000691,0.149659,0.003938,0.016404,0.000635,0.00052,2.542996,0.156885,0.171155,2.543515,2.699881,2.714151,3.330209,0.0,1,0.0,0.0,1,0.0003124879440292716,0.00032911477610468863,3.77454975464464e-05,0.00029469304718077183,0.00039252592250704765,0.06496102001983672,0.102660938561894,0.049123902902756034,0.05986014090012759,0.17276010802015662,0.07889784697908908,0.11662331940606237,0.04969199011383017,0.07195156498346478,0.1854511860292405,6434.503,1.415,0.034,2127.533,413.044,0.969,0.519,151.91,4.284,0.691,149.659,3.938,16.404,0.635,0.52,2542.996,156.885,171.155,2543.515,2699.881,2714.151,3330.209
094.tiff,human breast cancer,25,0,2512,-0.00341,0.04558,50,47,38100492,True,4.122462,0.001377,3.7e-05,1.406078,0.374627,0.00067,0.000327,0.037495,0.002588,0.00039,0.037711,0.002827,0.010604,0.000511,0.000609,1.78279,0.040473,0.052262,1.783117,1.823262,1.835052,2.277756,0.0,1,0.0,0.0,1,0.00024982402101159096,0.00026871601585298777,3.722483270252916e-05,0.0002440779935568571,0.0003425120376050472,0.05163060291670263,0.049613010766915974,0.0060425813904987705,0.03779568790923804,0.05498823500238359,0.06418591400142759,0.06121619739569724,0.00545940669698557,0.05045237496960908,0.06494524597655982,4122.462,1.377,0.037,1406.078,374.627,0.67,0.327,37.495,2.588,0.39,37.711,2.827,10.604,0.511,0.609,1782.79,40.473,52.262,1783.117,1823.262,1835.052,2277.756
201.tiff,canine lung cancer,51,0,4457,-0.02843,0.6123,50,48,32444341,True,3.119565,0.001434,3.1e-05,1.428023,0.261003,0.000608,0.000447,0.026557,0.002614,0.00035,0.029099,0.002516,0.008647,0.000452,0.000465,1.691099,0.029521,0.041179,1.691546,1.72062,1.732278,2.050358,0.0,1,0.0,0.0,1,0.00022339902352541685,0.00023725880309939386,2.6955947407383504e-05,0.00021825905423611403,0.0002896179212257266,0.04202405409887433,0.040158742433413865,0.0048242877111647235,0.03070486499927938,0.044188786996528506,0.053642958984710276,0.05179390539415181,0.004318671074643295,0.043417604989372194,0.05509227595757693,3119.565,1.434,0.031,1428.023,261.003,0.608,0.447,26.557,2.614,0.35,29.099,2.516,8.647,0.452,0.465,1691.099,29.521,41.179,1691.546,1720.62,1732.278,2050.358
233.tiff,canine lung cancer,25,0,5761,-0.01397,0.1566,50,47,32444341,True,2.806568,0.001104,2.3e-05,0.967085,0.252603,0.000572,0.000276,0.025737,0.002474,0.000336,0.025613,0.002335,0.009216,0.000403,0.000347,1.221387,0.028548,0.037915,1.221662,1.249934,1.259302,1.558702,0.0,1,0.0,0.0,1,0.0002142060548067093,0.0002238578163087368,3.058502265797684e-05,0.00019879697356373072,0.0002835480263456702,0.03949501598253846,0.049896803800947964,0.01994757706995242,0.038933555013500154,0.08971525100059807,0.05152300698682666,0.05072096881922335,0.007293661771162175,0.04038885002955794,0.0627469860482961,2806.568,1.104,0.023,967.085,252.603,0.572,0.276,25.737,2.474,0.336,25.613,2.335,9.216,0.403,0.347,1221.387,28.548,37.915,1221.662,1249.934,1259.302,1558.702
245.tiff,canine lymphosarcoma,47,0,6274,-0.00741,0.21427,50,44,32444341,True,2.583049,0.00114,2.3e-05,1.132597,0.241354,0.000534,0.000261,0.025965,0.00249,0.000299,0.026224,0.002239,0.008661,0.00039,0.000327,1.375649,0.028754,0.03784,1.375909,1.404402,1.413488,1.702949,0.0,1,0.0,0.0,1,0.000190446968190372,0.00020901658572256566,3.940505301322891e-05,0.00018742401152849197,0.00028777995612472296,0.038162840995937586,0.036516906996257606,0.0044352191956700876,0.027975575998425484,0.04087715700734407,0.04632924194447696,0.04437155977357179,0.004199096579952216,0.03605477302335203,0.04732462007086724,2583.049,1.14,0.023,1132.597,241.354,0.534,0.261,25.965,2.49,0.299,26.224,2.239,8.661,0.39,0.327,1375.649,28.754,37.84,1375.909,1404.402,1413.488,1702.949
246.tiff,canine lymphosarcoma,41,0,6548,-0.00539,0.16638,50,47,32444341,True,2.517645,0.001381,2.1e-05,1.034738,0.231456,0.000529,0.000254,0.025087,0.002125,0.000307,0.027219,0.002405,0.01154,0.000376,0.000324,1.268126,0.027518,0.041864,1.26838,1.295645,1.309991,1.589777,0.0,1,0.0,0.0,1,0.0001928920391947031,0.0002160244155675173,3.25307055714001e-05,0.00018816906958818436,0.0002650159876793623,0.03915997000876814,0.03716330099850893,0.004298992214743727,0.028669340070337057,0.040154068963602185,0.04748377203941345,0.046576216397807,0.004013391084794356,0.03924428403843194,0.05030283599626273,2517.645,1.381,0.021,1034.738,231.456,0.529,0.254,25.087,2.125,0.307,27.219,2.405,11.54,0.376,0.324,1268.126,27.518,41.864,1268.38,1295.645,1309.991,1589.777
300.tiff,canine cutaneous mast cell tumor,45,0,14581,-0.05719,0.37148,50,49,31171245,True,2.365529,0.001508,2.3e-05,1.01146,0.220983,0.000529,0.000257,0.026772,0.002142,0.000305,0.024204,0.00228,0.008632,0.000393,0.00041,1.234503,0.029219,0.035919,1.234761,1.263722,1.270422,1.534325,0.0,1,0.0,0.0,1,0.0001907310215756297,0.00020055421628057958,2.1369454747777725e-05,0.00018713704776018858,0.00024318695068359375,0.03784442902542651,0.0364332361612469,0.004129283759238216,0.02845364494714886,0.04004060092847794,0.04597395705059171,0.04431626580189914,0.004280488097024383,0.03594287997111678,0.047747154952958226,2365.529,1.508,0.023,1011.46,220.983,0.529,0.257,26.772,2.142,0.305,24.204,2.28,8.632,0.393,0.41,1234.503,29.219,35.919,1234.761,1263.722,1270.422,1534.325
301.tiff,canine cutaneous mast cell tumor,41,0,14969,-0.01365,0.20158,50,49,31171245,True,2.344507,0.001075,2.3e-05,0.961473,0.218132,0.000528,0.000253,0.024725,0.00213,0.000304,0.025959,0.002188,0.009466,0.000375,0.000325,1.181231,0.027159,0.038313,1.181484,1.20839,1.219544,1.484422,0.0,1,0.0,0.0,1,0.00019740103743970394,0.0002089778194203973,2.457847518628556e-05,0.00018604297656565905,0.00025109597481787205,0.037845510989427567,0.03575729259755463,0.004043194687373298,0.02771578193642199,0.038263309048488736,0.046800734009593725,0.0444459285819903,0.004850424936238145,0.03496800200082362,0.04831661190837622,2344.507,1.075,0.023,961.473,218.132,0.528,0.253,24.725,2.13,0.304,25.959,2.188,9.466,0.375,0.325,1181.231,27.159,38.313,1181.484,1208.39,1219.544,1484.422
402.tiff,human neuroendocrine tumor,29,0,20254,-0.05754,0.87053,50,49,39047580,True,2.85255,0.000853,2e-05,1.059055,0.263949,0.000509,0.000245,0.029089,0.002003,0.000285,0.028158,0.002031,0.01057,0.000366,0.000315,1.324386,0.031377,0.041438,1.324631,1.355764,1.365825,1.684703,0.0,1,0.0,0.0,1,0.00018378696404397488,0.00020529900211840868,2.973622975939852e-05,0.00018044502940028906,0.00025238096714019775,0.04163533402606845,0.03949167721439153,0.004633626183725595,0.030247300979681313,0.042161335004493594,0.04967026796657592,0.048070139973424374,0.004869411746205863,0.038652454037219286,0.05263701395597309,2852.55,0.853,0.02,1059.055,263.949,0.509,0.245,29.089,2.003,0.285,28.158,2.031,10.57,0.366,0.315,1324.386,31.377,41.438,1324.631,1355.764,1365.825,1684.703
403.tiff,human neuroendocrine tumor,51,1,20356,-0.0071,0.71813,50,49,39047580,True,2.914378,0.001151,2.3e-05,1.361409,0.26661,0.000525,0.000258,0.030759,0.002266,0.000312,0.030979,0.002146,0.008748,0.000379,0.000329,1.629718,0.033337,0.042581,1.629975,1.663054,1.672298,2.001216,0.0,1,0.0,0.0,1,0.00019185896962881088,0.00020454935729503633,2.9046847878787894e-05,0.00018477090634405613,0.00026215892285108566,0.044308474054560065,0.056237450009211896,0.029352844812903813,0.032583435997366905,0.11411948001477867,0.053894959040917456,0.06619772538542748,0.02966377412438066,0.04311631596647203,0.12469058996066451,2914.378,1.151,0.023,1361.409,266.61,0.525,0.258,30.759,2.266,0.312,30.979,2.146,8.748,0.379,0.329,1629.718,33.337,42.581,1629.975,1663.054,1672.298,2001.216
