file_name,tumor_type,base_size,n_retries,seed_ann_id,map_median,mad_scale,n_peaks,n_detections_r75,n_detections_r50,n_near_seed_r75,n_near_seed_r50,t_setup_s,t1_refine_seed_box_s,t2_patch_template_build_s,t3_template_matching_s,t4_threshold_peak_extraction_s,t5_nms_selfhit_r75_s,t5_nms_selfhit_r50_s,t6a_od_pad_s,t6_baseline_r75_s,t6b_od51_loop_r75_s,t6c_variant_rank_r75_s,t6_baseline_r50_s,t6b_od51_loop_r50_s,t6c_variant_rank_r50_s,t_shared_stages_s,t_chromatin_od_overhead_r75_s,t_baseline_pipeline_r75_s,t_variant_pipeline_r75_s,t_chromatin_od_overhead_r50_s,t_baseline_pipeline_r50_s,t_variant_pipeline_r50_s,t_outer_total_s,chromatin_od_nan_rate_r75,chromatin_od_largest_tie_block_r75,chromatin_od_nan_rate_r50,chromatin_od_largest_tie_block_r50,t_setup_ms,t1_refine_seed_box_ms,t2_patch_template_build_ms,t3_template_matching_ms,t4_threshold_peak_extraction_ms,t6a_od_pad_ms,t_shared_stages_ms,t5_nms_selfhit_r75_ms,t6_baseline_r75_ms,t6b_od51_loop_r75_ms,t6c_variant_rank_r75_ms,t_chromatin_od_overhead_r75_ms,t_baseline_pipeline_r75_ms,t_variant_pipeline_r75_ms,t5_nms_selfhit_r50_ms,t6_baseline_r50_ms,t6b_od51_loop_r50_ms,t6c_variant_rank_r50_ms,t_chromatin_od_overhead_r50_ms,t_baseline_pipeline_r50_ms,t_variant_pipeline_r50_ms,t_outer_total_ms
013.tiff,human breast cancer,31,0,254,-0.00395,0.10799,100,97,98,0,0,5.34412,0.00155,3e-05,1.89772,0.37089,0.00152,0.00081,0.13662,0.00061,0.00645,0.00053,0.00027,0.00548,0.00038,2.27019,0.14359,2.27232,2.41531,0.14249,2.27127,2.41349,2.47808,0.0,1,0.0,1,5344.12,1.55,0.03,1897.72,370.89,136.62,2270.19,1.52,0.61,6.45,0.53,143.59,2272.32,2415.31,0.81,0.27,5.48,0.38,142.49,2271.27,2413.49,2478.08
094.tiff,human breast cancer,25,0,2512,-0.00341,0.04558,100,96,96,0,0,3.73745,0.0011,3e-05,1.342,0.34982,0.00084,0.00065,0.03561,0.00041,0.005,0.00046,0.00023,0.00498,0.00038,1.69296,0.04107,1.69421,1.73487,0.04097,1.69385,1.73459,1.79127,0.0,1,0.0,1,3737.45,1.1,0.03,1342.0,349.82,35.61,1692.96,0.84,0.41,5.0,0.46,41.07,1694.21,1734.87,0.65,0.23,4.98,0.38,40.97,1693.85,1734.59,1791.27
201.tiff,canine lung cancer,51,0,4457,-0.02843,0.6123,100,98,98,0,0,3.16162,0.00155,3e-05,1.51101,0.29833,0.00084,0.0007,0.02868,0.0004,0.00536,0.00037,0.00023,0.00544,0.00037,1.81092,0.03442,1.81216,1.84617,0.03449,1.81184,1.8461,1.89138,0.0,1,0.0,1,3161.62,1.55,0.03,1511.01,298.33,28.68,1810.92,0.84,0.4,5.36,0.37,34.42,1812.16,1846.17,0.7,0.23,5.44,0.37,34.49,1811.84,1846.1,1891.38
233.tiff,canine lung cancer,25,0,5761,-0.01397,0.1566,100,97,99,0,0,3.18738,0.00173,3e-05,1.15275,0.29765,0.00082,0.00063,0.03292,0.00041,0.00534,0.00038,0.00023,0.00547,0.00052,1.45217,0.03864,1.45341,1.49163,0.03891,1.45303,1.49171,1.5364,0.0,1,0.0,1,3187.38,1.73,0.03,1152.75,297.65,32.92,1452.17,0.82,0.41,5.34,0.38,38.64,1453.41,1491.63,0.63,0.23,5.47,0.52,38.91,1453.03,1491.71,1536.4
245.tiff,canine lymphosarcoma,47,0,6274,-0.00741,0.21427,100,89,98,0,0,3.27443,0.00157,3e-05,1.42121,0.30365,0.00083,0.00064,0.02974,0.00041,0.00575,0.00041,0.00023,0.00628,0.0004,1.72647,0.03589,1.7277,1.76319,0.03641,1.72734,1.76352,1.81246,0.0,1,0.0,1,3274.43,1.57,0.03,1421.21,303.65,29.74,1726.47,0.83,0.41,5.75,0.41,35.89,1727.7,1763.19,0.64,0.23,6.28,0.4,36.41,1727.34,1763.52,1812.46
246.tiff,canine lymphosarcoma,41,0,6548,-0.00539,0.16638,100,96,98,0,0,3.11123,0.00169,3e-05,1.27392,0.28384,0.0008,0.00061,0.02761,0.00039,0.00493,0.00041,0.00022,0.00492,0.00033,1.55947,0.03295,1.56066,1.59322,0.03286,1.56029,1.59294,1.63797,0.0,1,0.0,1,3111.23,1.69,0.03,1273.92,283.84,27.61,1559.47,0.8,0.39,4.93,0.41,32.95,1560.66,1593.22,0.61,0.22,4.92,0.33,32.86,1560.29,1592.94,1637.97
300.tiff,canine cutaneous mast cell tumor,45,0,14581,-0.05719,0.37148,100,98,98,0,0,2.80315,0.00212,3e-05,1.20045,0.24751,0.00074,0.00056,0.02597,0.00036,0.0051,0.00036,0.0002,0.00484,0.00034,1.45011,0.03143,1.45121,1.48228,0.03115,1.45086,1.48182,1.52239,0.0,1,0.0,1,2803.15,2.12,0.03,1200.45,247.51,25.97,1450.11,0.74,0.36,5.1,0.36,31.43,1451.21,1482.28,0.56,0.2,4.84,0.34,31.15,1450.86,1481.82,1522.39
301.tiff,canine cutaneous mast cell tumor,41,0,14969,-0.01365,0.20158,100,98,98,0,0,2.64067,0.00128,3e-05,1.06954,0.24234,0.00069,0.00052,0.02391,0.00035,0.00426,0.00032,0.00019,0.00398,0.00028,1.31319,0.02849,1.31424,1.34238,0.02817,1.31389,1.34188,1.377,0.0,1,0.0,1,2640.67,1.28,0.03,1069.54,242.34,23.91,1313.19,0.69,0.35,4.26,0.32,28.49,1314.24,1342.38,0.52,0.19,3.98,0.28,28.17,1313.89,1341.88,1377.0
402.tiff,human neuroendocrine tumor,29,0,20254,-0.05754,0.87053,100,98,99,0,0,3.05128,0.00091,2e-05,1.13799,0.28632,0.0007,0.00049,0.03139,0.00034,0.00407,0.00029,0.00027,0.0039,0.00028,1.42523,0.03576,1.42627,1.46169,0.03557,1.42599,1.4613,1.50931,0.0,1,0.0,1,3051.28,0.91,0.02,1137.99,286.32,31.39,1425.23,0.7,0.34,4.07,0.29,35.76,1426.27,1461.69,0.49,0.27,3.9,0.28,35.57,1425.99,1461.3,1509.31
403.tiff,human neuroendocrine tumor,51,1,20356,-0.0071,0.71813,100,98,98,0,0,2.9383,0.00108,2e-05,1.51829,0.38595,0.0007,0.00048,0.11108,0.00035,0.00426,0.00033,0.00018,0.0041,0.00028,1.90534,0.11567,1.90639,2.0217,0.11547,1.90599,2.02128,2.06059,0.0,1,0.0,1,2938.3,1.08,0.02,1518.29,385.95,111.08,1905.34,0.7,0.35,4.26,0.33,115.67,1906.39,2021.7,0.48,0.18,4.1,0.28,115.47,1905.99,2021.28,2060.59
