file_name,tumor_type,base_size,n_retries,seed_ann_id,map_median,mad_scale,n_peaks,n_detections,roi_pixels,t_setup_s,t1_refine_seed_box_s,t2_patch_template_build_s,t3_template_matching_s,t4_threshold_peak_extraction_s,t5_nms_selfhit_s,t6_baseline_s,t6a_od_pad_s,t6b_od51_loop_s,t6c_variant_rank_s,t_shared_stages_s,t_chromatin_od_overhead_s,t_baseline_pipeline_s,t_variant_pipeline_s,t_outer_total_s,chromatin_od_nan_rate,chromatin_od_largest_tie_block,t_setup_ms,t1_refine_seed_box_ms,t2_patch_template_build_ms,t3_template_matching_ms,t4_threshold_peak_extraction_ms,t5_nms_selfhit_ms,t6_baseline_ms,t6a_od_pad_ms,t6b_od51_loop_ms,t6c_variant_rank_ms,t_shared_stages_ms,t_chromatin_od_overhead_ms,t_baseline_pipeline_ms,t_variant_pipeline_ms,t_outer_total_ms
013.tiff,human breast cancer,31,0,254,-0.00395,0.10799,100,97,39047580,4.15477,0.00103,3e-05,1.5146,0.28936,0.00084,0.00032,0.1049,0.00537,0.00043,1.80585,0.11069,1.80617,1.91655,1.9443,0.0,1,4154.77,1.03,0.03,1514.6,289.36,0.84,0.32,104.9,5.37,0.43,1805.85,110.69,1806.17,1916.55,1944.3
094.tiff,human breast cancer,25,0,2512,-0.00341,0.04558,100,96,38100492,3.3289,0.00088,3e-05,1.03753,0.29928,0.00071,0.00023,0.03341,0.00394,0.00034,1.33843,0.03769,1.33866,1.37611,1.4072,0.0,1,3328.9,0.88,0.03,1037.53,299.28,0.71,0.23,33.41,3.94,0.34,1338.43,37.69,1338.66,1376.11,1407.2
201.tiff,canine lung cancer,51,0,4457,-0.02843,0.6123,100,98,32444341,2.55511,0.00152,3e-05,1.21062,0.25642,0.00072,0.00023,0.03455,0.00593,0.00059,1.46931,0.04106,1.46954,1.51037,1.5348,0.0,1,2555.11,1.52,0.03,1210.62,256.42,0.72,0.23,34.55,5.93,0.59,1469.31,41.06,1469.54,1510.37,1534.8
233.tiff,canine lung cancer,25,0,5761,-0.01397,0.1566,100,97,32444341,2.64732,0.00148,3e-05,0.93685,0.24791,0.00081,0.00021,0.02714,0.00472,0.00046,1.18708,0.03232,1.18729,1.2194,1.24074,0.0,1,2647.32,1.48,0.03,936.85,247.91,0.81,0.21,27.14,4.72,0.46,1187.08,32.32,1187.29,1219.4,1240.74
245.tiff,canine lymphosarcoma,47,0,6274,-0.00741,0.21427,100,89,32444341,2.69243,0.00175,3e-05,1.10076,0.24252,0.00067,0.00021,0.02516,0.00595,0.00046,1.34572,0.03157,1.34593,1.37729,1.40012,0.0,1,2692.43,1.75,0.03,1100.76,242.52,0.67,0.21,25.16,5.95,0.46,1345.72,31.57,1345.93,1377.29,1400.12
246.tiff,canine lymphosarcoma,41,0,6548,-0.00539,0.16638,100,96,32444341,2.459,0.00187,2e-05,1.02346,0.24351,0.00075,0.0002,0.03003,0.00406,0.00032,1.26962,0.03441,1.26982,1.30403,1.32602,0.0,1,2459.0,1.87,0.02,1023.46,243.51,0.75,0.2,30.03,4.06,0.32,1269.62,34.41,1269.82,1304.03,1326.02
300.tiff,canine cutaneous mast cell tumor,45,0,14581,-0.05719,0.37148,100,98,31171245,2.38363,0.00129,2e-05,0.98886,0.22376,0.00067,0.00027,0.02464,0.00442,0.00039,1.21461,0.02944,1.21488,1.24405,1.26418,0.0,1,2383.63,1.29,0.02,988.86,223.76,0.67,0.27,24.64,4.42,0.39,1214.61,29.44,1214.88,1244.05,1264.18
301.tiff,canine cutaneous mast cell tumor,41,0,14969,-0.01365,0.20158,100,98,31171245,2.37454,0.00116,3e-05,0.97057,0.22026,0.00067,0.0002,0.02365,0.00413,0.00033,1.19268,0.02812,1.19288,1.2208,1.23858,0.0,1,2374.54,1.16,0.03,970.57,220.26,0.67,0.2,23.65,4.13,0.33,1192.68,28.12,1192.88,1220.8,1238.58
402.tiff,human neuroendocrine tumor,29,0,20254,-0.05754,0.87053,100,98,39047580,2.96365,0.00092,2e-05,1.07786,0.2954,0.00069,0.0002,0.03222,0.00447,0.00033,1.3749,0.03702,1.3751,1.41192,1.43636,0.0,1,2963.65,0.92,0.02,1077.86,295.4,0.69,0.2,32.22,4.47,0.33,1374.9,37.02,1375.1,1411.92,1436.36
403.tiff,human neuroendocrine tumor,51,1,20356,-0.0071,0.71813,100,98,39047580,3.00467,0.00126,2e-05,1.4446,0.30435,0.00069,0.0002,0.10786,0.00443,0.00033,1.75093,0.11262,1.75113,1.86354,1.88569,0.0,1,3004.67,1.26,0.02,1444.6,304.35,0.69,0.2,107.86,4.43,0.33,1750.93,112.62,1751.13,1863.54,1885.69
