file_name,tumor_type,base_size,n_retries,seed_ann_id,map_median,mad_scale,t_setup_s,t1_refine_seed_box_s,t2_patch_template_build_s,t3_template_matching_s,n_peaks_baseline,n_detections_baseline,t4_baseline_s,t5_baseline_s,t6_baseline_s,n_peaks_variant,n_detections_variant,t4_variant_s,t5_variant_s,t6_variant_s,t_outer_total_s,t_setup_ms,t1_refine_seed_box_ms,t2_patch_template_build_ms,t3_template_matching_ms,t4_baseline_ms,t5_baseline_ms,t6_baseline_ms,t4_variant_ms,t5_variant_ms,t6_variant_ms,t_outer_total_ms
013.tiff,human breast cancer,31,0,254,-0.00395,0.10799,4.28537,0.00102,3e-05,1.55832,56733,17724,0.26866,0.26446,0.00262,100,97,0.27674,0.0007,0.00051,2.71038,4285.4,1.0,0.0,1558.3,268.7,264.5,2.6,276.7,0.7,0.5,2710.4
094.tiff,human breast cancer,25,0,2512,-0.00341,0.04558,2.73798,0.0009,3e-05,0.91949,65105,18628,0.25587,0.29203,0.00107,100,96,0.25652,0.00061,0.00047,2.06977,2738.0,0.9,0.0,919.5,255.9,292.0,1.1,256.5,0.6,0.5,2069.8
201.tiff,canine lung cancer,51,0,4457,-0.02843,0.6123,2.70246,0.00128,4e-05,1.02805,31314,15848,0.21108,0.12593,0.00056,100,98,0.21315,0.00063,0.00045,1.84177,2702.5,1.3,0.0,1028.0,211.1,125.9,0.6,213.2,0.6,0.4,1841.8
233.tiff,canine lung cancer,25,0,5761,-0.01397,0.1566,2.13638,0.00116,2e-05,0.81082,46860,17449,0.21536,0.20617,0.00058,100,97,0.21003,0.00065,0.00045,1.71135,2136.4,1.2,0.0,810.8,215.4,206.2,0.6,210.0,0.6,0.4,1711.4
245.tiff,canine lymphosarcoma,47,0,6274,-0.00741,0.21427,2.02954,0.00085,2e-05,0.93966,58880,17678,0.21538,0.26085,0.00061,100,89,0.22167,0.00065,0.00052,1.92741,2029.5,0.8,0.0,939.7,215.4,260.8,0.6,221.7,0.6,0.5,1927.4
246.tiff,canine lymphosarcoma,41,0,6548,-0.00539,0.16638,2.17058,0.00138,2e-05,0.92501,42028,18013,0.22178,0.19307,0.00068,100,96,0.21465,0.00067,0.00045,1.85482,2170.6,1.4,0.0,925.0,221.8,193.1,0.7,214.6,0.7,0.4,1854.8
300.tiff,canine cutaneous mast cell tumor,45,0,14581,-0.05719,0.37148,2.74435,0.00134,2e-05,0.9862,33132,17940,0.20299,0.15606,0.0009,100,98,0.20504,0.00062,0.00044,1.87269,2744.4,1.3,0.0,986.2,203.0,156.1,0.9,205.0,0.6,0.4,1872.7
301.tiff,canine cutaneous mast cell tumor,41,0,14969,-0.01365,0.20158,2.35966,0.00119,2e-05,0.98899,36174,17710,0.21876,0.18539,0.00069,100,98,0.22752,0.00067,0.00048,1.96727,2359.7,1.2,0.0,989.0,218.8,185.4,0.7,227.5,0.7,0.5,1967.3
402.tiff,human neuroendocrine tumor,29,0,20254,-0.05754,0.87053,3.25863,0.00106,2e-05,1.22466,52211,17532,0.31875,0.33771,0.00128,100,98,0.30942,0.00075,0.00053,2.65853,3258.6,1.1,0.0,1224.7,318.8,337.7,1.3,309.4,0.8,0.5,2658.5
403.tiff,human neuroendocrine tumor,51,1,20356,-0.0071,0.71813,3.60874,0.0013,3e-05,1.91216,34638,16150,0.3309,0.22113,0.00088,100,98,0.3437,0.00092,0.00058,3.2986,3608.7,1.3,0.0,1912.2,330.9,221.1,0.9,343.7,0.9,0.6,3298.6
459.tiff,canine soft tissue sarcoma,33,0,22441,-0.04479,0.53097,3.22745,0.00145,3e-05,1.27115,34916,17806,0.30281,0.24386,0.00114,100,99,0.30196,0.00099,0.00062,2.59667,3227.5,1.4,0.0,1271.2,302.8,243.9,1.1,302.0,1.0,0.6,2596.7
460.tiff,canine soft tissue sarcoma,47,0,22577,-0.16232,0.97396,3.31166,0.00148,3e-05,1.50302,24990,15698,0.31373,0.17769,0.00114,100,99,0.31485,0.00092,0.00064,2.78939,3311.7,1.5,0.0,1503.0,313.7,177.7,1.1,314.8,0.9,0.6,2789.4
529.tiff,human melanoma,37,0,24918,-0.05051,0.28553,4.96208,0.00153,3e-05,1.6542,35603,16620,0.3822,0.29548,0.00173,100,97,0.60365,0.00095,0.00067,4.0084,4962.1,1.5,0.0,1654.2,382.2,295.5,1.7,603.6,1.0,0.7,4008.4
548.tiff,human melanoma,29,0,25804,-0.06179,0.48898,5.31302,0.00128,3e-05,1.61441,47223,17839,0.39446,0.3901,0.00111,100,98,0.40185,0.00151,0.00072,3.41825,5313.0,1.3,0.0,1614.4,394.5,390.1,1.1,401.8,1.5,0.7,3418.2
