file_name,tumor_type,base_size,n_retries,seed_ann_id,map_median,mad_scale,t_setup_s,t1_refine_seed_box_s,t2_patch_template_build_s,t3_template_matching_s,n_peaks_baseline,n_detections_baseline,t4_baseline_s,t5_baseline_s,t6_baseline_s,n_peaks_variant,n_detections_variant,t4_variant_s,t5_variant_s,t6_variant_s,n_peaks_dynamic,n_detections_dynamic,z_dynamic,t4a_z_derivation_s,t4_dynamic_s,t5_dynamic_s,t6_dynamic_s,t_outer_total_s,t_setup_ms,t1_refine_seed_box_ms,t2_patch_template_build_ms,t3_template_matching_ms,t4_baseline_ms,t5_baseline_ms,t6_baseline_ms,t4_variant_ms,t5_variant_ms,t6_variant_ms,t4a_z_derivation_ms,t4_dynamic_ms,t5_dynamic_ms,t6_dynamic_ms,t_outer_total_ms
013.tiff,human breast cancer,31,0,254,-0.00395,0.10799,3.90011,0.0009,2e-05,1.26117,56733,17724,0.25542,0.25407,0.00095,19943,10198,0.24229,0.07684,0.00053,100,97,16.1558,3e-06,0.24066,0.00061,0.00046,2.84073,3900.1,0.9,0.0,1261.2,255.4,254.1,1.0,242.3,76.8,0.5,0.003,240.7,0.6,0.5,2840.7
094.tiff,human breast cancer,25,0,2512,-0.00341,0.04558,2.65999,0.00086,3e-05,0.90063,65105,18628,0.24774,0.29511,0.00061,35736,14420,0.23863,0.14527,0.00077,100,96,15.3032,4e-06,0.23919,0.00064,0.00047,2.58768,2660.0,0.9,0.0,900.6,247.7,295.1,0.6,238.6,145.3,0.8,0.004,239.2,0.6,0.5,2587.7
201.tiff,canine lung cancer,51,0,4457,-0.02843,0.6123,2.27526,0.00112,2e-05,0.98164,31314,15848,0.21483,0.13598,0.00058,15704,10689,0.20229,0.0667,0.00062,100,98,5.2302,3e-06,0.19952,0.00064,0.00045,2.21472,2275.3,1.1,0.0,981.6,214.8,136.0,0.6,202.3,66.7,0.6,0.003,199.5,0.6,0.4,2214.7
233.tiff,canine lung cancer,25,0,5761,-0.01397,0.1566,2.12688,0.00107,2e-05,0.77152,46860,17449,0.21704,0.20569,0.00086,24021,12698,0.20166,0.09729,0.00054,100,97,8.295,4e-06,0.19869,0.00064,0.00046,2.12103,2126.9,1.1,0.0,771.5,217.0,205.7,0.9,201.7,97.3,0.5,0.004,198.7,0.6,0.5,2121.0
245.tiff,canine lymphosarcoma,47,0,6274,-0.00741,0.21427,2.25465,0.00115,2e-05,0.94054,58880,17678,0.22379,0.26604,0.00059,41989,15635,0.20922,0.19192,0.0006,100,89,4.6232,3e-06,0.19951,0.00058,0.00043,2.48146,2254.6,1.2,0.0,940.5,223.8,266.0,0.6,209.2,191.9,0.6,0.003,199.5,0.6,0.4,2481.5
246.tiff,canine lymphosarcoma,41,0,6548,-0.00539,0.16638,2.55307,0.00137,7e-05,0.98745,42028,18013,0.22582,0.20911,0.00106,25368,14965,0.2183,0.10763,0.00093,100,96,7.041,5e-06,0.20649,0.00064,0.00045,2.46332,2553.1,1.4,0.1,987.4,225.8,209.1,1.1,218.3,107.6,0.9,0.005,206.5,0.6,0.4,2463.3
300.tiff,canine cutaneous mast cell tumor,45,0,14581,-0.05719,0.37148,2.38372,0.00136,4e-05,0.98427,33132,17940,0.23872,0.24115,0.00157,21133,14173,0.20031,0.09367,0.00061,100,98,6.6574,6e-06,0.19652,0.00064,0.00046,2.56817,2383.7,1.4,0.0,984.3,238.7,241.2,1.6,200.3,93.7,0.6,0.006,196.5,0.6,0.5,2568.2
301.tiff,canine cutaneous mast cell tumor,41,0,14969,-0.01365,0.20158,2.25784,0.00104,2e-05,0.89721,36174,17710,0.21969,0.16527,0.00075,23831,14812,0.19993,0.10394,0.0008,100,98,5.4709,5e-06,0.20595,0.00059,0.00059,2.32209,2257.8,1.0,0.0,897.2,219.7,165.3,0.8,199.9,103.9,0.8,0.005,206.0,0.6,0.6,2322.1
402.tiff,human neuroendocrine tumor,29,0,20254,-0.05754,0.87053,2.80389,0.00089,2e-05,0.9721,52211,17532,0.25076,0.23391,0.00061,32769,14771,0.24989,0.13412,0.00083,100,98,8.9312,4e-06,0.23581,0.00062,0.00045,2.62771,2803.9,0.9,0.0,972.1,250.8,233.9,0.6,249.9,134.1,0.8,0.004,235.8,0.6,0.4,2627.7
403.tiff,human neuroendocrine tumor,51,1,20356,-0.0071,0.71813,2.7644,0.00104,2e-05,1.35295,34638,16150,0.24968,0.1472,0.00065,12776,8323,0.24358,0.05222,0.00053,100,98,13.5314,5e-06,0.22774,0.00055,0.00041,2.76698,2764.4,1.0,0.0,1353.0,249.7,147.2,0.6,243.6,52.2,0.5,0.005,227.7,0.6,0.4,2767.0
459.tiff,canine soft tissue sarcoma,33,0,22441,-0.04479,0.53097,2.2245,0.00086,2e-05,0.81996,34916,17806,0.26362,0.15414,0.00094,20843,13897,0.20405,0.08226,0.00097,100,99,5.8309,3e-06,0.22711,0.00062,0.00043,2.23405,2224.5,0.9,0.0,820.0,263.6,154.1,0.9,204.0,82.3,1.0,0.003,227.1,0.6,0.4,2234.0
